[IRV | GU | OT | Exodus | Chapter 9 | Verse 1] ત્યારે યહોવાહે મૂસાને કહ્યું, “ફારુનની પાસે જા અને તેને કહે કે, હિબ્રૂઓના ઈશ્વર યહોવાહ એમ કહે છે કે, ‘મારા લોકોને મારું ભજન કરવા જવા દે.’
[IRV | GU | OT | Exodus | Chapter 9 | Verse 23] પછી મૂસાએ પોતાની લાકડી આકાશ ભણી ઊંચી કરી એટલે યહોવાહે ભારે ગર્જના સાથે જમીન પર કરા વરસાવ્યા. તે સાથે પૃથ્વી પર અગ્નિ ધસી આવ્યો અને આખા મિસર દેશ પર કર તૂટી પડયા.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 24] વરસતા કરાની સાથે વીજળી ઝબકારા મારતી હતી. મિસર દેશ સ્થપાયો ત્યારથી આજસુધી કદી ન પડયો હોય એવો ભારે કરાનો વરસાદ આખા દેશમાં પડયો.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 25] તેને લીધે મિસરના ખેતરોમાંની તમામ વનસ્પતિ અને પાકનો નાશ થઈ ગયો. અને કરાના કારણે આખા મિસર દેશમાં જે માણસો, જાનવરો, તથા ખેતરોમાં જે કાંઈ હતું તે બધાનો નાશ થયો. કરાએ ખેતરોમાંના દરેક છોડને તેમ જ ઝાડને નષ્ટ કર્યા.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 26] ફક્ત ગોશેન પ્રાંતમાં કે જ્યાં ઇઝરાયલીઓ રહેતા હતા ત્યાં કરા પડયા નહિ.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 27] પછી ફારુને મૂસા અને હારુનને બોલાવીને તેઓને કહ્યું, “આ વખતે મેં પાપ કર્યુ છે, યહોવાહ ન્યાયી છે. હું તથા મારી પ્રજા અપરાધી છીએ.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 28] તમે યહોવાહને અરજ કરો, કારણ કે આ કરા અને ભયંકર ગર્જનાથી અમે ત્રાસી ગયા છીએ. હું તમને જવા દઈશ, હવે તમારે અહીં રોકાવું નહિ પડે.”
[IRV | GU | OT | Exodus | Chapter 9 | Verse 29] મૂસાએ ફારુનને કહ્યું, “હું નગરમાંથી બહાર જઈશ. ત્યારે હું પ્રાર્થના માટે યહોવાહની આગળ મારા હાથ લંબાવીશ. એટલે તરત વીજળીના કડાકા બંધ થઈ જશે. અને કરા પડવાનું પણ અટકી જશે. આ પરથી તને ખબર પડશે કે આખી પૃથ્વી પ્રભુની છે.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 30] પણ હું જાણું છું કે તું અને તારા અમલદારો તથા લોકો હજુ પણ યહોવાહથી ડરવાના નથી. અને તેમનું સન્માન પણ કરવાના નથી.”
[IRV | GU | OT | Exodus | Chapter 9 | Verse 31] શણ અને જવનો ઘાણ વળી ગયો. કારણ કે જવ ઊગી નીકળ્યા હતા અને શણને ફૂલ બેઠાં હતાં.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 32] પરંતુ ઘઉં અને કઠોળ નષ્ટ થયા નહિ કારણ કે તેને પાકવાની વાર હતી.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 33] મૂસા ફારુનને છોડીને નગર બહાર આવ્યો. અને તેણે યહોવાહ સમક્ષ પોતાના હાથ લંબાવીને પ્રાર્થના કરી. એટલે કડાકા અને કરા બંધ થઈ ગયા.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 34] પછી જ્યારે ફારુને જોયું કે વર્ષા, કરા અને કડાકા બંધ થઈ ગયા એટલે ફરીથી તેણે અને તેના સરદારોએ પોતાના હૃદય હઠીલાં કર્યા.
[IRV | GU | OT | Exodus | Chapter 9 | Verse 35] ફારુને ઇઝરાયલ લોકોને મુક્ત રીતે જવા દેવાની ના પાડી દીધી. યહોવાહે મૂસાને કહ્યું હતું તે પ્રમાણે જ થયું. ફારુન પાછો હઠે ભરાયો.
