[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 1] There was then long warre betweene the house of Saul and the house of Dauid: but Dauid waxed stronger, and the house of Saul waxed weaker.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 29] Let the blood fall on the head of Ioab, and on all his fathers house, that the house of Ioab be neuer without some that haue running issues, or leper, or that leaneth on a staffe, or that doeth fall on the sworde, or that lacketh bread.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 30] (So Ioab and Abishai his brother slewe Abner, because he had slaine their brother Asahel at Gibeon in battel)
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 31] And Dauid said to Ioab, and to al the people that were with him, Rent your clothes, and put on sackecloth, and mourne before Abner: and King Dauid him selfe followed the beare.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 32] And when they had buryed Abner in Hebron, the King lift vp his voyce, and wept beside the sepulchre of Abner, and all the people wept.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 33] And the King lamented ouer Abner, and sayde, Dyed Abner as a foole dyeth?
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 34] Thine handes were not bounde, nor thy feete tyed in fetters of brasse: but as a man falleth before wicked men, so diddest thou fall. And all the people wept againe for him.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 35] Afterwarde all the people came to cause Dauid eate meate while it was yet day, but Dauid sware, saying, So doe God to me and more also, if I taste bread, or ought els till the sunne be downe.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 36] And all the people knewe it, and it pleased them: as whatsoeuer the King did, pleased all the people.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 37] For all the people and all Israel vnderstoode that day, howe that it was not the Kings deede that Abner the sonne of Ner was slaine.
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 38] And the King said vnto his seruants, Know ye not, that there is a prince and a great man falle this day in Israel?
[GNV | EN | OT | 2 Samuel | Chapter 3 | Verse 39] And I am this day weake and newly anoynted King: and these men the sonnes of Zeruiah be too harde for me: the Lord rewarde the doer of euill according to his wickednesse.
