[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 1] فَٱثْبُتُوا إِذًا فِي ٱلْحُرِّيَّةِ ٱلَّتِي قَدْ حَرَّرَنَا ٱلْمَسِيحُ بِهَا، وَلَا تَرْتَبِكُوا أَيْضًا بِنِيرِ عُبُودِيَّةٍ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 17] لِأَنَّ ٱلْجَسَدَ يَشْتَهِي ضِدَّ ٱلرُّوحِ وَٱلرُّوحُ ضِدَّ ٱلْجَسَدِ، وَهَذَانِ يُقَاوِمُ أَحَدُهُمَا ٱلْآخَرَ، حَتَّى تَفْعَلُونَ مَا لَا تُرِيدُونَ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 18] وَلَكِنْ إِذَا ٱنْقَدْتُمْ بِٱلرُّوحِ فَلَسْتُمْ تَحْتَ ٱلنَّامُوسِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 19] وَأَعْمَالُ ٱلْجَسَدِ ظَاهِرَةٌ، ٱلَّتِي هِيَ: زِنًى، عَهَارَةٌ، نَجَاسَةٌ، دَعَارَةٌ،
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 20] عِبَادَةُ ٱلْأَوْثَانِ، سِحْرٌ، عَدَاوَةٌ، خِصَامٌ، غَيْرَةٌ، سَخَطٌ، تَحَزُّبٌ، شِقَاقٌ، بِدْعَةٌ،
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 21] حَسَدٌ، قَتْلٌ، سُكْرٌ، بَطَرٌ، وَأَمْثَالُ هَذِهِ ٱلَّتِي أَسْبِقُ فَأَقُولُ لَكُمْ عَنْهَا كَمَا سَبَقْتُ فَقُلْتُ أَيْضًا: إِنَّ ٱلَّذِينَ يَفْعَلُونَ مِثْلَ هَذِهِ لَا يَرِثُونَ مَلَكُوتَ ٱللهِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 22] وَأَمَّا ثَمَرُ ٱلرُّوحِ فَهُوَ: مَحَبَّةٌ، فَرَحٌ، سَلَامٌ، طُولُ أَنَاةٍ، لُطْفٌ، صَلَاحٌ، إِيمَانٌ،
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 23] وَدَاعَةٌ، تَعَفُّفٌ. ضِدَّ أَمْثَالِ هَذِهِ لَيْسَ نَامُوسٌ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 24] وَلَكِنَّ ٱلَّذِينَ هُمْ لِلْمَسِيحِ قَدْ صَلَبُوا ٱلْجَسَدَ مَعَ ٱلْأَهْوَاءِ وَٱلشَّهَوَاتِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 25] إِنْ كُنَّا نَعِيشُ بِٱلرُّوحِ، فَلْنَسْلُكْ أَيْضًا بِحَسَبِ ٱلرُّوحِ.
[VANDYKE | AR | NT | Galatians | Chapter 5 | Verse 26] لَا نَكُنْ مُعْجِبِينَ نُغَاضِبُ بَعْضُنَا بَعْضًا، وَنَحْسِدُ بَعْضُنَا بَعْضًا.
