[IRV | BN | OT | Proverbs | Chapter 11 | Verse 1] যে দাঁড়িপাল্লা সঠিক নয় সেটা সদাপ্রভু ঘৃণা করেন; কিন্তু সঠিক ওজনে তিনি সন্তুষ্ট হন।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 16] করুণাময়ী স্ত্রী সম্মান ধরে রাখে, আর নিষ্ঠুর মানুষেরা ধন ধরে রাখে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 17] দয়ালু নিজের প্রাণের উপকার করে; কিন্তু নির্দয় নিজেকে ক্ষতি করে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 18] দুষ্ট মিথ্যা বেতন উপার্জন করে; কিন্তু যে ধার্মিকতার বীজ বুনে, সে সত্য বেতন পায়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 19] যে ধার্ম্মিকতায় অটল, সে জীবন পায়; কিন্তু যে দুষ্টতার পিছনে দৌড়ে, সে মারা যায়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 20] সদাপ্রভু তাদেরকে ঘৃণা করেন যাদের হৃদয় বিপথগামী; কিন্তু যারা নিজের পথে নিখুঁত, তারা তাঁর তুষ্টিকর।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 21] এটা নিশ্চিত যে দুষ্ট অদন্ডিত থাকবে না; কিন্তু ধার্ম্মিকদের বংশ রক্ষা পাবে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 22] যেমন শূকরের নাকে সোনার নথ, তেমনি বিচক্ষণতাহীন সুন্দরী স্ত্রী।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 23] ধার্ম্মিকদের মনের ইচ্ছা কেবল উত্তম, কিন্তু দুষ্টদের প্রত্যাশা ক্রোধমাত্র।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 24] কেউ কেউ বিতরণ করে আরও বৃদ্ধি পায়; কেউ কেউ বা ন্যায্য ব্যয় অস্বীকার করে কেবল অভাবে পড়ে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 25] দানশীল ব্যক্তি উন্নতিলাভ করে, জল-সেচনকারী নিজেও জলে ভেজে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 26] যে শস্য আটক করে রাখে, লোকে তাকে শাপ দেয়; কিন্তু যে শস্য বিক্রি করে, তার মাথায় পুরষ্কার আসে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 27] যে সযত্নে ভালো চেষ্টা করে, সে প্রীতির খোঁজ করে; কিন্তু যে অমঙ্গল খুঁজে বেড়ায়, তারই প্রতি তা ঘটে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 28] যে নিজের ধনে নির্ভর করে, সে পড়ে যায়; কিন্তু ধার্মিকরা সতেজ পাতার মতো প্রফুল্ল হয়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 29] যে নিজের পরিবারের বিপত্তি, সে বায়ু অধিকার পায় এবং নির্বোধ জ্ঞানী হৃদয়ের দাস হয়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 30] ধার্ম্মিকের ফল জীবনবৃক্ষ কিন্তু জ্ঞানবান [অপরদের] প্রাণ লাভ করে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 31] দেখ, পৃথিবীতে ধার্মিক প্রতিফল পায়, তবে দুষ্ট ও পাপী আরও কত না পাবে;
