[ASV | EN | NT | Mark | Chapter 12 | Verse 1] And he began to speak unto them in parables. A man planted a vineyard, and set a hedge about it, and dug a pit for the winepress, and built a tower, and let it out to husbandmen, and went into another country.
[ASV | EN | NT | Mark | Chapter 12 | Verse 21] and the second took her, and died, neither left he any seed; and the third likewise:
[ASV | EN | NT | Mark | Chapter 12 | Verse 22] and the seven took her, and left no seed. Last of all the woman also died.
[ASV | EN | NT | Mark | Chapter 12 | Verse 23] In the resurrection, when they shall rise again, whose wife shall she be of them? for the seven had her to wife.
[ASV | EN | NT | Mark | Chapter 12 | Verse 24] And Jesus answered and said unto them, Is it not for this cause that ye err, that ye know not the scriptures, nor the power of God?
[ASV | EN | NT | Mark | Chapter 12 | Verse 25] For when they shall rise from the dead, they neither marry, nor are given in marriage; but are as the angels that are in heaven.
[ASV | EN | NT | Mark | Chapter 12 | Verse 26] But as touching the dead, that they are raised; have ye not read in the book of Moses, in the place concerning the Bush, how God spake unto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob?
[ASV | EN | NT | Mark | Chapter 12 | Verse 27] He is not the God of the dead, but the God of the living: ye therefore do greatly err.
[ASV | EN | NT | Mark | Chapter 12 | Verse 28] And one of the scribes came, and heard them questioning together, and knowing that he had answered them well, asked him, Which is the first commandment of all?
[ASV | EN | NT | Mark | Chapter 12 | Verse 29] And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God, the Lord is one:
[ASV | EN | NT | Mark | Chapter 12 | Verse 30] and thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength: this is the first commandment.
[ASV | EN | NT | Mark | Chapter 12 | Verse 31] And a second like it is this, Thou shalt love thy neighbor as thyself. There is none other commandment greater than these.
[ASV | EN | NT | Mark | Chapter 12 | Verse 32] And the scribe said unto him, Of a truth, Teacher, thou hast well said that he is one; and there is none other but he:
[ASV | EN | NT | Mark | Chapter 12 | Verse 33] and to love him with all the heart, and with all the understanding, and with all the soul, and with all the strength, and to love his neighbor as himself, is more than all whole burnt offerings and sacrifices.
[ASV | EN | NT | Mark | Chapter 12 | Verse 34] And when Jesus saw that he answered discreetly, he said unto him, Thou art not far from the kingdom of God. And no man after that durst ask him any question.
[ASV | EN | NT | Mark | Chapter 12 | Verse 35] And Jesus answered and said, as he taught in the temple, How say the scribes that the Christ is the son of David?
[ASV | EN | NT | Mark | Chapter 12 | Verse 36] for David himself said in the Holy Spirit, The Lord saith unto my Lord, Sit thou on my right hand, Till I make thine enemies the footstool of thy feet.
[ASV | EN | NT | Mark | Chapter 12 | Verse 37] David himself therefore calleth him Lord; and whence is he his son? And the common people heard him gladly.
[ASV | EN | NT | Mark | Chapter 12 | Verse 38] And he said unto them in his teaching, Beware of the scribes, who desire to walk in long robes, and to have salutations in the marketplaces,
[ASV | EN | NT | Mark | Chapter 12 | Verse 39] and chief seats in the synagogues, and chief places at feasts:
[ASV | EN | NT | Mark | Chapter 12 | Verse 40] they that devour widows’ houses, and for a pretense make long prayers; these shall receive greater condemnation.
[ASV | EN | NT | Mark | Chapter 12 | Verse 41] And Jesus sat down over against the treasury, and beheld how the multitude cast money into the treasury: and many that were rich cast in much.
[ASV | EN | NT | Mark | Chapter 12 | Verse 42] And there came a poor widow, and she cast in two mites, which make a penny.
[ASV | EN | NT | Mark | Chapter 12 | Verse 43] And he called unto him his disciples, and saith unto them, Verily I say unto you, This poor widow hath cast in more than all they that are casting into the treasury:
[ASV | EN | NT | Mark | Chapter 12 | Verse 44] for they all did cast in of their superfluity; but she of her want did cast in all that she had, even all her living.
