[GNV | EN | OT | Numbers | Chapter 14 | Verse 1] Then all ye Congregation lifted vp their voice, and cryed: and the people wept that night,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 21] Notwithstanding, as I liue, all the earth shall be filled with the glory of the Lord.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 22] For all those men which haue seene my glory, and my miracles which I did in Egypt, and in the wildernes, and haue tempted me this ten times, and haue not obeyed my voyce,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 23] Certainely they shall not see the lande, whereof I sware vnto their fathers: neither shall any that prouoke me, see it.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 24] But my seruant Caleb, because he had another spirite, and hath followed me stil, euen him will I bring into the lande, whither he went, and his seede shall inherite it.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 25] Nowe the Amalekites and the Canaanites remaine in the valley: wherefore turne backe to morowe, and get you into the wildernesse, by the way of the red Sea.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 26] After, the Lord spake vnto Moses and to Aaron, saying,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 27] How long shall I suffer this wicked multitude to murmure against me? I haue heard the murmurings of the children of Israel, which they murmure against me.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 28] Tell them, As I liue (saith the Lord) I wil surely do vnto you, euen as ye haue spoken in mine eares.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 29] Your carkeises shall fall in this wildernes, and all you that were counted through all your nombers, from twentie yeere olde and aboue, which haue murmured against me,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 30] Ye shall not doubtles come into the land, for the which I lifted vp mine hande, to make you dwell therein, saue Caleb the sonne of Iephunneh, and Ioshua the sonne of Nun.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 31] But your children, (which ye said shoulde be a pray) them will I bring in, and they shall knowe the lande which ye haue refused:
[GNV | EN | OT | Numbers | Chapter 14 | Verse 32] But euen your carkeises shall fall in this wildernes,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 33] And your children shall wander in the wildernesse, fourtie yeeres, and shall beare your whoredomes, vntill your carkeises be wasted in the wildernesse.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 34] After the number of the dayes, in the which ye searched out the lande, euen fourtie dayes, euery day for a yeere, shall ye beare your iniquity, for fourtie yeeres, and ye shall feele my breach of promise.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 35] I the Lord haue said, Certainely I will doe so to all this wicked company, that are gathered together against me: for in this wildernesse they shall be consumed, and there they shall die.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 36] And the men which Moses had sent to search the land (which, when they came againe, made all the people to murmure against him, and brought vp a slander vpon the lande)
[GNV | EN | OT | Numbers | Chapter 14 | Verse 37] Euen those men that did bring vp that vile slander vpon the land, shall die by a plague before the Lord.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 38] But Ioshua the sonne of Nun, and Caleb the sonne of Iephunneh, of those men that went to search the land, shall liue.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 39] Then Moses tolde these sayings vnto all the children of Israel, and the people sorowed greatly.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 40] And they rose vp earely in the morning, and gate them vp into the toppe of the mountaine, saying, Loe, we be readie, to goe vp to the place which the Lord hath promised: for wee haue sinned.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 41] But Moses said, Wherefore transgresse yee thus the commandement of the Lord? it will not so come well to passe.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 42] Goe not vp (for the Lord is not among you) lest ye be ouerthrowe before your enemies.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 43] For the Amalekites and the Canaanites are there before you, and ye shall fall by the sworde: for in as much as ye are turned away from the Lord, the Lord also will not be with you.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 44] Yet they presumed obstinately to goe vp to the top of the mountaine: but the Arke of the couenant of the Lord, and Moses departed not out of the campe.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 45] Then the Amalekites and the Canaanites, which dwelt in that mountaine, came downe and smote them, and consumed them vnto Hormah.
