[GNV | EN | OT | Numbers | Chapter 15 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 24] And if so be that ought be committed ignorantly of the Congregation, then all ye Congregatio shall giue a bullocke for a burnt offring, for a sweete sauour vnto the Lord, with the meat offring and drinke offring thereto, according to the maner, and an hee goate for a sinne offring.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 25] And the Priest shall make an atonement for al the Congregation of the children of Israel, and it shalbe forgiuen them: for it is ignorance: and they shall bring their offring for an offring made by fire vnto the Lord, and their sinne offering before the Lord for their ignorance.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 26] Then it shalbe forgiuen all the Congregation of the children of Israel, and the stranger that dwelleth among them: for all the people were in ignorance.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 27] But if any one person sinne through ignorance, then he shall bring a shee goate of a yeere olde for a sinne offring.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 28] And the Priest shall make an atonement for the ignorant person, when hee sinneth by ignorance before the Lord, to make reconciliation for him: and it shalbe forgiuen him.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 29] He that is borne among the children of Israel, and the stranger that dwelleth among them, shall haue both one lawe, who so doth sinne by ignorance.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 30] But the person that doeth ought presumptuously, whether he be borne in the land, or a stranger, the same blasphemeth the Lord: therefore that person shalbe cut off from among his people,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 31] Because he hath despised the worde of the Lord, and hath broken his commandement: that person shalbe vtterly cut off: his iniquitie shalbe vpon him.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 32] And while the children of Israel were in the wildernesse, they found a man that gathered stickes vpon the Sabbath day.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 33] And they that found him gathering sticks, brought him vnto Moses and to Aaron, and vnto all the Congregation,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 34] And they put him warde: for it was not declared what should be done vnto him.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 35] Then the Lord said vnto Moses, This man shall dye the death: and let al the multitude stone him with stones without the hoste.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 36] And all the Congregation brought him without the hoste, and stoned him with stones, and he died, as the Lord had commanded Moses.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 37] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 38] Speake vnto the children of Israel, and bid them that they make them fringes vpon the borders of their garments throughout their generations, and put vpon the fringes of the borders a ryband of blewe silke.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 39] And ye shall haue the fringes, that when ye looke vpon them, ye may remember all the commandemets of the Lord, and do them: and that ye seeke not after your own heart, nor after your owne eyes, after the which ye go a whoring;
[GNV | EN | OT | Numbers | Chapter 15 | Verse 40] That yee may remember and doe all my commandements, and bee holy vnto your God.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 41] I am the Lord your God, which brought you out of the lande of Egypt, to bee your God: I am the Lord your God.
