[GNV | EN | OT | Numbers | Chapter 21 | Verse 1] When King Arad the Canaanite, which dwelt toward the South, heard tel that Israel came by the way of the spies, then fought hee against Israel, and tooke of them prysoners.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 14] Wherefore it shall be spoken in the booke of the battels of the Lord, what thing he did in the red sea, and in the riuers of Arnon,
[GNV | EN | OT | Numbers | Chapter 21 | Verse 15] And at the streame of the riuers that goeth downe to the dwelling of Ar, and lieth vpon the border of Moab.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 16] And from thence they turned to Beer: the same is the well where the Lord said vnto Moses, Assemble the people, and I wil giue them water.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 17] Then Israel sang this song, Rise vp well, sing ye vnto it.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 18] The princes digged this well, the captaines of the people digged it, euen the lawe giuer, with their staues. And from the wildernesse they came to Mattanah,
[GNV | EN | OT | Numbers | Chapter 21 | Verse 19] And from Mattanah to Nahaliel, and from Nahaliel to Bamoth,
[GNV | EN | OT | Numbers | Chapter 21 | Verse 20] And from Bamoth in the valley, that is in the plaine of Moab, to the top of Pisgah that looketh toward Ieshimon.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 21] Then Israel sent messengers vnto Sihon, King of the Amorites, saying,
[GNV | EN | OT | Numbers | Chapter 21 | Verse 22] Let me goe through thy land: we wil not turne aside into the fieldes, nor into the vineyardes, neither drinke of the waters of ye welles: we will goe by the kings way, vntill we be past thy countrey.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 23] But Sihon gaue Israel no licence to passe through his countrey, but Sihon assembled all his people, and went out against Israel into the wildernesse: and he came to Iahoz, and fought against Israel.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 24] But Israel smote him with the edge of the sword, and conquered his land, from Arnon vnto Iabok, euen vnto ye children of Ammon: for the border of the children of Ammon was strong.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 25] And Israel tooke al these cities, and dwelt in all the cities of the Amorites in Heshbon and in all the villages thereof.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 26] For Heshbon was the citie of Sihon the king of the Amorites, which had fought beforetime against the king of the Moabites, and had taken al his land out of his hand, euen vnto Arnon.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 27] Wherefore they that speake in prouerbes, say, Come to Heshbon, let the citie of Sihon bee built and repaired:
[GNV | EN | OT | Numbers | Chapter 21 | Verse 28] For a fire is gone out of Heshbon, and a flame from the citie of Sihon, and hath consumed Ar of the Moabites, and the lords of Bamoth in Arnon.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 29] Wo be to thee, Moab: O people of Chemosh, thou art vndone: he hath suffered his sonnes to be pursued, and his daughters to be in captiuitie to Sihon the king of the Amorites.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 30] Their empire also is lost from Heshbon vnto Dibon, and wee haue destroyed them vnto Nophah, which reacheth vnto Medeba.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 31] Thus Israel dwelt in the lande of the Amorites.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 32] And Moses sent to searche out Iaazer, and they tooke the townes belonging thereto, and rooted out the Amorites that were there.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 33] And they turned and went vp toward Bashan: and Og the King of Bashan came out against them, hee, and all his people, to fight at Edrei.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 34] Then the Lord said vnto Moses, Feare him not: for I haue deliuered him into thine hand and all his people, and his land: and thou shalt do to him as thou diddest vnto Sihon the king of the Amorites, which dwelt at Heshbon.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 35] They smote him therefore, and his sonnes, and all his people, vntill there was none left him: so they conquered his land.
