[GNV | EN | OT | Numbers | Chapter 7 | Verse 1] Nowe when Moses had finished the setting vp of the Tabernacle, and anointed it and sanctified it, and all the instruments thereof, and the altar with al the instruments thereof, and had anoynted them and sanctified them,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 17] And for peace offrings, two bullockes, fiue rams, fiue hee goates, and fiue lambes of a yeere olde: this was the offring of Nahshon the sonne of Amminadab.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 18] The second day Nethaneel, the sonne of Zuar, prince of the tribe of Issachar did offer:
[GNV | EN | OT | Numbers | Chapter 7 | Verse 19] Who offred for his offring a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both ful of fine floure, mingled with oyle, for a meat offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 20] An incense cup of gold of ten shekels, ful of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 21] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 22] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 23] And for peace offrings, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offring of Nethaneel the sonne of Zuar.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 24] The third day Eliab the sonne of Helon prince of the children of Zebulun offred.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 25] His offring was a siluer charger of an hundreth and thirty shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both ful of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 26] A golden incense cup of ten shekels, ful of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 27] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 28] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 29] And for peace offrings, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offering of Eliab the sonne of Helon.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 30] The fourth day Elizur ye sonne of Shedeur prince of the children of Reuben offred.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 31] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuary, both ful of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 32] A golden incense cup of ten shekels, full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 33] A yong bullocke, a ram, a lambe of a yere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 34] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 35] And for a peace offring, two bullockes, fiue rammes, fiue hee goates, and fiue lambes of a yere olde: this was the offering of Elizur the sonne of Shedeur.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 36] The fifth day Shelumiel the sonne of Zurishaddai, prince of the children of Simeon offered.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 37] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuary, both ful of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 38] A golden incense cup of ten shekels, full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 39] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 40] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 41] And for a peace offring, two bullocks, fiue rammes, fiue hee goates, fiue lambes of a yere old: this was the offering of Shelumiel the sonne of Zurishaddai.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 42] The sixt day Eliasaph the sonne of Deuel prince of the children of Gad offred.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 43] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both ful of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 44] A golden incense cup of ten shekels, full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 45] A yong bullocke, a ram, a lambe of a yere olde, for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 46] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 47] And for a peace offering, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yere olde: this was the offring of Eliasaph the sonne of Deuel.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 48] The seuenth day Elishama the sonne of Ammiud prince of the children of Ephraim offered.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 49] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuary, both full of fine floure, mingled with oyle, for a meate offering,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 50] A golden incense cup of ten shekels, full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 51] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 52] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 53] And for a peace offring, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offring of Elishama the sonne of Ammiud.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 54] The eight day offred Gamliel the sonne of Pedazur, prince of the children of Manasseh.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 55] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both full of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 56] A golden incense cup of ten shekels, full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 57] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 58] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 59] And for a peace offring, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offring of Gamliel the sonne of Pedazur.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 60] The ninth day Abidan the sonne of Gideoni prince of the children of Beniamin offered.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 61] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both full of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 62] A golden incense cup of ten shekels, full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 63] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 64] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 65] And for a peace offring, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offring of Abidan the sonne of Gideoni.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 66] The tenth day Ahiezer the sonne of Ammishaddai, prince of the children of Dan offred.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 67] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both full of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 68] A golden incense cup of ten shekels full of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 69] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 70] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 71] And for a peace offring, two bullocks, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offring of Ahiezer the sonne of Ammishaddai.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 72] The eleuenth day Pagiel the sonne of Ocran, prince of the children of Asher offred.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 73] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both full of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 74] A golden incense cup of ten shekels, ful of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 75] A yong bullocke, a ram, a lambe of a yere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 76] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 77] And for a peace offring, two bullockes, fiue rams, fiue he goates, fiue lambes of a yeere olde: this was the offring of Pagiel the sonne of Ocran.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 78] The twelfth day Ahira the sonne of Enan, prince of the children of Naphtali offred,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 79] His offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuentie shekels, after the shekel of the Sanctuarie, both full of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 80] A golden incense cup of ten shekels, ful of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 81] A yong bullocke, a ram, a lambe of a yere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 82] An hee goate for a sinne offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 83] And for peace offerings, two bullockes, fiue rammes, fiue hee goates, fiue lambes of a yeere olde: this was the offering of Ahira the sonne of Enan.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 84] This was the dedication of the Altar by the princes of Israel, whe it was anointed: twelue chargers of siluer, twelue siluer boules, twelue incense cuppes of golde,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 85] Euery charger, conteining an hundreth and thirtie shekels of siluer, and euery boule seuentie: all the siluer vessell conteined two thousande and foure hundreth shekels, after the shekell of the Sanctuarie.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 86] Twelue incense cups of gold ful of incense, conteining ten shekels euery cup, after the shekell of the Sanctuarie: all the gold of the incense cups was an hundreth and twentie shekels.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 87] All the bullockes for the burnt offering were twelue bullocks, the rams twelue, the lambs of a yeere olde twelue, with their meate offrings, and twelue hee goates for a sinne offring.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 88] And all the bullocks for the peace offrings were foure and twentie bullockes, the rammes sixtie, the hee goates sixtie, the lambes of a yeere olde sixtie: this was the dedication of the Altar, after that it was anointed.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 89] And when Moses went into the Tabernacle of the Congregation, to speake with God, he heard the voyce of one speaking vnto him from the Merciseat, that was vpon the Arke of the Testimonie betweene the two Cherubims, and he spake to him.
