[DARBY | EN | OT | Joshua | Chapter 15 | Verse 1] And the lot of the tribe of the children of Judah according to their families was: to the border of Edom, the wilderness of Zin, southward, in the extreme south.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 31] and Ziklag, and Madmannah, and Sansanna,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 32] and Lebaoth, and Shilhim, and Ain, and Rimmon: all the cities twenty-nine, and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 33] — In the lowland: Eshtaol, and Zoreah, and Ashnah,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 34] and Zanoah, and En-gannim, Tappuah and Enam,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 35] Jarmuth and Adullam, Sochoh and Azekah,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 36] and Shaaraim, and Adithaim, and Gederah, and Gederothaim: fourteen cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 37] Zenan, and Hadashah, and Migdal-Gad,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 38] and Dilean, and Mizpeh, and Joktheel,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 39] Lachish, and Bozkath, and Eglon,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 40] and Cabbon, and Lahmas, and Chithlish,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 41] and Gederoth, Beth-Dagon, and Naamah, and Makkedah: sixteen cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 42] Libna, and Ether, and Ashan,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 43] and Jiphthah, and Ashnah, and Nezib,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 44] and Keilah, and Achzib, and Mareshah: nine cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 45] Ekron and its dependent villages and its hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 46] From Ekron and westward all that are by the side of Ashdod, and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 47] Ashdod, its dependent villages and its hamlets; Gazah, its dependent villages and its hamlets, as far as the torrent of Egypt, and the great sea and [its] coast.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 48] — And in the hill-country: Shamir, and Jattir, and Sochoh,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 49] and Dannah, and Kirjath-sannah, that is, Debir,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 50] and Anab, and Eshtemoh, and Anim,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 51] and Goshen, and Holon, and Giloh: eleven cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 52] Arab, and Dumah, and Eshan,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 53] and Janum, and Beth-Tappuah, and Aphekah,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 54] and Humtah, and Kirjath-Arba, that is, Hebron, and Zior: nine cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 55] Maon, Carmel, and Ziph, and Jutah,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 56] and Jizreel, and Jokdeam, and Zanoah,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 57] Kain, Gibeah and Timnah: ten cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 58] Halhul, Beth-Zur, and Gedor,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 59] and Maarath, and Beth-anoth, and Eltekon: six cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 60] Kirjath-Baal, that is, Kirjath-jearim, and Rabbah: two cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 61] — In the wilderness: Beth-Arabah, Middin, and Secacah,
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 62] and Nibshan, and Ir-Hammelah, and En-gedi: six cities and their hamlets.
[DARBY | EN | OT | Joshua | Chapter 15 | Verse 63] But as for the Jebusites, the inhabitants of Jerusalem, the children of Judah could not dispossess them; and the Jebusites dwell with the children of Judah at Jerusalem to this day.
