[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spake unto Jehovah the words of this song in the day that Jehovah delivered him out of the hand of all his enemies, and out of the hand of Saul:
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 22] For I have kept the ways of Jehovah, And have not wickedly departed from my God.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 23] For all his ordinances were before me; And as for his statutes, I did not depart from them.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 24] I was also perfect toward him; And I kept myself from mine iniquity.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 25] Therefore hath Jehovah recompensed me according to my righteousness, According to my cleanness in his eyesight.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 26] With the merciful thou wilt show thyself merciful; With the perfect man thou wilt show thyself perfect;
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 27] With the pure thou wilt show thyself pure; And with the perverse thou wilt show thyself froward.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 28] And the afflicted people thou wilt save; But thine eyes are upon the haughty, that thou mayest bring them down.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 29] For thou art my lamp, O Jehovah; And Jehovah will lighten my darkness.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 30] For by thee I run upon a troop; By my God do I leap over a wall.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 31] As for God, his way is perfect: The word of Jehovah is tried; He is a shield unto all them that take refuge in him.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 32] For who is God, save Jehovah? And who is a rock, save our God?
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 33] God is my strong fortress; And he guideth the perfect in his way.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 34] He maketh his feet like hinds’ feet, And setteth me upon my high places.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 35] He teacheth my hands to war, So that mine arms do bend a bow of brass.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 36] Thou hast also given me the shield of thy salvation; And thy gentleness hath made me great.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 37] Thou hast enlarged my steps under me; And my feet have not slipped.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 38] I have pursued mine enemies, and destroyed them; Neither did I turn again till they were consumed.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 39] And I have consumed them, and smitten them through, so that they cannot arise: Yea, they are fallen under my feet.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 40] For thou hast girded me with strength unto the battle; Thou hast subdued under me those that rose up against me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 41] Thou hast also made mine enemies turn their backs unto me, That I might cut off them that hate me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 42] They looked, but there was none to save; Even unto Jehovah, but he answered them not.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 43] Then did I beat them small as the dust of the earth, I did crush them as the mire of the streets, and did spread them abroad.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 44] Thou also hast delivered me from the strivings of my people; Thou hast kept me to be the head of the nations: A people whom I have not known shall serve me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 45] The foreigners shall submit themselves unto me: As soon as they hear of me, they shall obey me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 46] The foreigners shall fade away, And shall come trembling out of their close places.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 47] Jehovah liveth; And blessed be my rock; And exalted be God, the rock of my salvation,
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 48] Even the God that executeth vengeance for me, And that bringeth down peoples under me,
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 49] And that bringeth me forth from mine enemies: Yea, thou liftest me up above them that rise up against me; Thou deliverest me from the violent man.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 50] Therefore I will give thanks unto thee, O Jehovah, among the nations, And will sing praises unto thy name.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 51] Great deliverance giveth he to his king, And showeth lovingkindness to his anointed, To David and to his seed, forevermore.
