[LXX | EL | OT | Numbers | Chapter 8 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, λάλησον τῷ Ἀαρὼν,
[LXX | EL | OT | Numbers | Chapter 8 | Verse 17] Ὅτι ἐμοὶ πᾶν πρωτότοκον ἐν υἱοῖς Ἰσραὴλ ἀπὸ ἀνθρώπων ἕως κτήνους· ᾗ ἡμέρᾳ ἐπάταξα πᾶν πρωτότοκον ἐν γῇ Αἰγύπτου, ἡγίασα αὐτοὺς ἐμοὶ,
[LXX | EL | OT | Numbers | Chapter 8 | Verse 18] καὶ ἔλαβον τοὺς Λευίτας ἀντὶ παντὸς πρωτοτόκου ἐν υἱοῖς Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 19] Καὶ ἀπέδωκα τοὺς Λευίτας ἀπόδομα δεδομένους Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ ἐκ μέσου υἱῶν Ἰσραὴλ, ἐργάζεσθαι τὰ ἔργα τῶν υἱῶν Ἰσραὴλ ἐν τῇ σκηνῇ τοῦ μαρτυρίου, καὶ ἐξιλάσκεσθαι περὶ τῶν υἱῶν Ἰσραήλ· καὶ οὐκ ἔσται ἐν τοῖς υἱοῖς Ἰσραὴλ προσεγγίζων πρὸς τὰ ἅγια.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 20] Καὶ ἐποίησε Μωυσῆς καὶ Ἀαρὼν καὶ πᾶσα ἡ συναγωγὴ υἱῶν Ἰσραὴλ τοῖς Λευίταις καθὰ ἐνετείλατο Κύριος τῷ Μωυσῇ περὶ τῶν Λευιτῶν, οὕτως ἐποίησαν αὐτοῖς οἱ υἱοὶ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 21] Καὶ ἡγνίσαντο οἱ Λευῖται, καὶ ἐπλύναντο τὰ ἱμάτια· καὶ ἀπέδωκεν αὐτοὺς Ἀαρὼν ἀπόδομα ἔναντι Κυρίου, καὶ ἐξιλάσατο περὶ αὐτῶν Ἀαρὼν ἀφαγνίσασθαι αὐτούς.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 22] Καὶ μετὰ ταῦτα εἰσῆλθον οἱ Λευῖται λειτουργεῖν τὴν λειτουργίαν αὐτῶν ἐν τῇ σκηνῇ τοῦ μαρτυρίου ἔναντι Ἀαρὼν, καὶ ἔναντι τῶν υἱῶν αὐτοῦ· καθὰ συνέταξε Κύριος τῷ Μωυσῇ περὶ τῶν Λευιτῶν, οὕτως ἐποίησαν αὐτοῖς.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 23] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 8 | Verse 24] τοῦτό ἐστι τὸ περὶ τῶν Λευιτῶν· ἀπὸ πέντε καὶ εἰκοσαετοῦς καὶ ἐπάνω, εἰσελεύσονται ἐνεργεῖν ἐν τῇ σκηνῇ τοῦ μαρτυρίου·
[LXX | EL | OT | Numbers | Chapter 8 | Verse 25] Καὶ ἀπὸ πεντηκονταετοῦς ἀποστήσεται ἀπὸ τῆς λειτουργίας, καὶ οὐκ ἐργᾶται ἔτι.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 26] Καὶ λειτουργήσει ὁ ἀδελφὸς αὑτοῦ ἐν τῇ σκηνῇ τοῦ μαρτυρίου φυλάσσειν φυλακὰς, ἔργα δὲ οὐκ ἐργᾶται· οὕτως ποιήσεις τοῖς Λευίταις ἐν ταῖς φυλακαῖς αὐτῶν.
