[LXX | EL | OT | Numbers | Chapter 27 | Verse 1] Καὶ προσελθοῦσαι αἱ θυγατέρες Σαλπαὰδ υἱοῦ Ὀφὲρ, υἱοῦ Γαλαὰδ, υἱοῦ Μαχιρ, τοῦ δήμου Μανασσῆ, τῶν υἱῶν Ἰωσὴφ, καὶ ταῦτα τὰ ὀνόματα αὐτῶν, Μααλὰ, καὶ Νουὰ, καὶ Ἐγλὰ, καὶ Μελχὰ, καὶ Θερσὰ,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 12] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, ἀνάβηθι εἰς τὸ ὄρος τὸ ἐν τῷ πέραν τοῦ Ἰορδάνου, τοῦτο τὸ ὄρος Ναβαὺ, καὶ ἴδε τὴν γῆν Χαναὰν, ἣν ἐγὼ δίδωμι τοῖς υἱοῖς Ἰσραὴλ ἐν κατασχέσει.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 13] Καὶ ὄψῃ αὐτὴν, καὶ προστεθήσῃ πρὸς τὸν λαόν σου καὶ σὺ, καθὰ προσετέθη Ἀαρὼν ὁ ἀδελφός σου ἐν Ὢρ τῷ ὄρει.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 14] Διότι παρέβητε τὸ ῥῆμά μου ἐν τῇ ἐρήμῳ Σὶν, ἐν τῷ ἀντιπίπτειν τὴν συναγωγὴν ἁγιάσαι με, οὐχ ἡγιάσατέ με ἐπὶ τῷ ὕδατι ἔναντι αὐτῶν· τοῦτʼ ἔστι τὸ ὕδωρ ἀντιλογίας ἐν Κάδης ἐν τῇ ἐρήμῳ Σίν.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 15] Καὶ εἶπε Μωυσῆς πρὸς Κύριον,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 16] ἐπισκεψάσθω Κύριος ὁ Θεὸς τῶν πνευμάτων καὶ πάσης σαρκὸς ἄνθρωπον ἐπὶ τῆς συναγωγῆς ταύτης,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 17] ὅστις ἐξελεύσεται πρὸ προσώπου αὐτῶν, καὶ ὅστις εἰσελεύσεται πρὸ προσώπου αὐτῶν, καὶ ὅστις ἐξάξει αὐτοὺς, καὶ ὃστις εἰσάξει αὐτοὺς, καὶ οὐκ ἔσται ἡ συναγωγὴ Κυρίου ὡσεὶ πρόβατα οἷς οὐκ ἔστι ποιμήν.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 18] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, λάβε πρὸς σεαυτὸν Ἰησοῦν υἱὸν Ναυὴ, ἄνθρωπον ὃς ἔχει πνεῦμα ἐν ἑαυτῷ, καὶ ἐπιθήσεις τὰς χεῖράς σου ἐπʼ αὐτόν·
[LXX | EL | OT | Numbers | Chapter 27 | Verse 19] Καὶ στήσεις αὐτὸν ἔναντι Ἐλεάζαρ τοῦ ἱερέως, καὶ ἐντελῇ αὐτῷ ἔναντι πάσης συναγωγῆς, καὶ ἐντελῇ περὶ αὐτοῦ ἐναντίον αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 20] Καὶ δώσεις τῆς δόξης σου ἐπʼ αὐτὸν, ὅπως ἂν εἰσακούσωσιν αὐτοῦ οἱ υἱοὶ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 21] Καὶ ἔναντι Ἐλεάζαρ τοῦ ἱερέως στήσεται, καὶ ἐπερωτήσουσιν αὐτὸν τὴν κρίσιν τῶν δήλων ἔναντι Κυρίου· ἐπὶ τῷ στόματι αὐτοῦ ἐξελεύσονται, καὶ ἐπὶ τῷ στόματι αὐτοῦ εἰσελεύσονται αὐτὸς καὶ οἱ υἱοὶ Ἰσραὴλ ὁμοθυμαδὸν, καὶ πᾶσα ἡ συναγωγή.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 22] Καὶ ἐποίησε Μωυσῆς καθὰ ἐνετείλατο αὐτῷ Κύριος· καὶ λαβὼν τὸν Ἰησοῦν, ἔστησεν αὐτὸν ἐναντίον Ἐλεάζαρ τοῦ ἱερέως, καὶ ἐναντίον πάσης συναγωγῆς,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 23] καὶ ἐπέθηκε τὰς χεῖρας αὐτοῦ ἐπʼ αὐτὸν, καὶ συνέστησεν αὐτὸν καθάπερ συνέταξε Κύριος τῷ Μωυσῇ.
