[LXX | EL | OT | Numbers | Chapter 35 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν ἐπὶ δυσμῶν Μωὰβ παρὰ τὸν Ἰορδάνην κατὰ Ἱεριχὼ, λέγων,
[LXX | EL | OT | Numbers | Chapter 35 | Verse 25] Καὶ ἐξελεῖται ἡ συναγωγὴ τὸν φονεύσαντα ἀπὸ τοῦ ἀγχιστεύοντος τὸ αἷμα, καὶ ἀποκαταστήσουσιν αὐτὸν ἡ συναγωγὴ εἰς τὴν πόλιν τοῦ φυγαδευτηρίου αὐτοῦ, οὗ κατέφυγε, καὶ κατοικήσει ἐκεῖ ἕως ἂν ἀποθάνῃ ὁ ἱερεὺς ὁ μέγας, ὃν ἔχρισαν αὐτὸν τῷ ἐλαίῳ τῷ ἁγίῳ.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 26] Ἐὰν δὲ ἐξόδῳ ἐξέλθῃ ὁ φονεύασς τὰ ὅρια τῆς πόλεως εἰς ἣν κατέφυγεν ἐκεῖ,
[LXX | EL | OT | Numbers | Chapter 35 | Verse 27] καὶ εὕρῃ αὐτὸν ὁ ἀγχιστεύων τὸ αἷμα ἔξω τῶν ὁρίων τῆς πόλεως καταφυγῆς αὐτοῦ, καὶ φονεύσῃ ὁ ἀγχιστεύων τὸ αἷμα τὸν φονεύσαντα, οὐκ ἔνοχός ἐστιν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 28] Ἐν γὰρ τῇ πόλει τῆς καταφυγῆς κατοικείτω ἕως ἂν ἀποθάνῃ ὁ ἱερεὺς ὁ μέγας· καὶ μετὰ τὸ ἀποθανεῖν τὸν ἱερέα τὸν μέγαν, ἐπαναστραφήσεται ὁ φονεύσας εἰς τὴν γῆν τῆς κατασχέσεως αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 29] Καὶ ἔσται ταῦτα ὑμῖν εἰς δικαίωμα κρίματος εἰς τὰς γενεὰς ὑμῶν ἐν πάσαις ταῖς κατοικίαις ὑμῶν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 30] Πᾶς πατάξας ψυχήν, διὰ μαρτύρων φονεύσεις τὸν φονεύσαντα· καὶ μάρτυς εἷς οὐ μαρτυρήσει ἐπὶ ψυχὴν ἀποθανεῖν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 31] Καὶ οὐ λήψεσθε λύτρα περὶ ψυχῆς παρὰ τοῦ φονεύσαντος τοῦ ἐνόχου ὄντος ἀναιρεθῆναι· θανάτῳ γὰρ θανατωθήσεται.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 32] Οὐ λήψεσθε λύτρα τοῦ φυγεῖν εἰς πόλιν τῶν φυγαδευτηρίων, τοῦ πάλιν κατοικεῖν ἐπὶ τῆς γῆς, ἕως ἂν ἀποθάνῃ ὁ ἱερεὺς ὁ μέγας.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 33] Καὶ οὐ μὴ φονοκτονήσητε τὴν γῆν εἰς ἣν ὑμεῖς κατοικεῖτε· τὸ γὰρ αἷμα τοῦτο φονοκτονεῖ τὴν γῆν, καὶ οὐκ ἐξιλασθήσεται ἡ γῆ ἀπὸ τοῦ αἵματος τοῦ ἐκχυθέντος ἐπʼ αὐτῆς, ἀλλʼ ἐπὶ τοῦ αἵματος τοῦ ἐκχέοντος.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 34] Καὶ οὐ μιανεῖτε τὴν γῆν ἐφʼ ἧς κατοικεῖτε ἐπʼ αὐτῆς, ἐφʼ ἧς ἐγὼ κατασκηνώ ἐν ὑμῖν· ἐγὼ γάρ εἰμι Κύριος κατασκηνῶν ἐν μέσῳ τῶν υἱῶν Ἰσραήλ.
