[LXX | EL | OT | Numbers | Chapter 32 | Verse 1] Καὶ κτήνη πλῆθος ἦν τοῖς υἱοῖς Ῥουβὴν καὶ τοῖς υἱοῖς Γὰδ, πλῆθος σφόδρα· καὶ εἶδον τὴν χώραν Ἰαζὴρ, καὶ τὴν χώραν Γαλαάδ· καὶ ἦν ὁ τόπος, τόπος κτήνεσι·
[LXX | EL | OT | Numbers | Chapter 32 | Verse 19] Καὶ οὐκέτι κληρονομήσομεν ἐν αὐτοῖς ἀπὸ τοῦ πέραν τοῦ Ἰορδάνου καὶ ἐπέκεινα, ὅτι ἀπέχομεν τοὺς κλήρους ἡμῶν ἐν τῷ πέραν τοῦ Ἰορδάνου ἐν ἀνατολαῖς.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 20] Καὶ εἶπε πρὸς αὐτοὺς Μωυσῆς, ἐὰν ποιήσητε κατὰ τὸ ῥῆμα τοῦτο, ἐὰν ἐξοπλίσησθε ἔναντι Κυρίου εἰς πόλεμον,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 21] καὶ παρελεύσεται ὑμῶν πᾶς ὁπλίτης τὸν Ἰορδάνην ἔναντι Κυρίου, ἕως ἂν ἐκτριβῇ ὁ ἐχθρὸς αὐτοῦ ἀπὸ προσώπου αὐτοῦ,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 22] καὶ κατακυριευθῇ ἡ γῆ ἔναντι Κυρίου, καὶ μετὰ ταῦτα ἀποστραφήσεσθε, καὶ ἔσεσθε ἀθῶοι ἔναντι Κυρίου, καὶ ἀπὸ Ἰσραήλ· καὶ ἔσται ἡ γῆ αὕτη ὑμῖν ἐν κατασχέσει ἔναντι Κυρίου.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 23] Ἐὰν δὲ μὴ ποιήσητε οὕτως, ἁμαρτήσεσθε ἔναντι Κυρίου· καὶ γνώσεσθε τὴν ἁμαρτίαν ὑμῶν, ὅταν ὑμᾶς καταλάβῃ τὰ κακά.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 24] Καὶ οἰκοδομήσετε ὑμῖν ἑαυτοῖς πόλεις τῇ ἀποσκευῇ ὑμῶν, καὶ ἐπαύλεις τοῖς κτήνεσιν ὑμῶν· καὶ τὸ ἐκπορευόμενον ἐκ τοῦ στόματος ὑμῶν ποιήσετε.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 25] Καὶ εἶπαν υἱοὶ Ῥουβὴν καὶ υἱοὶ Γὰδ πρὸς Μωυσῆν, λέγοντες, οἱ παῖδές σου ποιήσουσι καθὰ ὁ Κύριος ἡμῶν ἐντέλλεται.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 26] Ἡ ἀποσκευὴ ἡμῶν, καὶ αἱ γυναῖκες ἡμῶν, καὶ πάντα τὰ κτήνη ἡμῶν ἔσονται ἐν ταῖς πόλεσιν Γαλαάδ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 27] Οἱ δὲ παῖδές σου παρελεύσονται πάντες ἐνωπλισμένοι καὶ ἐκτεταγμένοι ἔναντι Κυρίου εἰς τὸν πόλεμον, ὃν τρόπον ὁ κύριος λέγει.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 28] Καὶ συνέστησεν αὐτοῖς Μωυσῆς Ἐλεάζαρ τὸν ἱερέα, καὶ Ἰησοῦν υἱὸν Ναυὴ, καὶ τοὺς ἄρχοντας πατριῶν τῶν φυλῶν Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 29] Καὶ εἶπε πρὸς αὐτοὺς Μωυσῆς, ἐὰν διαβῶσιν οἱ υἱοὶ Ῥουβὴν καὶ οἱ υἱοὶ Γὰδ μεθʼ ὑμῶν τὸν Ἰορδάνην, πᾶς ἐνωπλισμένος εἰς πόλεμον ἔναντι Κυρίου, καὶ κατακυριεύσητε τῆς γῆς ἀπέναντι ὑμῶν, καὶ δώσετε αὐτοῖς τὴν γῆν Γαλαὰδ ἐν κατασχέσει.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 30] Ἐὰν δὲ μὴ διαβῶσιν ἐνωπλισμένοι μεθʼ ὑμῶν εἰς τὸν πόλεμον ἔναντι Κυρίου, καὶ διαβιβάσετε τὴν ἀποσκευὴν αὐτῶν, καὶ τὰς γυναῖκας αὐτῶν, καὶ τὰ κτήνη αὐτῶν πρότερα ὑμῶν εἰς γῆν Χαναὰν, καὶ συγκατακληρονομηθήσονται ἐν ὑμῖν ἐν τῇ γῇ Χαναάν.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 31] Καὶ ἀπεκρίθησαν οἱ υἱοὶ Ῥουβὴν καὶ οἱ υἱοὶ Γὰδ λέγοντες, ὅσα ὁ Κύριος λέγει τοῖς θεράπουσιν, οὕτω ποιήσομεν ἡμεῖς.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 32] Διαβησόμεθα ἐνωπλισμένοι ἔναντι Κυρίου εἰς γῆν Χαναὰν, καὶ δώσετε τὴν κατάσχεσιν ἡμῖν ἐν τῷ πέραν τοῦ Ἰορδάνου.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 33] Καὶ ἔδωκεν αὐτοῖς Μωυσῆς τοῖς υἱοῖς Γὰδ, καὶ τοῖς υἱοῖς Ῥουβὴν, καὶ τῷ ἡμίσει φυλῆς Μανασσῆ υἱῶν Ἰωσὴφ, τὴν βασιλείαν Σηὼν βασιλέως Ἀμοῤῥαίων, καὶ τὴν βασιλείαν Ὢγ βασιλέως τῆς Βασὰν, τὴν γῆν καὶ τὰς πόλεις σὺν τοῖς ὁρίοις αὐτῆς, πόλεις τῆς γῆς κύκλῳ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 34] Καὶ ᾠκοδόμησαν οἱ υἱοὶ Γὰδ τὴν Δαιβὼν, καὶ τὴν Ἀταρὼθ, καὶ τὴν Ἀροὴρ,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 35] καὶ τὴν Σοφὰρ, καὶ τὴν Ἰαζὴρ, καὶ ὕψωσαν αὐτὰς,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 36] καὶ τὴν Ναμρὰμ, καὶ τὴν Βαιθαρὰν, πόλεις ὀχυρὰς, καὶ ἐπαύλεις προβάτων.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 37] Καὶ οἱ υἱοὶ Ῥουβὴν ᾠκοδόμησαν τὴν Ἐσεβὼν, καὶ Ἐλεάλην, καὶ Καριαθὰμ,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 38] καὶ τὴν Βεελμεὼν, περικεκυκλωμένας, καὶ τὴν Σεβαμά· καὶ ἐπωνόμασαν κατὰ τὰ ὀνόματα αὐτῶν τὰ ὀνόματα τῶν πόλεων, ἃς ᾠκοδόμησαν.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 39] Καὶ ἐπορεύθη υἱὸς Μαχὶρ υἱοῦ Μανασσὴ Γαλαὰδ, καὶ ἔλαβεν αὐτὴν, καὶ ἀπώλεσε τὸν Ἀμοῤῥαῖον τὸν κατοικοῦντα ἐν αὐτῇ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 40] Καὶ ἔδωκε Μωυσῆς τὴν Γαλαὰδ τῷ Μαχὶρ υἱῷ Μανασσῆ, καὶ κατῴκησεν ἐκεῖ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 41] Καὶ Ἰαῒρ ὁ τοῦ Μανασσῆ ἐπορεύθη, καὶ ἔλαβε τὰς ἐπαύλεις αὐτῶν, καὶ ἐπωνόμασεν αὐτὰς ἐπαύλεις Ἰαΐρ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 42] Καὶ Ναβαὺ ἐπορεύθη, καὶ ἔλαβε τὴν Καὰθ καὶ τὰς κώμας αὐτῆς, καὶ ἐπωνόμασεν αὐτὰς Ναβὼθ ἐκ τοῦ ὀνόματος αὐτοῦ.
