[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 1] ⸂Καταβάντος δὲ αὐτοῦ⸃ ἀπὸ τοῦ ὄρους ἠκολούθησαν αὐτῷ ὄχλοι πολλοί.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 13] καὶ εἶπεν ὁ Ἰησοῦς τῷ ἑκατοντάρχῃ· Ὕπαγε, ⸀ὡς ἐπίστευσας γενηθήτω σοι· καὶ ἰάθη ὁ ⸀παῖς ἐν τῇ ὥρᾳ ἐκείνῃ.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 14] Καὶ ἐλθὼν ὁ Ἰησοῦς εἰς τὴν οἰκίαν Πέτρου εἶδεν τὴν πενθερὰν αὐτοῦ βεβλημένην καὶ πυρέσσουσαν·
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 15] καὶ ἥψατο τῆς χειρὸς αὐτῆς, καὶ ἀφῆκεν αὐτὴν ὁ πυρετός, καὶ ἠγέρθη καὶ διηκόνει αὐτῷ.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 16] Ὀψίας δὲ γενομένης προσήνεγκαν αὐτῷ δαιμονιζομένους πολλούς· καὶ ἐξέβαλεν τὰ πνεύματα λόγῳ, καὶ πάντας τοὺς κακῶς ἔχοντας ἐθεράπευσεν·
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 17] ὅπως πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος· Αὐτὸς τὰς ἀσθενείας ἡμῶν ἔλαβεν καὶ τὰς νόσους ἐβάστασεν.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 18] Ἰδὼν δὲ ὁ Ἰησοῦς ⸂πολλοὺς ὄχλους⸃ περὶ αὐτὸν ἐκέλευσεν ἀπελθεῖν εἰς τὸ πέραν.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 19] καὶ προσελθὼν εἷς γραμματεὺς εἶπεν αὐτῷ· Διδάσκαλε, ἀκολουθήσω σοι ὅπου ἐὰν ἀπέρχῃ.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 20] καὶ λέγει αὐτῷ ὁ Ἰησοῦς· Αἱ ἀλώπεκες φωλεοὺς ἔχουσιν καὶ τὰ πετεινὰ τοῦ οὐρανοῦ κατασκηνώσεις, ὁ δὲ υἱὸς τοῦ ἀνθρώπου οὐκ ἔχει ποῦ τὴν κεφαλὴν κλίνῃ.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 21] ἕτερος δὲ τῶν ⸀μαθητῶν εἶπεν αὐτῷ· Κύριε, ἐπίτρεψόν μοι πρῶτον ἀπελθεῖν καὶ θάψαι τὸν πατέρα μου.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 22] ὁ δὲ Ἰησοῦς ⸀λέγει αὐτῷ· Ἀκολούθει μοι, καὶ ἄφες τοὺς νεκροὺς θάψαι τοὺς ἑαυτῶν νεκρούς.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 23] Καὶ ἐμβάντι αὐτῷ ⸀εἰς πλοῖον ἠκολούθησαν αὐτῷ οἱ μαθηταὶ αὐτοῦ.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 24] καὶ ἰδοὺ σεισμὸς μέγας ἐγένετο ἐν τῇ θαλάσσῃ, ὥστε τὸ πλοῖον καλύπτεσθαι ὑπὸ τῶν κυμάτων, αὐτὸς δὲ ἐκάθευδεν.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 25] καὶ ⸀προσελθόντες ἤγειραν αὐτὸν λέγοντες· Κύριε, ⸀σῶσον, ἀπολλύμεθα.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 26] καὶ λέγει αὐτοῖς· Τί δειλοί ἐστε, ὀλιγόπιστοι; τότε ἐγερθεὶς ἐπετίμησεν τοῖς ἀνέμοις καὶ τῇ θαλάσσῃ, καὶ ἐγένετο γαλήνη μεγάλη.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 27] οἱ δὲ ἄνθρωποι ἐθαύμασαν λέγοντες· Ποταπός ἐστιν οὗτος ὅτι καὶ οἱ ἄνεμοι καὶ ἡ θάλασσα ⸂αὐτῷ ὑπακούουσιν⸃;
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 28] Καὶ ⸂ἐλθόντος αὐτοῦ⸃ εἰς τὸ πέραν εἰς τὴν χώραν τῶν ⸀Γαδαρηνῶν ὑπήντησαν αὐτῷ δύο δαιμονιζόμενοι ἐκ τῶν μνημείων ἐξερχόμενοι, χαλεποὶ λίαν ὥστε μὴ ἰσχύειν τινὰ παρελθεῖν διὰ τῆς ὁδοῦ ἐκείνης.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 29] καὶ ἰδοὺ ἔκραξαν λέγοντες· Τί ἡμῖν καὶ ⸀σοί, υἱὲ τοῦ θεοῦ; ἦλθες ὧδε πρὸ καιροῦ βασανίσαι ἡμᾶς;
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 30] ἦν δὲ μακρὰν ἀπʼ αὐτῶν ἀγέλη χοίρων πολλῶν βοσκομένη.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 31] οἱ δὲ δαίμονες παρεκάλουν αὐτὸν λέγοντες· Εἰ ἐκβάλλεις ἡμᾶς, ⸂ἀπόστειλον ἡμᾶς⸃ εἰς τὴν ἀγέλην τῶν χοίρων.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 32] καὶ εἶπεν αὐτοῖς· Ὑπάγετε. οἱ δὲ ἐξελθόντες ἀπῆλθον εἰς ⸂τοὺς χοίρους⸃· καὶ ἰδοὺ ὥρμησεν πᾶσα ἡ ⸀ἀγέλη κατὰ τοῦ κρημνοῦ εἰς τὴν θάλασσαν, καὶ ἀπέθανον ἐν τοῖς ὕδασιν.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 33] οἱ δὲ βόσκοντες ἔφυγον, καὶ ἀπελθόντες εἰς τὴν πόλιν ἀπήγγειλαν πάντα καὶ τὰ τῶν δαιμονιζομένων.
[SBLGNT | EL | NT | Matthew | Chapter 8 | Verse 34] καὶ ἰδοὺ πᾶσα ἡ πόλις ἐξῆλθεν εἰς ⸀ὑπάντησιν τῷ Ἰησοῦ, καὶ ἰδόντες αὐτὸν παρεκάλεσαν ὅπως μεταβῇ ἀπὸ τῶν ὁρίων αὐτῶν.
