[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 1] Zedekiah was one and twenty years old when he began to reign, and he reigned eleven years in Jerusalem. And his mother's name was Hamutal, the daughter of Jeremiah of Libnah.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 12] Now in the fifth month, in the tenth day of the month, which was the nineteenth year of Nebuchadrezzar king of Babylon, came Nebuzar-adan, captain of the guard, who served the king of Babylon, into Jerusalem,
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 13] And burned the house of the LORD, and the king's house; and all the houses of Jerusalem, and all the houses of the great men he burned with fire:
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 14] And all the army of the Chaldeans, that were with the captain of the guard, broke down all the walls of Jerusalem on every side.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 15] Then Nebuzar-adan the captain of the guard carried away captive certain of the poor of the people, and the residue of the people that remained in the city, and those that fell away, that fell to the king of Babylon, and the rest of the multitude.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 16] But Nebuzar-adan the captain of the guard left certain of the poor of the land for vine-dressers and for husbandmen.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 17] Also the pillars of brass that were in the house of the LORD, and the bases, and the brazen sea that was in the house of the LORD, the Chaldeans broke, and carried all the brass of them to Babylon.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 18] The caldrons also, and the shovels, and the snuffers, and the bowls, and the spoons, and all the vessels of brass with which they ministered, they took away.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 19] And the basins, and the fire-pans, and the bowls, and the caldrons, and the candlesticks, and the spoons, and the cups; that which was of gold in gold, and that which was of silver in silver, the captain of the guard took away.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 20] The two pillars, one sea, and twelve brazen bulls that were under the bases, which king Solomon had made in the house of the LORD: the brass of all these vessels was without weight.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 21] And concerning the pillars, the hight of one pillar was eighteen cubits; and a fillet of twelve cubits encompassed it; and the thickness of it was four fingers: it was hollow.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 22] And a capital of brass was upon it; and the hight of one capital was five cubits, with net-work and pomegranates upon the capitals around, all of brass. The second pillar also and the pomegranates were like to these.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 23] And there were ninety and six pomegranates on a side; and all the pomegranates upon the net-work were a hundred on all sides.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 24] And the captain of the guard took Seraiah the chief priest, and Zephaniah the second priest, and the three keepers of the door:
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 25] He took also out of the city a eunuch, who had the charge of the men of war; and seven men of them that were near the king's person, who were found in the city; and the principal scribe of the host, who mustered the people of the land; and sixty men of the people of the land, that were found in the midst of the city.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 26] So Nebuzar-adan the captain of the guard took them, and brought them to the king of Babylon to Riblah.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 27] And the king of Babylon smote them, and put them to death in Riblah, in the land of Hamath. Thus Judah was carried away captive out of his own land.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 28] This is the people whom Nebuchadrezzar carried away captive: in the seventh year three thousand Jews and three and twenty:
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 29] In the eighteenth year of Nebuchadrezzar he carried away captive from Jerusalem eight hundred thirty and two persons:
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 30] In the three and twentieth year of Nebuchadrezzar, Nebuzar-adan the captain of the guard carried away captive of the Jews seven hundred forty and five persons: all the persons were four thousand and six hundred.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 31] And it came to pass in the seven and thirtieth year of the captivity of Jehoiachin king of Judah, in the twelfth month, in the five and twentieth day of the month, that Evil-merodach king of Babylon in the first year of his reign lifted up the head of Jehoiachin king of Judah, and brought him out of prison,
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 32] And spoke kindly to him, and set his throne above the throne of the kings that were with him in Babylon,
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 33] And changed his prison garments: and he continually ate bread before him all the days of his life.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 34] And for his food there was a continual diet given him of the king of Babylon, every day a portion until the day of his death, all the days of his life.
