[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 1] ਉਹ ਜਾਜਕ ਅਤੇ ਲੇਵੀ ਜਿਹੜੇ ਸ਼ਅਲਤੀਏਲ ਦੇ ਪੁੱਤਰ ਜ਼ਰੂੱਬਾਬਲ ਅਤੇ ਯੇਸ਼ੂਆ ਦੇ ਨਾਲ ਮੁੜ ਆਏ, ਉਹ ਇਹ ਸਨ: ਸਰਾਯਾਹ, ਯਿਰਮਿਯਾਹ, ਅਜ਼ਰਾ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 12] ਯੋਯਾਕੀਮ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਇਹ ਜਾਜਕ ਆਪੋ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ, ਸਰਾਯਾਹ ਤੋਂ ਮਿਰਯਾਹ ਅਤੇ ਯਿਰਮਿਯਾਹ ਤੋਂ ਹਨਨਯਾਹ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 13] ਅਜ਼ਰਾ ਤੋਂ ਮਸ਼ੁੱਲਾਮ ਅਤੇ ਅਮਰਯਾਹ ਤੋਂ ਯਹੋਹਾਨਾਨ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 14] ਮਲੂਕੀ ਤੋਂ ਯੋਨਾਥਾਨ ਅਤੇ ਸ਼ਬਨਯਾਹ ਤੋਂ ਯੂਸੁਫ਼,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 15] ਹਾਰੀਮ ਤੋਂ ਅਦਨਾ ਅਤੇ ਮਰਾਯੋਥ ਤੋਂ ਹਲਕਈ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 16] ਇੱਦੋ ਤੋਂ ਜ਼ਕਰਯਾਹ ਅਤੇ ਗਿਨਥੋਨ ਤੋਂ ਮਸ਼ੁੱਲਾਮ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 17] ਅਬਿਯਾਹ ਤੋਂ ਜ਼ਿਕਰੀ ਅਤੇ ਮਿਨਯਾਮੀਨ ਤੋਂ ਅਤੇ ਮੋਅਦਯਾਹ ਤੋਂ ਪਿਲਟਾਈ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 18] ਬਿਲਗਾਹ ਤੋਂ ਸ਼ੰਮੂਆ ਅਤੇ ਸ਼ਮਅਯਾਹ ਤੋਂ ਯੋਨਾਥਾਨ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 19] ਯੋਯਾਰੀਬ ਤੋਂ ਮਤਨਈ ਅਤੇ ਯਦਾਯਾਹ ਤੋਂ ਉੱਜ਼ੀ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 20] ਸੱਲਈ ਤੋਂ ਕੱਲਈ ਅਤੇ ਆਮੋਕ ਤੋਂ ਏਬਰ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 21] ਹਿਲਕੀਯਾਹ ਤੋਂ ਹਸ਼ਬਯਾਹ ਅਤੇ ਯਦਾਯਾਹ ਤੋਂ ਨਥਨਏਲ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 22] ਅਲਯਾਸ਼ੀਬ, ਯੋਯਾਦਾ, ਯੋਹਾਨਾਨ ਅਤੇ ਯੱਦੂਆ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਲੇਵੀ ਘਰਾਣਿਆਂ ਦੇ ਆਗੂਆਂ ਦੇ ਨਾਮ ਅਤੇ ਜਾਜਕਾਂ ਦੇ ਨਾਮ ਵੀ ਦਾਰਾ ਫ਼ਾਰਸੀ ਦੇ ਰਾਜ ਵਿੱਚ ਲਿਖੇ ਜਾਂਦੇ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 23] ਲੇਵੀਆਂ ਦੇ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਆਗੂਆਂ ਦੇ ਨਾਮ ਅਲਯਾਸ਼ੀਬ ਦੇ ਪੁੱਤਰ ਯੋਹਾਨਾਨ ਦੇ ਦਿਨਾਂ ਤੱਕ ਇਤਿਹਾਸ ਦੀ ਪੁਸਤਕ ਵਿੱਚ ਲਿਖੇ ਜਾਂਦੇ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 24] ਲੇਵੀਆਂ ਦੇ ਆਗੂ ਇਹ ਸਨ: ਹਸ਼ਬਯਾਹ, ਸ਼ੇਰੇਬਯਾਹ ਅਤੇ ਕਦਮੀਏਲ ਦਾ ਪੁੱਤਰ ਯੇਸ਼ੂਆ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਭਰਾ ਪਰਮੇਸ਼ੁਰ ਦੇ ਦਾਸ ਦਾਊਦ ਦੇ ਹੁਕਮ ਅਨੁਸਾਰ ਆਹਮੋ-ਸਾਹਮਣੇ ਉਸਤਤ ਅਤੇ ਧੰਨਵਾਦ ਕਰਨ ਲਈ ਨਿਯੁਕਤ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 25] ਮੱਤਨਯਾਹ, ਬਕਬੁਕਯਾਹ, ਓਬਦਯਾਹ, ਮਸ਼ੁੱਲਾਮ, ਤਲਮੋਨ ਅਤੇ ਅੱਕੂਬ ਦਰਬਾਨ ਸਨ ਅਤੇ ਫਾਟਕਾਂ ਦੇ ਕੋਲ ਭੰਡਾਰ-ਘਰਾਂ ਉੱਤੇ ਪਹਿਰਾ ਦਿੰਦੇ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 26] ਯੋਸਾਦਾਕ ਦੇ ਪੋਤਰੇ ਯੇਸ਼ੂਆ ਦੇ ਪੁੱਤਰ ਯੋਯਾਕੀਮ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਅਤੇ ਨਹਮਯਾਹ ਹਾਕਮ ਅਤੇ ਅਜ਼ਰਾ ਜਾਜਕ ਅਤੇ ਸ਼ਾਸਤਰੀ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਇਹ ਹੀ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 27] ਯਰੂਸ਼ਲਮ ਦੀ ਸ਼ਹਿਰਪਨਾਹ ਦੇ ਸਮਰਪਣ ਦੇ ਸਮੇਂ ਲੇਵੀਆਂ ਨੂੰ ਸਾਰੇ ਸਥਾਨਾਂ ਵਿੱਚ ਭਾਲਿਆ ਗਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਲਿਆਇਆ ਗਿਆ ਤਾਂ ਜੋ ਉਹ ਅਨੰਦ ਅਤੇ ਧੰਨਵਾਦ ਕਰਕੇ ਅਤੇ ਛੈਣੇ, ਸਿਤਾਰ ਅਤੇ ਬਰਬਤਾਂ ਵਜਾ ਕੇ ਅਤੇ ਗਾ ਕੇ ਉਸਦਾ ਸਮਰਪਣ ਕਰਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 28] ਗਾਇਕਾਂ ਦੇ ਵੰਸ਼ ਨੂੰ ਯਰੂਸ਼ਲਮ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਦੇ ਇਲਾਕਿਆਂ ਵਿੱਚੋਂ ਅਤੇ ਨਟੋਫਾਥੀਆਂ ਦੇ ਪਿੰਡਾਂ ਵਿੱਚੋਂ
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 29] ਅਤੇ ਬੈਤ ਗਿਲਗਾਲ ਤੋਂ ਅਤੇ ਗਬਾ ਅਤੇ ਅਜ਼ਮਾਵਥ ਦੇ ਖੇਤਾਂ ਤੋਂ ਇਕੱਠਾ ਕੀਤਾ ਗਿਆ, ਕਿਉਂਕਿ ਗਾਇਕਾਂ ਨੇ ਯਰੂਸ਼ਲਮ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਆਪਣੇ ਲਈ ਪਿੰਡ ਬਣਾ ਲਏ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 30] ਜਾਜਕਾਂ ਅਤੇ ਲੇਵੀਆਂ ਨੇ ਆਪਣੇ ਆਪ ਨੂੰ ਸ਼ੁੱਧ ਕਰ ਲਿਆ ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਪਰਜਾ ਨੂੰ ਅਤੇ ਫਾਟਕਾਂ ਨੂੰ ਅਤੇ ਸ਼ਹਿਰਪਨਾਹ ਨੂੰ ਸ਼ੁੱਧ ਕੀਤਾ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 31] ਫਿਰ ਮੈਂ ਯਹੂਦਾਹ ਦੇ ਹਾਕਮਾਂ ਨੂੰ ਸ਼ਹਿਰਪਨਾਹ ਉੱਤੇ ਲਿਆਇਆ ਅਤੇ ਮੈਂ ਦੋ ਵੱਡੀਆਂ ਟੋਲੀਆਂ ਠਹਿਰਾਈਆਂ ਤਾਂ ਜੋ ਉਹ ਧੰਨਵਾਦ ਕਰਨ ਅਤੇ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਟੋਲੀ ਸੱਜੇ ਹੱਥ ਕੂੜਾ-ਫਾਟਕ ਵੱਲ ਗਈ
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 32] ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪਿੱਛੇ-ਪਿੱਛੇ ਹੋਸ਼ਆਯਾਹ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਅੱਧੇ ਹਾਕਮ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 33] ਅਤੇ ਅਜ਼ਰਯਾਹ, ਅਜ਼ਰਾ, ਮਸ਼ੁੱਲਾਮ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 34] ਯਹੂਦਾਹ, ਬਿਨਯਾਮੀਨ, ਸ਼ਮਅਯਾਹ ਤੇ ਯਿਰਮਿਯਾਹ ਗਏ
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 35] ਅਤੇ ਜਾਜਕਾਂ ਦੇ ਪੁੱਤਰਾਂ ਨੇ ਨਰਸਿੰਗੇ ਲਏ ਹੋਏ ਸਨ ਅਤੇ ਜ਼ਕਰਯਾਹ ਯੋਨਾਥਾਨ ਦਾ ਪੁੱਤਰ, ਉਹ ਸ਼ਮਅਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਮੱਤਨਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਮੀਕਾਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਜ਼ੱਕੂਰ ਦਾ ਪੁੱਤਰ, ਉਹ ਆਸਾਫ਼ ਦਾ ਪੁੱਤਰ
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 36] ਅਤੇ ਉਸ ਦੇ ਭਰਾ ਸ਼ਮਅਯਾਹ, ਅਜ਼ਰਏਲ, ਮਿਲਲਈ, ਗਿਲਲਈ, ਮਾਈ, ਨਥਨਏਲ, ਯਹੂਦਾਹ ਅਤੇ ਹਨਾਨੀ, ਪਰਮੇਸ਼ੁਰ ਦੇ ਦਾਸ ਦਾਊਦ ਦੇ ਵਾਜਿਆਂ ਨਾਲ ਸਨ ਅਤੇ ਅਜ਼ਰਾ ਸ਼ਾਸਤਰੀ ਉਨ੍ਹਾਂ ਦੇ ਅੱਗੇ-ਅੱਗੇ ਚੱਲ ਰਿਹਾ ਸੀ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 37] ਇਹ ਚਸ਼ਮਾ-ਫਾਟਕ ਤੋਂ ਹੋ ਕੇ ਇਹ ਸਿੱਧੇ ਦਾਊਦ ਦੇ ਸ਼ਹਿਰ ਦੀਆਂ ਪੌੜੀਆਂ ਉੱਤੇ ਚੜ੍ਹ ਕੇ ਜਿੱਥੋਂ ਸ਼ਹਿਰਪਨਾਹ ਉੱਪਰ ਵੱਲ ਜਾਂਦੀ ਸੀ, ਦਾਊਦ ਦੇ ਮਹਿਲ ਦੇ ਉੱਪਰੋਂ ਹੋ ਕੇ ਪੂਰਬ ਵੱਲ ਜਲ-ਫਾਟਕ ਨੂੰ ਗਏ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 38] ਉਨ੍ਹਾਂ ਦੀ ਦੂਸਰੀ ਟੋਲੀ ਜਿਹੜੀ ਧੰਨਵਾਦ ਕਰਦੀ ਸੀ, ਦੂਜੇ ਪਾਸੇ ਵੱਲ ਗਈ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪਿੱਛੇ-ਪਿੱਛੇ ਮੈਂ ਅਤੇ ਅੱਧੀ ਪਰਜਾ ਸ਼ਹਿਰਪਨਾਹ ਦੇ ਉੱਪਰੋਂ ਤੰਦੂਰਾਂ ਦੇ ਬੁਰਜ ਦੇ ਕੋਲ ਚੌੜੀ ਕੰਧ ਤੱਕ ਗਏ
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 39] ਅਤੇ ਇਫ਼ਰਾਈਮੀ ਫਾਟਕ, ਅਤੇ ਪੁਰਾਣੇ ਫਾਟਕ, ਅਤੇ ਮੱਛੀ ਫਾਟਕ, ਅਤੇ ਹਨਨੇਲ ਦੇ ਬੁਰਜ ਅਤੇ ਹੰਮੇਆਹ ਦੇ ਬੁਰਜ ਤੋਂ ਹੁੰਦੇ ਹੋਏ ਭੇਡ-ਫਾਟਕ ਤੱਕ ਗਏ ਅਤੇ ਕੈਦਖ਼ਾਨੇ ਦੇ ਫਾਟਕ ਕੋਲ ਖੜ੍ਹੇ ਹੋ ਗਏ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 40] ਤਦ ਧੰਨਵਾਦ ਕਰਨ ਵਾਲਿਆਂ ਦੀਆਂ ਦੋਵੇਂ ਟੋਲੀਆਂ ਅਤੇ ਮੈਂ ਅਤੇ ਮੇਰੇ ਨਾਲ ਅੱਧੇ ਹਾਕਮ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਵਿੱਚ ਖੜ੍ਹੇ ਹੋ ਗਏ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 41] ਅਤੇ ਜਾਜਕ - ਅਲਯਾਕੀਮ, ਮਅਸੇਯਾਹ, ਮਿਨਯਾਮੀਨ, ਮੀਕਾਯਾਹ, ਅਲਯੋਏਨਈ, ਜ਼ਕਰਯਾਹ ਅਤੇ ਹਨਨਯਾਹ ਨਰਸਿੰਗਿਆਂ ਦੇ ਨਾਲ ਖੜ੍ਹੇ ਸਨ
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 42] ਅਤੇ ਮਅਸੇਯਾਹ, ਸ਼ਮਅਯਾਹ, ਅਲਆਜ਼ਾਰ, ਉੱਜ਼ੀ, ਯਹੋਹਾਨਾਨ, ਮਲਕੀਯਾਹ, ਏਲਾਮ ਅਤੇ ਆਜ਼ਰ ਅਤੇ ਗਾਇਕ ਯਜ਼ਰਯਾਹ ਜਿਹੜਾ ਉਨ੍ਹਾਂ ਦਾ ਆਗੂ ਸੀ, ਉਹ ਉੱਚੀ ਅਵਾਜ਼ ਨਾਲ ਗਾਉਂਦੇ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 43] ਉਸ ਦਿਨ ਲੋਕਾਂ ਨੇ ਵੱਡੀਆਂ ਬਲੀਆਂ ਚੜ੍ਹਾਈਆਂ ਅਤੇ ਵੱਡਾ ਅਨੰਦ ਮਨਾਇਆ ਕਿਉਂਕਿ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਹੁਤ ਹੀ ਅਨੰਦ ਦਿੱਤਾ ਸੀ, ਇਸਤਰੀਆਂ ਅਤੇ ਬੱਚਿਆਂ ਨੇ ਵੀ ਅਨੰਦ ਮਨਾਇਆ। ਯਰੂਸ਼ਲਮ ਦੇ ਇਸ ਅਨੰਦ ਦੀ ਅਵਾਜ਼ ਦੂਰ ਤੱਕ ਸੁਣੀ ਗਈ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 44] ਉਸ ਦਿਨ ਉਨ੍ਹਾਂ ਨੇ ਖਜ਼ਾਨੇ ਦੀਆਂ ਕੋਠੜੀਆਂ ਉੱਤੇ, ਚੁੱਕਣ ਦੀਆਂ ਭੇਟਾਂ, ਪਹਿਲੇ ਫਲਾਂ ਅਤੇ ਦਸਵੰਧਾਂ ਲਈ ਮਨੁੱਖ ਠਹਿਰਾਏ ਤਾਂ ਜੋ ਸ਼ਹਿਰਾਂ ਦੇ ਖੇਤਾਂ ਅਨੁਸਾਰ ਉਨ੍ਹਾਂ ਚੀਜ਼ਾਂ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਜੋ ਬਿਵਸਥਾ ਦੇ ਅਨੁਸਾਰ ਜਾਜਕਾਂ ਅਤੇ ਲੇਵੀਆਂ ਦੇ ਹਿੱਸੇ ਦੀਆਂ ਸਨ ਕਿਉਂ ਜੋ ਯਹੂਦੀ ਜਾਜਕਾਂ ਅਤੇ ਲੇਵੀਆਂ ਦੇ ਹਾਜ਼ਰ ਰਹਿਣ ਕਾਰਨ ਖੁਸ਼ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 45] ਇਸ ਲਈ ਉਨ੍ਹਾਂ ਨੇ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸੇਵਾ ਅਤੇ ਸ਼ੁੱਧਤਾਈ ਦੇ ਨੇਮ ਦੀ ਪਾਲਣਾ ਕੀਤੀ, ਅਤੇ ਗਾਇਕ ਅਤੇ ਦਰਬਾਨਾਂ ਨੇ ਵੀ ਦਾਊਦ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਦੇ ਹੁਕਮ ਅਨੁਸਾਰ ਕੀਤਾ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 46] ਕਿਉਂ ਜੋ ਪਹਿਲੇ ਸਮੇਂ ਵਿੱਚ ਅਰਥਾਤ ਦਾਊਦ ਤੇ ਆਸਾਫ਼ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਉਨ੍ਹਾਂ ਗਾਇਕਾਂ ਦੇ ਆਗੂ ਹੁੰਦੇ ਸਨ, ਜਿਹੜੇ ਪਰਮੇਸ਼ੁਰ ਲਈ ਉਸਤਤ ਅਤੇ ਧੰਨਵਾਦ ਦੇ ਗੀਤ ਗਾਉਂਦੇ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 47] ਜ਼ਰੂੱਬਾਬਲ ਅਤੇ ਨਹਮਯਾਹ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਸਾਰਾ ਇਸਰਾਏਲ, ਗਾਇਕਾਂ ਅਤੇ ਦਰਬਾਨਾਂ ਦਾ ਹਰ ਦਿਨ ਦਾ ਹਿੱਸਾ ਦਿੰਦੇ ਰਹੇ, ਉਹ ਲੇਵੀਆਂ ਲਈ ਵੀ ਚੀਜ਼ਾਂ ਪਵਿੱਤਰ ਕਰਕੇ ਦਿੰਦੇ ਸਨ ਅਤੇ ਲੇਵੀ ਹਾਰੂਨ ਦੇ ਵੰਸ਼ ਲਈ ਚੀਜ਼ਾਂ ਪਵਿੱਤਰ ਕਰਕੇ ਦਿੰਦੇ ਸਨ।
