[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 1] ప్రజల అధికారులు యెరూషలేంలో నివాసం ఏర్పరచుకున్నారు. మిగిలిన ప్రజల్లో పదిమందిలో ఒకడు పరిశుద్ధ పట్టణం యెరూషలేంలో నివసించాలనీ, మిగిలిన తొమ్మిదిమంది వేరు వేరు పట్టణాల్లో నివసించాలనీ చీట్లు వేసి నిర్ణయించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 19] ద్వారపాలకులు అక్కూబు, టల్మోను. ద్వారాల దగ్గర కాపలా ఉండేవారు 172 మంది.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 20] ఇశ్రాయేలీయుల్లో మిగిలిపోయిన యాజకులు, లేవీయులు, ఇతరులు అన్ని యూదా పట్టణాల్లో ఎవరి వంతులో వారు ఉండిపోయారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 21] దేవాలయం పనివారు ఓపెలులో నివసించారు. వారిలో ప్రముఖులు జీహా, గిష్పా అనేవాళ్ళు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 22] యెరూషలేంలో ఉన్న లేవీయులకు నాయకుడు ఉజ్జీ. ఇతడు మీకా మనవడు, మత్తన్యా కొడుకు హషబ్యాకు పుట్టిన బానీ కొడుకు. ఆసాపు సంతానం వాళ్ళు గాయకులు, దేవుని మందిరం పనులు పర్యవేక్షించే వారిపై అధికారులు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 23] వీరు చేయాల్సిన పని ఏమిటంటే, గాయకులు నిర్ణయించిన సమయంలో తమ వంతుల ప్రకారం క్రమంగా పనిచేసేలా చూడాలి. రాజు నిర్ణయించిన రోజువారీ పనులు క్రమంగా జరిగించాలి.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 24] యూదా గోత్రం వాడైన జెరహు వంశంలో పుట్టిన మెషేజబెయేలు కొడుకు పెతహయా ప్రజల ఫిర్యాదులు పరిష్కరించే పనిలో రాజు దగ్గర ఉన్నాడు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 25] గ్రామాల, పొలాల విషయంలో, యూదా వంశం వారిలో కొందరు కిర్యతర్బా, దానికి చెందిన ఊళ్లలో, దీబోను, దానికి చెందిన ఊళ్లలో, యెకబ్సెయేలు, దానికి చెందిన ఊళ్లలో నివసించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 26] ఇంకా, యేషూవ, మోలాదా, బేత్పెలెతు ఊళ్ళలో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 27] హజర్షువలు, బెయేర్షెబా దానికి చెందిన ఊళ్లలో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 28] సిక్లగులో, మెకోనాలకు చెందిన ఊళ్లలో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 29] ఏన్రిమ్మోను, జొర్యా, యర్మూతు ఊళ్ళలో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 30] జానోహ, అదుల్లాము, వాటికి చెందిన ఊళ్లలో, లాకీషులో ఉన్న పొలంలో, అజేకా, దానికి చెందిన ఊళ్లలో నివాసం ఉన్నారు. బెయేర్షెబా నుండి హిన్నోము లోయ దాకా వారు నివసించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 31] గెబ నివాసులైన బెన్యామీనీయులు మిక్మషులో, హాయిలో, బేతేలు వాటికి చెందిన ఊళ్లలో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 32] అనాతోతులో, నోబులో, అనన్యాలో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 33] హాసోరులో, రామాలో, గిత్తయీములో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 34] హదీదులో, జెబోయిములో, నెబల్లాటులో,
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 35] లోదులో, పనివారి లోయ అని పిలిచే ఓనోలో నివసించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 36] లేవీ గోత్రికుల గుంపులో యూదా, బెన్యామీను గోత్రాలవారు కొన్ని భాగాలు పంచుకున్నారు.
