[KJV | EN | OT | Numbers | Chapter 4 | Verse 1] And the Lord spake unto Moses and unto Aaron, saying,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 15] And when Aaron and his sons have made an end of covering the sanctuary, and all the vessels of the sanctuary, as the camp is to set forward; after that, the sons of Kohath shall come to bear it: but they shall not touch any holy thing, lest they die. These things are the burden of the sons of Kohath in the tabernacle of the congregation.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 16] And to the office of Eleazar the son of Aaron the priest pertaineth the oil for the light, and the sweet incense, and the daily meat offering, and the anointing oil, and the oversight of all the tabernacle, and of all that therein is, in the sanctuary, and in the vessels thereof.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 17] And the Lord spake unto Moses and unto Aaron, saying,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 18] Cut ye not off the tribe of the families of the Kohathites from among the Levites:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 19] but thus do unto them, that they may live, and not die, when they approach unto the most holy things: Aaron and his sons shall go in, and appoint them every one to his service and to his burden:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 20] but they shall not go in to see when the holy things are covered, lest they die.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 21] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 22] Take also the sum of the sons of Gershon, throughout the houses of their fathers, by their families;
[KJV | EN | OT | Numbers | Chapter 4 | Verse 23] from thirty years old and upward until fifty years old shalt thou number them; all that enter in to perform the service, to do the work in the tabernacle of the congregation.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 24] This is the service of the families of the Gershonites, to serve, and for burdens:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 25] and they shall bear the curtains of the tabernacle, and the tabernacle of the congregation, his covering, and the covering of the badgers’ skins that is above upon it, and the hanging for the door of the tabernacle of the congregation,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 26] and the hangings of the court, and the hanging for the door of the gate of the court, which is by the tabernacle and by the altar round about, and their cords, and all the instruments of their service, and all that is made for them: so shall they serve.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 27] At the appointment of Aaron and his sons shall be all the service of the sons of the Gershonites, in all their burdens, and in all their service: and ye shall appoint unto them in charge all their burdens.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 28] This is the service of the families of the sons of Gershon in the tabernacle of the congregation: and their charge shall be under the hand of Ithamar the son of Aaron the priest.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 29] As for the sons of Merari, thou shalt number them after their families, by the house of their fathers;
[KJV | EN | OT | Numbers | Chapter 4 | Verse 30] from thirty years old and upward even unto fifty years old shalt thou number them, every one that entereth into the service, to do the work of the tabernacle of the congregation.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 31] And this is the charge of their burden, according to all their service in the tabernacle of the congregation; the boards of the tabernacle, and the bars thereof, and the pillars thereof, and sockets thereof,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 32] and the pillars of the court round about, and their sockets, and their pins, and their cords, with all their instruments, and with all their service: and by name ye shall reckon the instruments of the charge of their burden.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 33] This is the service of the families of the sons of Merari, according to all their service, in the tabernacle of the congregation, under the hand of Ithamar the son of Aaron the priest.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 34] And Moses and Aaron and the chief of the congregation numbered the sons of the Kohathites after their families, and after the house of their fathers,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 35] from thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 36] and those that were numbered of them by their families were two thousand seven hundred and fifty.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 37] These were they that were numbered of the families of the Kohathites, all that might do service in the tabernacle of the congregation, which Moses and Aaron did number according to the commandment of the Lord by the hand of Moses.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 38] And those that were numbered of the sons of Gershon, throughout their families, and by the house of their fathers,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 39] from thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 40] even those that were numbered of them, throughout their families, by the house of their fathers, were two thousand and six hundred and thirty.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 41] These are they that were numbered of the families of the sons of Gershon, of all that might do service in the tabernacle of the congregation, whom Moses and Aaron did number according to the commandment of the Lord.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 42] And those that were numbered of the families of the sons of Merari, throughout their families, by the house of their fathers,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 43] from thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 44] even those that were numbered of them after their families, were three thousand and two hundred.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 45] These be those that were numbered of the families of the sons of Merari, whom Moses and Aaron numbered according to the word of the Lord by the hand of Moses.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 46] All those that were numbered of the Levites, whom Moses and Aaron and the chief of Israel numbered, after their families, and after the house of their fathers,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 47] from thirty years old and upward even unto fifty years old, every one that came to do the service of the ministry, and the service of the burden in the tabernacle of the congregation,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 48] even those that were numbered of them, were eight thousand and five hundred and fourscore.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 49] According to the commandment of the Lord they were numbered by the hand of Moses, every one according to his service, and according to his burden: thus were they numbered of him, as the Lord commanded Moses.
