[KJV | EN | OT | Numbers | Chapter 7 | Verse 1] And it came to pass on the day that Moses had fully set up the tabernacle, and had anointed it, and sanctified it, and all the instruments thereof, both the altar and all the vessels thereof, and had anointed them, and sanctified them;
[KJV | EN | OT | Numbers | Chapter 7 | Verse 20] one spoon of gold of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 21] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 22] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 23] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Nethaneel the son of Zuar.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 24] On the third day Eliab the son of Helon, prince of the children of Zebulun, did offer:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 25] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 26] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 27] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 28] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 29] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Eliab the son of Helon.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 30] On the fourth day Elizur the son of Shedeur, prince of the children of Reuben, did offer:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 31] his offering was one silver charger of the weight of an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 32] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 33] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 34] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 35] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Elizur the son of Shedeur.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 36] On the fifth day Shelumiel the son of Zurishaddai, prince of the children of Simeon, did offer:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 37] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 38] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 39] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 40] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 41] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Shelumiel the son of Zurishaddai.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 42] On the sixth day Eliasaph the son of Deuel, prince of the children of Gad, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 43] his offering was one silver charger of the weight of an hundred and thirty shekels, a silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 44] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 45] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 46] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 47] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Eliasaph the son of Deuel.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 48] On the seventh day Elishama the son of Ammihud, prince of the children of Ephraim, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 49] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 50] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 51] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 52] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 53] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Elishama the son of Ammihud.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 54] On the eighth day offered Gamaliel the son of Pedahzur, prince of the children of Manasseh:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 55] his offering was one silver charger of the weight of an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 56] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 57] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 58] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 59] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Gamaliel the son of Pedahzur.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 60] On the ninth day Abidan the son of Gideoni, prince of the children of Benjamin, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 61] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 62] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 63] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 64] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 65] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Abidan the son of Gideoni.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 66] On the tenth day Ahiezer the son of Ammishaddai, prince of the children of Dan, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 67] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 68] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 69] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 70] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 71] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Ahiezer the son of Ammishaddai.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 72] On the eleventh day Pagiel the son of Ocran, prince of the children of Asher, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 73] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 74] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 75] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 76] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 77] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Pagiel the son of Ocran.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 78] On the twelfth day Ahira the son of Enan, prince of the children of Naphtali, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 79] his offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 80] one golden spoon of ten shekels, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 81] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 82] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 83] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Ahira the son of Enan.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 84] This was the dedication of the altar, in the day when it was anointed, by the princes of Israel: twelve chargers of silver, twelve silver bowls, twelve spoons of gold:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 85] each charger of silver weighing an hundred and thirty shekels, each bowl seventy: all the silver vessels weighed two thousand and four hundred shekels, after the shekel of the sanctuary:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 86] the golden spoons were twelve, full of incense, weighing ten shekels apiece, after the shekel of the sanctuary: all the gold of the spoons was an hundred and twenty shekels.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 87] All the oxen for the burnt offering were twelve bullocks, the rams twelve, the lambs of the first year twelve, with their meat offering: and the kids of the goats for sin offering twelve.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 88] And all the oxen for the sacrifice of the peace offerings were twenty and four bullocks, the rams sixty, the he goats sixty, the lambs of the first year sixty. This was the dedication of the altar, after that it was anointed.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 89] And when Moses was gone into the tabernacle of the congregation to speak with him, then he heard the voice of one speaking unto him from off the mercy seat that was upon the ark of Testimony, from between the two cherubims: and he spake unto him.
