[KJV | EN | OT | Numbers | Chapter 1 | Verse 1] And the Lord spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
[KJV | EN | OT | Numbers | Chapter 1 | Verse 22] Of the children of Simeon, by their generations, after their families, by the house of their fathers, those that were numbered of them, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 23] those that were numbered of them, even of the tribe of Simeon, were fifty and nine thousand and three hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 24] Of the children of Gad, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 25] those that were numbered of them, even of the tribe of Gad, were forty and five thousand six hundred and fifty.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 26] Of the children of Judah, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 27] those that were numbered of them, even of the tribe of Judah, were threescore and fourteen thousand and six hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 28] Of the children of Issachar, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 29] those that were numbered of them, even of the tribe of Issachar, were fifty and four thousand and four hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 30] Of the children of Zebulun, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 31] those that were numbered of them, even of the tribe of Zebulun, were fifty and seven thousand and four hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 32] Of the children of Joseph, namely, of the children of Ephraim, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 33] those that were numbered of them, even of the tribe of Ephraim, were forty thousand and five hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 34] Of the children of Manasseh, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 35] those that were numbered of them, even of the tribe of Manasseh, were thirty and two thousand and two hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 36] Of the children of Benjamin, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 37] those that were numbered of them, even of the tribe of Benjamin, were thirty and five thousand and four hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 38] Of the children of Dan, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 39] those that were numbered of them, even of the tribe of Dan, were threescore and two thousand and seven hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 40] Of the children of Asher, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 41] those that were numbered of them, even of the tribe of Asher, were forty and one thousand and five hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 42] Of the children of Naphtali, throughout their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 43] those that were numbered of them, even of the tribe of Naphtali, were fifty and three thousand and four hundred.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 44] These are those that were numbered, which Moses and Aaron numbered, and the princes of Israel, being twelve men: each one was for the house of his fathers.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 45] So were all those that were numbered of the children of Israel, by the house of their fathers, from twenty years old and upward, all that were able to go forth to war in Israel;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 46] even all they that were numbered were six hundred thousand and three thousand and five hundred and fifty.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 47] But the Levites after the tribe of their fathers were not numbered among them.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 48] For the Lord had spoken unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 1 | Verse 49] Only thou shalt not number the tribe of Levi, neither take the sum of them among the children of Israel:
[KJV | EN | OT | Numbers | Chapter 1 | Verse 50] but thou shalt appoint the Levites over the tabernacle of Testimony, and over all the vessels thereof, and over all things that belong to it: they shall bear the tabernacle, and all the vessels thereof; and they shall minister unto it, and shall encamp round about the tabernacle.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 51] And when the tabernacle setteth forward, the Levites shall take it down: and when the tabernacle is to be pitched, the Levites shall set it up: and the stranger that cometh nigh shall be put to death.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 52] And the children of Israel shall pitch their tents, every man by his own camp, and every man by his own standard, throughout their hosts.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 53] But the Levites shall pitch round about the tabernacle of Testimony, that there be no wrath upon the congregation of the children of Israel: and the Levites shall keep the charge of the tabernacle of Testimony.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 54] And the children of Israel did according to all that the Lord commanded Moses, so did they.
