[BBE | EN | OT | Numbers | Chapter 33 | Verse 1] These are the journeys of the children of Israel, when they went out of the land of Egypt in their armies, under the direction of Moses and Aaron.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 29] And they went on from Mithkah, and put up their tents in Hashmonah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 30] And they went on from Hashmonah, and put up their tents in Moseroth.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 31] And they went on from Moseroth, and put up their tents in Bene-jaakan.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 32] And they went on from Bene-jaakan, and put up their tents in Hor-haggidgad.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 33] And they went on from Hor-haggidgad, and put up their tents in Jotbathah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 34] And they went on from Jotbathah, and put up their tents in Abronah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 35] And they went on from Abronah, and put up their tents in Ezion-geber.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 36] And they went on from Ezion-geber, and put up their tents in the waste land of Zin (which is Kadesh).
[BBE | EN | OT | Numbers | Chapter 33 | Verse 37] And they went on from Kadesh, and put up their tents in Mount Hor, on the edge of the land of Edom.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 38] And Aaron the priest went up into the mountain at the order of the Lord, and came to his death there, in the fortieth year after the children of Israel had come out of the land of Egypt, in the fifth month, on the first day of the month.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 39] Aaron was a hundred and twenty-three years old at the time of his death in Mount Hor.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 40] And news of the coming of the children of Israel came to the king of Arad, the Canaanite, who was living in the South in the land of Canaan.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 41] And from Mount Hor they went on, and put up their tents in Zalmonah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 42] And they went on from Zalmonah, and put up their tents in Punon.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 43] And they went on from Punon, and put up their tents in Oboth.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 44] And they went on from Oboth, and put up their tents in Iye-abarim at the edge of Moab.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 45] And they went on from Iyim, and put up their tents in Dibon-gad.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 46] And from Dibon-gad they went on, and put up their tents in Almon-diblathaim.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 47] And from Almon-diblathaim they went on, and put up their tents in the mountains of Abarim, before Nebo.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 48] And they went on from the mountains of Abarim, and put up their tents in the lowlands of Moab by Jordan at Jericho;
[BBE | EN | OT | Numbers | Chapter 33 | Verse 49] Planting their tents by the side of Jordan from Beth-jeshimoth as far as Abel-shittim in the lowlands of Moab.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 50] And in the lowlands of Moab by Jordan at Jericho, the Lord said to Moses,
[BBE | EN | OT | Numbers | Chapter 33 | Verse 51] Say to the children of Israel, When you go over Jordan into the land of Canaan,
[BBE | EN | OT | Numbers | Chapter 33 | Verse 52] See that all the people of the land are forced out from before you, and put to destruction all their pictured stones, and all their metal images, and all their high places:
[BBE | EN | OT | Numbers | Chapter 33 | Verse 53] And take the land for yourselves, for your resting-place: for to you I have given the land as your heritage.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 54] And you will take up your heritage in the land by the decision of the Lord, to every family its part; the greater the family the greater its heritage, and the smaller the family the smaller will be its heritage; wherever the decision of the Lord gives to any man his part, that will be his; distribution will be made to you by your fathers' tribes.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 55] But if you are slow in driving out the people of the land, then those of them who are still there will be like pin-points in your eyes and like thorns in your sides, troubling you in the land where you are living.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 56] And it will come about that as it was my purpose to do to them, so I will do to you.
