[BBE | EN | OT | Numbers | Chapter 7 | Verse 1] And when Moses had put up the House completely, and had put oil on it and made it holy, with all the things in it, and had made the altar and all its vessels holy with oil;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 27] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 28] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 29] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Eliab, the son of Helon.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 30] On the fourth day Elizur, the son of Shedeur, chief of the children of Reuben:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 31] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 32] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 33] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 34] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 35] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Elizur, the son of Shedeur.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 36] On the fifth day Shelumiel, the son of Zurishaddai, chief of the children of Simeon:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 37] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 38] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 39] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 40] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 41] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Shelumiel, the son of Zurishaddai.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 42] On the sixth day Eliasaph, the son of Reuel, chief of the children of Gad:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 43] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 44] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 45] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 46] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 47] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Eliasaph, the son of Reuel
[BBE | EN | OT | Numbers | Chapter 7 | Verse 48] On the seventh day Elishama, the son of Ammihud, chief of the children of Ephraim:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 49] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 50] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 51] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 52] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 53] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Elishama, the son of Ammihud.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 54] On the eighth day Gamaliel, the son of Pedahzur, chief of the children of Manasseh:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 55] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 56] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 57] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 58] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 59] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Gamaliel, the son of Pedahzur.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 60] On the ninth day Abidan, the son of Gideoni, chief of the children of Benjamin:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 61] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 62] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 63] One young ox, one male sheep, one he-lamb of the first year for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 64] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 65] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Abidan, the son of Gideoni.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 66] On the tenth day Ahiezer; the son of Ammishaddai, chief of the children of Dan:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 67] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 68] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 69] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 70] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 71] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Ahiezer, the son of Ammishaddai.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 72] On the eleventh day Pagiel, the son of Ochran, chief of the children of Asher:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 73] His offering was one silver plate; a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 74] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 75] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 76] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 77] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Pagiel, the son of Ochran.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 78] On the twelfth day Ahira, the son of Enan, chief of the children of Naphtali:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 79] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 80] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 81] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 82] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 83] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Ahira, the son of Enan.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 84] These were the offerings given for the altar by the chiefs of Israel, when the holy oil was put on it: twelve silver plates, twelve silver basins, twelve gold spoons;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 85] The weight of every silver plate was a hundred and thirty shekels, and of every basin seventy; the weight of all the silver of the vessels was two thousand and four hundred shekels, by the scale of the holy place;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 86] The weight of the twelve gold spoons of spice for burning was ten shekels for every one, by the scale of the holy place; all the gold of the spoons was a hundred and twenty shekels;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 87] All the oxen, for the burned offering were twelve, the male sheep twelve, the he-lambs of the first year twelve, with their meal offering; and the males of the goats for sin-offering twelve;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 88] And all the oxen for the peace-offerings, twenty-four oxen, the male sheep sixty, and the he-goats sixty, the he-lambs of the first year sixty. This was given for the altar after the holy oil was put on it.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 89] And when Moses went into the Tent of meeting to have talk with him, then the Voice came to his ears from over the cover which was on the ark of witness, from between the two winged ones. And he had talk with him.
