[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 1] त्या मोहरबंद करारातील नावे पुढीलप्रमाणेः प्रांताधिपती हखल्याचा पुत्र नहेम्या आणि याजक सिदकीया यांनी सही केली,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 29] त्याचबरोबर त्यांच्या सर्व स्त्रिया, आणि सावधानपणे ऐकू शकतील आणि समजू शकतील असे त्यांचे सर्व पुत्र आणि कन्या. या सर्व लोकांनी आपले बांधव आणि महत्वाच्या व्यक्तीसमवेत परमेश्वर देवाचे जे नियमशास्त्र देवाचा सेवक मोशे याच्याकडून दिले होते ते पाळण्याची शपथ घेतली. आणि जर आपण देवाचे हे नियमशास्त्र पाळले नाही तर आपल्यावर अरिष्टे कोसळण्यासंबंधीचा शापही त्यांनी स्विकारला.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 30] आमच्या भोवतींच्या प्रदेशातील लोकांमध्ये आम्ही आमच्या कन्यांचे विवाह होऊ देणार नाही तसेच त्यांच्या कन्याहि आमच्या पुत्रांसाठी करून घेणार नाही असे आम्ही वचन देतो.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 31] शब्बाथ दिवशी किंवा दुसऱ्या कोणत्याही पवित्र दिवशी आमच्या भोवतीच्या प्रदेशातील लोकांनी धान्य किंवा इतर काही वस्तू विकायला आणल्या तर त्यांची खरेदी आम्ही करणार नाही. प्रत्येक सातव्या वर्षी आम्ही जमीन पडीत ठेवू. तसेच त्यावर्षी सर्व देणेकऱ्यांना आम्ही ऋणातून मुक्त करु.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 32] मंदिराच्या सेवेच्या सर्व आज्ञा पाळायची जबाबदारी आम्ही घेत आहोत. देवाच्या मंदिराची काळजी घेण्यासाठी म्हणून एकतृतीयांश शेकेल आम्ही दरवर्षी देऊ.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 33] मंदिरातील मेजावर याजकांनी ठेवायच्या अन्नार्पणाची समर्पित भाकर, रोजचे अन्नार्पण आणि होमार्पण, शब्बाथ, चंद्रदर्शन आणि नेमलेले सण यादिवशी करायची अर्पणे, इस्राएलींच्या प्रायश्चितासाठी करायची पवित्रार्पणे आणि पापार्पणे, देवाच्या मंदिराच्या कामी येणारा खर्च या पैशातून द्यावा.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 34] मंदिरात लाकडाची अर्पणे आणावी म्हणून याजक, लेवी व सर्व लोक यांनी चिठ्ठ्या टाकल्या आहेत. त्या चिठ्ठ्यांनुसार प्रत्येक कुटुंबाने परमेश्वर देवाच्या वेदीवर जाळण्यासाठी नियमशास्त्रात लिहिल्या प्रमाणे लाकूड आणायचे आहे.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 35] आमच्या शेतातले पहिले पीक आणि निरनिराळ्या फळझाडांची प्रथमफळे दरवर्षी परमेश्वराच्या मंदिरात आणण्याचे हे आम्ही वचन देतो.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 36] आमचा प्रथम पुत्र आणि आमची गुरेढोरे, शेळया मेंढ्या यांचे प्रथम पिलू यांना आम्ही आमच्या देवाच्या मंदिरात सेवेला असलेल्या याजकांकडे आणू.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 37] तसेच परमेश्वराच्या मंदिरातील कोठारांसाठी याजकांकडे पिठाचा पहिला उंडा. धान्यार्पणाचा पहिला भाग, आमच्या सर्व वृक्षांच्या फळांचा पहिला बहर, नवीन काढलेला द्राक्षरस आणि तेल यांचा पहिला भाग, या गोष्टी आणू. तसेच लेवींना आमच्या पिकातला एक दशांश भाग देऊ. कारण आम्ही काम करत असलेल्या सर्व नगरांतून आमच्या उत्पन्नाचा दहावा भाग लेवी घेतात.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 38] लेवी या धान्याचा स्विकार करताना अहरोनाच्या वंशातील एखादा याजक त्यांच्याबरोबर असावा. मग लेवींनी यांच्या वंशातील लोकांनी देवाच्या, मंदिरात आणावा व मंदिराच्या कोठारांमध्ये जमा करावा.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 39] इस्राएल लोक आणि लेवी यांच्या वंशातील लोकांनी धान्य, नवीन द्राक्षरस आणि तेल यांची अर्पणे कोठारामध्ये आणावीत. मंदिरासाठी लागणाऱ्या सर्व गोष्टी तेथे असतात तसेच सेवा करणारे याजक, गायक आणि द्वारपाल यांचेही वास्तव्य तिथे असते. आम्ही आपल्या देवाच्या मंदिराची उपेक्षा करणार नाही.
