[IRV | KN | NT | Galatians | Chapter 4 | Verse 1] ಆದರೆ ನಾನು ಹೇಳುವುದೇನಂದರೆ, ವಾರಸುದಾರನು, ತಾನು ಆಸ್ತಿಗೆಲ್ಲಾ ಒಡೆಯನಾಗಿದ್ದರೂ ಬಾಲಕನಾಗಿರುವ ತನಕ ದಾಸನಂತೆಯೇ ಇರುವನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 12] ಸಹೋದರರೇ, ನಾನು ನಿಮ್ಮಂತೆ ಆದಹಾಗೆ ನೀವು ನನ್ನಂತೆ ಹಾಗೆ ಆಗಬೇಕೆಂದು ನಿಮ್ಮನ್ನು ಬೇಡಿಕೊಳ್ಳುತ್ತೇನೆ. ನೀವು ನನಗೇನೂ ಅನ್ಯಾಯ ಮಾಡಲಿಲ್ಲ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 13] ನಾನು ದೈಹಿಕವಾಗಿ ಅಸ್ವಸ್ಥನಾಗಿದ್ದುದರಿಂದ ನಿಮ್ಮಲ್ಲಿದ್ದು ಮೊದಲನೆಯ ಬಾರಿಗೆ ನಿಮಗೆ ಸುವಾರ್ತೆ ಸಾರಿದ್ದನ್ನು ನೀವು ಬಲ್ಲಿರಿ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 14] ನನ್ನ ದೇಹಸ್ಥಿತಿಯಿಂದ ನಿಮಗೆ ಸಮಸ್ಯೆಗಳು ಬಂದಾಗ್ಯೂ ಕೂಡ, ನೀವು ನನ್ನನ್ನು ಹೀನೈಸಲಿಲ್ಲ, ತಿರಸ್ಕರಿಸಲಿಲ್ಲ. ನನ್ನನ್ನು ದೇವದೂತನಂತೆ, ಕ್ರಿಸ್ತ ಯೇಸುವಿನಂತೆ ಸೇರಿಸಿಕೊಂಡಿದ್ದೀರಿ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 15] ಆಗ ನಮಗೆ ಶುಭವಾಯಿತೆಂದು ನೀವು ಅಂದುಕೊಂಡಿರಲ್ಲಾ, ಆ ನಿಮ್ಮ ಶುಭವು ಎಲ್ಲಿ ಹೋಯಿತು? ಸಾಧ್ಯವಾಗಿದ್ದರೆ ನಿಮ್ಮ ಕಣ್ಣುಗಳನ್ನಾದರೂ ಕಿತ್ತು ನನಗೆ ಕೊಡುತ್ತಿದ್ದಿರೆಂದು ನಿಮ್ಮನ್ನು ಕುರಿತು ಸಾಕ್ಷಿ ಹೇಳುತ್ತೇನೆ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 16] ಹೀಗಿರಲಾಗಿ ನಾನು ನಿಮಗೆ ಸತ್ಯವನ್ನು ಹೇಳುವುದರಿಂದ ನಿಮಗೆ ಶತ್ರುವಾಗಿದ್ದೇನೋ?
[IRV | KN | NT | Galatians | Chapter 4 | Verse 17] ಅವರು ನಿಮ್ಮನ್ನು ಮೆಚ್ಚಿಸುವುದಕ್ಕೆ ಆಸಕ್ತಿಯನ್ನು ತೋರಿಸುತ್ತಿರುವುದು ಒಳಿತಾಗಿ ಅಲ್ಲ, ನೀವು ಅವರಿಗೆ ಆಸಕ್ತಿಯನ್ನು ತೋರಿಸಬೇಕೆಂದು ಅವರು ನಿಮ್ಮನ್ನು ನನ್ನಿಂದ ಆಗಲಿಸುವುದಕ್ಕೆ ಬಯಸುತ್ತಿದ್ದಾರೆ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 18] ನಾನು ನಿಮ್ಮ ಸಂಗಡ ಇರುವಾಗ ಮಾತ್ರವಲ್ಲದೆ ಯಾವಾಗಲೂ ಒಳ್ಳೆಯ ವಿಷಯಕ್ಕಾಗಿ ನೀವು ಆಸಕ್ತಿಯನ್ನು ತೋರಿಸುವುದು ಒಳ್ಳೆಯದೇ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 19] ನನ್ನ ಪ್ರಿಯರಾದ ಮಕ್ಕಳೇ, ಕ್ರಿಸ್ತನ ಸಾರೂಪ್ಯವು ನಿಮ್ಮಲ್ಲಿ ಉಂಟಾಗುವ ತನಕ ನಾನು ನಿಮಗಾಗಿ ಪ್ರಸವವೇದನೆ ಪಡುತ್ತಿರುವೆನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 20] ನಿಮ್ಮ ವಿಷಯದಲ್ಲಿ ಏನು ಮಾಡಬೇಕೋ ನನಗೆ ತೋಚುತ್ತಿಲ್ಲ. ಬಹುಶಃ ನೇರವಾಗಿ ನಿಮ್ಮ ಬಳಿಗೆ ಬಂದು, ನಿಮ್ಮ ಮಧ್ಯದಲ್ಲೇ ಇದ್ದು ನನ್ನ ಮಾತಿನ ರೀತಿಯನ್ನು ಬದಲಾಯಿಸಿದ್ದರೆ ಚೆನ್ನಾಗಿರುತ್ತಿತ್ತೇನೋ!
[IRV | KN | NT | Galatians | Chapter 4 | Verse 21] ಧರ್ಮಶಾಸ್ತ್ರಕ್ಕೆ ಅಧೀನರಾಗಿರುವುದಕ್ಕೆ ಬಯಸುವವರೇ, ಧರ್ಮಶಾಸ್ತ್ರವು ಏನು ಹೇಳುತ್ತದೆಂದು ನಿಮಗೆ ತಿಳಿದಿಲ್ಲವೋ? ನನಗೆ ತಿಳಿಯಪಡಿಸಿರಿ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 22] ಅದರಲ್ಲಿ ಬರೆದಿರುವುದೇನಂದರೆ, ಅಬ್ರಹಾಮನಿಗೆ ಇಬ್ಬರು ಮಕ್ಕಳಿದ್ದರು. ಒಬ್ಬನು ದಾಸಿಯಲ್ಲಿ ಹುಟ್ಟಿದವನು, ಮತ್ತೊಬ್ಬನು ಸ್ವತಂತ್ರಳಾದವಳಲ್ಲಿ ಹುಟ್ಟಿದವನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 23] ದಾಸಿಯ ಮಗನು ಶರೀರಕ್ಕನುಸಾರವಾಗಿ ಹುಟ್ಟಿದವನು, ಸ್ವತಂತ್ರಳಾದವಳ ಮಗನಾದರೋ ವಾಗ್ದಾನದ ಮೂಲಕ ಹುಟ್ಟಿದವನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 24] ಈ ಸಂಗತಿಗಳು ಹೋಲಿಕೆಗಳಾಗಿವೆ. ಹೇಗೆಂದರೆ ಆ ಇಬ್ಬರು ಸ್ತ್ರೀಯರು ಎರಡು ಒಡಂಬಡಿಕೆಗಳೇ, ಒಂದು ಒಡಂಬಡಿಕೆಯು ಸೀನಾಯಿ ಪರ್ವತದಿಂದ ಉಂಟಾಗಿ ದಾಸತ್ವದಲ್ಲಿರಬೇಕಾದ ಮಕ್ಕಳನ್ನು ಹೆರುವಂಥದು, ಅದೇ ಹಾಗರಳು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 25] ಹಾಗರಳು ಅಂದರೆ ಅರಬಸ್ಥಾನದಲ್ಲಿರುವ ಸೀನಾಯಿ ಪರ್ವತವನ್ನು ಸೂಚಿಸುವಂತಹದ್ದು ಈಗಿನ ಯೆರೂಸಲೇಮಿಗೆ ಎಂಬುವಳಿಗೆ ಹೋಲಿಕೆಯಾಗಿದ್ದಾಳೆ, ಏಕೆಂದರೆ ಆಕೆಯು ತನ್ನ ಮಕ್ಕಳೊಂದಿಗೆ ಈಗ ದಾಸತ್ವದಲ್ಲಿದ್ದಾಳೆ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 26] ಆದರೆ ಮೇಲಣ ಯೆರೂಸಲೇಮ್ ಎಂಬವಳು ಸ್ವತಂತ್ರಳು, ಇವಳೇ ನಮಗೆ ತಾಯಿ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 27] “ಹೆರದ ಬಂಜೆಯೇ, ಆನಂದಿಸು. ಪ್ರಸವವೇದನೆಯಿಲ್ಲದವಳೇ, ಹರ್ಷೋದ್ಗಾರಮಾಡು, ಗಂಡನುಳ್ಳವಳಿಗಿಂತ ಗಂಡಬಿಟ್ಟವಳಿಗೆ ಮಕ್ಕಳು ಹೆಚ್ಚು” ಎಂದು ಬರೆದಿದೆಯಲ್ಲಾ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 28] ಸಹೋದರರೇ, ನಾವು ಇಸಾಕನಂತೆ ವಾಗ್ದಾನದ ಫಲವಾಗಿ ಹುಟ್ಟಿದ ಮಕ್ಕಳಾಗಿದ್ದೇವೆ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 29] ಆದರೆ ಪೂರ್ವದಲ್ಲಿ ಶಾರೀರಿಕವಾಗಿ ಹುಟ್ಟಿದವನು, ದೇವರಾತ್ಮಬಲದಿಂದ ಹುಟ್ಟಿದವನನ್ನು ಹಿಂಸೆಪಡಿಸಿದಂತೆಯೇ ಈಗಲೂ ಆಗುತ್ತಿದೆ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 30] ಆದರೆ ದೇವರ ವಾಕ್ಯವು ಏನು ಹೇಳುತ್ತದೆ? “ದಾಸಿಯನ್ನೂ ಅವಳ ಮಗನನ್ನೂ ಹೊರಗೆ ಹಾಕು. ದಾಸಿಯ ಮಗನು ಸ್ವತಂತ್ರಳ ಮಗನೊಂದಿಗೆ ಎಷ್ಟು ಮಾತ್ರಕ್ಕೂ ಬಾಧ್ಯಸ್ಥನಾಗಬಾರದು” ಎಂದು ಹೇಳುತ್ತದೆ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 31] ಸಹೋದರರೇ, ನಾವು ದಾಸಿಯ ಮಕ್ಕಳಲ್ಲ, ಸ್ವತಂತ್ರಳಾದವಳ ಮಕ್ಕಳೇ ಎಂದು ತಿಳಿದುಕೊಳ್ಳಿರಿ.
