[IRV | KN | OT | Psalms | Chapter 136 | Verse 1] ಯೆಹೋವನಿಗೆ ಕೃತಜ್ಞತಾಸ್ತುತಿ ಮಾಡಿರಿ, ಆತನು ಒಳ್ಳೆಯವನು. ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 12] ತನ್ನ ಭುಜಬಲ, ಶಿಕ್ಷಾಹಸ್ತ ಇವುಗಳಿಂದ ಅವರನ್ನು ಬಿಡಿಸಿದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 13] ಆತನು ಕೆಂಪು ಸಮುದ್ರವನ್ನು ವಿಭಾಗಿಸಿದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 14] ಇಸ್ರಾಯೇಲರನ್ನು ಅದರ ಮಧ್ಯದಲ್ಲಿಯೇ ನಡೆಸಿದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 15] ಫರೋಹನನ್ನೂ, ಅವನ ಸೈನ್ಯವನ್ನೂ ಕೆಂಪು ಸಮುದ್ರದಲ್ಲಿ ಕೆಡವಿಬಿಟ್ಟನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 16] ಆತನು ತನ್ನ ಪ್ರಜೆಯನ್ನು ಅರಣ್ಯದೊಳಗೆ ಕರೆತಂದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 17] ದೊಡ್ಡ ಅರಸರನ್ನು ಹೊಡೆದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 18] ಶ್ರೇಷ್ಠ ರಾಜರನ್ನು ಸಂಹರಿಸಿದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 19] ಅಮೋರಿಯರ ಅರಸನಾದ ಸೀಹೋನನು ಅವರಲ್ಲೊಬ್ಬನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 20] ಬಾಷಾನಿನ ಅರಸನಾದ ಓಗನು ಇನ್ನೊಬ್ಬನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 21] ಅವರ ದೇಶವನ್ನು ಇಸ್ರಾಯೇಲರಿಗೆ ಸ್ವತ್ತಾಗಿ ಕೊಟ್ಟನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 22] ಆತನ ಸೇವಕರಾದ ಇಸ್ರಾಯೇಲರಿಗೆ ಅದು ಸ್ವಾಸ್ತ್ಯವಾಯಿತು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 23] ನಾವು ದೀನಾವಸ್ಥೆಯಲ್ಲಿ ಇದ್ದಾಗ ನಮ್ಮನ್ನು ನೆನಪುಮಾಡಿಕೊಂಡನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 24] ನಮ್ಮ ಶತ್ರುಗಳಿಂದ ನಮ್ಮನ್ನು ಬಿಡಿಸಿದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 25] ಎಲ್ಲಾ ಜೀವಿಗಳಿಗೂ ಆಹಾರ ಕೊಡುವವನು ಆತನೇ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 26] ಪರಲೋಕದಲ್ಲಿರುವ ದೇವರಿಗೆ ಕೃತಜ್ಞತಾಸ್ತುತಿ ಮಾಡಿರಿ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
