[IRV | KN | OT | Psalms | Chapter 22 | Verse 1] ನನ್ನ ದೇವರೇ, ನನ್ನ ದೇವರೇ, ಏಕೆ ನನ್ನನ್ನು ಕೈಬಿಟ್ಟಿದ್ದೀ? ನೀನು ಏಕೆ ನನಗೆ ಸಹಾಯಮಾಡದೆಯೂ, ನನ್ನ ಕೂಗನ್ನು ಕೇಳದೆಯೂ ದೂರವಾಗಿದ್ದೀ?
[IRV | KN | OT | Psalms | Chapter 22 | Verse 16] ನಾಯಿಗಳು ನನ್ನನ್ನು ಸುತ್ತಿಕೊಂಡಿವೆ; ದುಷ್ಟರ ಗುಂಪು ನನ್ನನ್ನು ಆವರಿಸಿಕೊಂಡಿದೆ. ನನ್ನ ಕೈಕಾಲುಗಳನ್ನು ತಿವಿದಿದ್ದಾರೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 17] ನನ್ನ ಎಲುಬುಗಳನ್ನೆಲ್ಲಾ ಎಣಿಸುವುದಕ್ಕಾಗುವುದು; ಅವರೋ ನನ್ನನ್ನು ನೋಡಿ ನೋಡಿ ಹಿಗ್ಗುತ್ತಾರೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 18] ನನ್ನ ಮೇಲ್ಹೊದಿಕೆಯನ್ನು ತಮ್ಮಲ್ಲಿ ಪಾಲು ಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ; ನನ್ನ ಅಂಗಿಗಾಗಿ ಚೀಟುಹಾಕುತ್ತಾರೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 19] ಯೆಹೋವನೇ, ನನ್ನ ರಕ್ಷಕನೇ, ನೀನಾದರೋ ದೂರವಾಗಿರಬೇಡ; ಬೇಗ ಬಂದು ಸಹಾಯಮಾಡು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 20] ಕತ್ತಿಗೆ ಸಿಕ್ಕದಂತೆ ನನ್ನನ್ನು ತಪ್ಪಿಸು; ನನ್ನ ಪ್ರಿಯ ಪ್ರಾಣವು ನಾಯಿಯ ವಶವಾಗದಂತೆ ಕಾಪಾಡು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 21] ಸಿಂಹಗಳ ಬಾಯಿಂದ ರಕ್ಷಿಸು, ಕಾಡುಕೋಣಗಳ ಕೊಂಬುಗಳಿಂದ ನನ್ನನ್ನು ತಪ್ಪಿಸು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 22] ನಿನ್ನ ನಾಮ ಮಹಿಮೆಯನ್ನು ನನ್ನ ಸಹೋದರರಿಗೆ ತಿಳಿಸುವೆನು; ಸಭಾಮಧ್ಯದಲ್ಲಿ ನಿನ್ನನ್ನು ಸ್ತುತಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 23] ಯೆಹೋವನ ಭಕ್ತರೇ, ಆತನನ್ನು ಸ್ತುತಿಸಿರಿ; ಯಾಕೋಬ ವಂಶದವರೇ, ನೀವೆಲ್ಲರೂ ಆತನನ್ನು ಕೊಂಡಾಡಿರಿ. ಇಸ್ರಾಯೇಲ್ ವಂಶಸ್ಥರೇ, ನೀವೆಲ್ಲರೂ ಆತನಲ್ಲಿ ಭಯಭಕ್ತಿಯುಳ್ಳವರಾಗಿರಿ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 24] ಆತನು ಕುಗ್ಗಿಹೋದವನ ದುರವಸ್ಥೆಯನ್ನು ತಿರಸ್ಕರಿಸಲಿಲ್ಲ, ಅದಕ್ಕೆ ಅಸಹ್ಯಪಡಲಿಲ್ಲ; ತನ್ನ ಮುಖವನ್ನು ಅವನಿಗೆ ಮರೆಮಾಡದೆ, ಅವನ ಪ್ರಾರ್ಥನೆಗೆ ಕಿವಿಗೊಟ್ಟನು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 25] ನಾನು ಮಹಾಸಭೆಯಲ್ಲಿ ಮಾಡುವ ಸ್ತೋತ್ರಕ್ಕೆ ನೀನೇ ಆಧಾರನು; ನನ್ನ ಹರಕೆಗಳನ್ನು ನಿನ್ನ ಭಕ್ತರ ಮುಂದೆ ಸಲ್ಲಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 26] ದೀನರು ಉಂಡು ತೃಪ್ತರಾಗುವರು; ಯೆಹೋವನ ಭಕ್ತರೆಲ್ಲರೂ ಆತನನ್ನು ಕೊಂಡಾಡುವರು. ಅವರ ಅಂತರಾತ್ಮವು ಯಾವಾಗಲು ಚೈತನ್ಯವುಳ್ಳದ್ದಾಗಿರಲಿ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 27] ಭೂಮಂಡಲದವರೆಲ್ಲರೂ ಎಚ್ಚರಗೊಂಡು ಯೆಹೋವನ ಕಡೆಗೆ ತಿರುಗಿಕೊಳ್ಳುವರು; ಯೆಹೋವನೇ, ಎಲ್ಲಾ ಜನಾಂಗಗಳವರು ನಿನಗೆ ಅಡ್ಡಬೀಳುವರು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 28] ರಾಜ್ಯವು ಯೆಹೋವನದೇ; ಎಲ್ಲಾ ಜನಾಂಗಗಳಿಗೂ ಆತನೇ ಒಡೆಯನು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 29] ಭೂಲೋಕದಲ್ಲಿರುವ ಪುಷ್ಟರೆಲ್ಲರೂ ಆರಾಧಿಸುವರು; ತಮ್ಮ ಜೀವವನ್ನು ಉಳಿಸಿಕೊಳ್ಳಲಾರದೆ ಮಣ್ಣು ಪಾಲಾಗುವವರೆಲ್ಲರೂ ಆತನಿಗೆ ಅಡ್ಡಬೀಳುವರು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 30] ಆತನನ್ನು ಸೇವಿಸುವವರ ಸಂತಾನದವರು ಯೆಹೋವನ ಸಂತಾನದವರೆಂದು ಎಣಿಸಲ್ಪಡವರು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 31] ಅವರು ಬಂದು ಆತನ ನೀತಿಯನ್ನೂ, ಆತನು ನಡೆಸಿದ ಕಾರ್ಯಗಳನ್ನೂ ಮುಂದೆ ಹುಟ್ಟುವ ಜನಕ್ಕೆ ತಿಳಿಸುವರು.
