[IRV | PA | OT | Ruth | Chapter 2 | Verse 1] ਨਾਓਮੀ ਦੇ ਪਤੀ ਦਾ ਇੱਕ ਰਿਸ਼ਤੇਦਾਰ ਸੀ, ਜੋ ਅਲੀਮਲਕ ਦੇ ਘਰਾਣੇ ਵਿੱਚ ਬਹੁਤ ਧਨਵਾਨ ਸੀ ਅਤੇ ਉਹ ਦਾ ਨਾਮ ਬੋਅਜ਼ ਸੀ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 12] ਯਹੋਵਾਹ ਤੇਰੇ ਕੰਮ ਦਾ ਫਲ ਦੇਵੇ, ਸਗੋਂ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਵੱਲੋਂ, ਜਿਸ ਦੇ ਖੰਭਾਂ ਹੇਠ ਵਿਸ਼ਵਾਸ ਕਰ ਕੇ ਤੂੰ ਆਈ ਹੈਂ, ਤੈਨੂੰ ਪੂਰਾ ਬਦਲਾ ਦਿੱਤਾ ਜਾਵੇ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 13] ਤਦ ਰੂਥ ਨੇ ਕਿਹਾ, “ਹੇ ਮੇਰੇ ਸੁਆਮੀ, ਤੁਹਾਡੀ ਦਯਾ ਦੀ ਨਿਗਾਹ ਮੇਰੇ ਉੱਤੇ ਹੋਵੇ। ਤੁਸੀਂ ਮੈਨੂੰ ਤਸੱਲੀ ਦਿੱਤੀ ਹੈ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਦਾਸੀ ਨਾਲ ਦਿਆਲਤਾ ਨਾਲ ਗੱਲਾਂ ਕੀਤੀਆਂ, ਭਾਵੇਂ ਮੈਂ ਤੁਹਾਡੀ ਦਾਸੀਆਂ ਵਿੱਚੋਂ ਇੱਕ ਵਰਗੀ ਵੀ ਨਹੀਂ ਹਾਂ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 14] ਫਿਰ ਰੋਟੀ ਖਾਣ ਦੇ ਸਮੇਂ ਬੋਅਜ਼ ਨੇ ਉਸ ਨੂੰ ਕਿਹਾ, “ਇੱਥੇ ਆ ਕੇ ਰੋਟੀ ਖਾ ਅਤੇ ਆਪਣੀ ਬੁਰਕੀ ਸਿਰਕੇ ਵਿੱਚ ਡੁਬੋ।” ਤਦ ਉਹ ਵਾਢਿਆਂ ਦੇ ਕੋਲ ਬੈਠ ਗਈ ਅਤੇ ਉਸ ਨੇ ਭੁੰਨੇ ਹੋਏ ਦਾਣੇ ਉਹ ਦੇ ਅੱਗੇ ਰੱਖੇ, ਤਾਂ ਉਹ ਨੇ ਖਾਧੇ ਅਤੇ ਰੱਜ ਗਈ ਸਗੋਂ ਕੁਝ ਬਚਾ ਕੇ ਵੀ ਰੱਖ ਲਏ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 15] ਜਦ ਉਹ ਸਿੱਟੇ ਚੁਗਣ ਲਈ ਉੱਠੀ ਤਾਂ ਬੋਅਜ਼ ਨੇ ਆਪਣੇ ਜੁਆਨਾਂ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਕਿ ਉਸ ਨੂੰ ਪੂਲਿਆਂ ਦੇ ਵਿੱਚ ਚੁਗਣ ਦੇਣ ਅਤੇ ਸ਼ਰਮਿੰਦਾ ਨਾ ਕਰਨ
[IRV | PA | OT | Ruth | Chapter 2 | Verse 16] ਸਗੋਂ ਪੂਲਿਆਂ ਵਿੱਚੋਂ ਜਾਣ ਬੁੱਝ ਕੇ ਉਹ ਦੇ ਲਈ ਕੁਝ ਡੇਗਦੇ ਜਾਓ ਅਤੇ ਉਸ ਦੇ ਚੁਗਣ ਲਈ ਛੱਡ ਦਿਓ, ਅਤੇ ਕੋਈ ਉਸ ਨੂੰ ਨਾ ਝਿੜਕੇ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 17] ਤਦ ਉਹ ਸ਼ਾਮ ਤੱਕ ਖੇਤ ਵਿੱਚ ਚੁਗਦੀ ਰਹੀ; ਅਤੇ ਜੋ ਕੁਝ ਉਸ ਨੇ ਚੁਗਿਆ ਸੀ, ਉਸ ਨੂੰ ਕੁੱਟਿਆ ਅਤੇ ਉਹ ਬੱਤੀ ਸੇਰ ਜੌਂ ਹੋਏ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 18] ਤਦ ਉਹ ਉਸ ਨੂੰ ਚੁੱਕ ਕੇ ਨਗਰ ਵਿੱਚ ਗਈ, ਅਤੇ ਜੋ ਕੁਝ ਉਸ ਨੇ ਚੁਗਿਆ ਸੀ, ਉਹ ਸਭ ਉਸ ਦੀ ਸੱਸ ਨੇ ਵੇਖਿਆ, ਅਤੇ ਉਹ ਦਾਣੇ ਜਿਹੜੇ ਉਸ ਨੇ ਰੱਜ ਕੇ ਖਾਣ ਤੋਂ ਬਾਅਦ ਬਚਾ ਕੇ ਰੱਖ ਲਏ ਸਨ, ਆਪਣੀ ਸੱਸ ਨੂੰ ਦਿੱਤੇ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 19] ਫੇਰ ਉਹ ਦੀ ਸੱਸ ਨੇ ਉਸ ਤੋਂ ਪੁੱਛਿਆ, “ਤੂੰ ਅੱਜ ਕਿੱਥੋਂ ਸਿੱਟੇ ਚੁਗੇ ਅਤੇ ਕਿੱਥੇ ਕੰਮ-ਧੰਦਾ ਕੀਤਾ? ਧੰਨ ਹੈ ਉਹ ਜਿਸ ਨੇ ਤੇਰੀ ਖ਼ਬਰ ਲਈ ਹੈ।” ਤਦ ਉਸ ਨੇ ਆਪਣੀ ਸੱਸ ਨੂੰ ਉਹ ਦੇ ਬਾਰੇ; ਜਿਸ ਦੇ ਕੋਲ ਕੰਮ-ਧੰਦਾ ਕੀਤਾ ਸੀ, ਦੱਸ ਕੇ ਆਖਿਆ, ਉਸ ਮਨੁੱਖ ਦਾ ਨਾਮ ਬੋਅਜ਼ ਹੈ, ਜਿਸ ਦੇ ਕੋਲ ਮੈਂ ਅੱਜ ਕੰਮ-ਧੰਦਾ ਕਰਦੀ ਰਹੀ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 20] ਤਦ ਨਾਓਮੀ ਨੇ ਆਪਣੀ ਨੂੰਹ ਨੂੰ ਕਿਹਾ, “ਉਹ ਯਹੋਵਾਹ ਵੱਲੋਂ ਮੁਬਾਰਕ ਹੋਵੇ, ਜਿਸ ਨੇ ਜੀਉਂਦਿਆਂ ਅਤੇ ਮੋਇਆਂ ਨੂੰ ਆਪਣੀ ਕਿਰਪਾ ਤੋਂ ਖ਼ਾਲੀ ਨਹੀਂ ਰੱਖਿਆ।” ਫੇਰ ਨਾਓਮੀ ਨੇ ਉਸ ਨੂੰ ਦੱਸਿਆ, ਇਹ ਮਨੁੱਖ ਸਾਡਾ ਨਜ਼ਦੀਕੀ ਰਿਸ਼ਤੇਦਾਰ ਹੈ ਸਗੋਂ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਹੈ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਸਾਡੀ ਜ਼ਮੀਨ ਛੁਡਾਉਣ ਦਾ ਅਧਿਕਾਰ ਹੈ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 21] ਤਦ ਮੋਆਬਣ ਰੂਥ ਬੋਲੀ, “ਉਸ ਨੇ ਮੈਨੂੰ ਇਹ ਵੀ ਕਿਹਾ ਕਿ ਜਦ ਤੱਕ ਮੇਰੀਆਂ ਵਾਢੀਆਂ ਨਾ ਹੋ ਜਾਣ ਤਦ ਤੱਕ ਤੂੰ ਮੇਰਿਆਂ ਜੁਆਨਾਂ ਦੇ ਨਾਲ-ਨਾਲ ਰਿਹਾ ਕਰ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 22] ਨਾਓਮੀ ਨੇ ਆਪਣੀ ਨੂੰਹ ਰੂਥ ਨੂੰ ਕਿਹਾ, “ਹੇ ਮੇਰੀਏ ਧੀਏ, ਇਹ ਚੰਗੀ ਗੱਲ ਹੈ ਕਿ ਤੂੰ ਉਸ ਦੀਆਂ ਦਾਸੀਆਂ ਦੇ ਨਾਲ ਜਾਇਆ ਕਰੇਂ ਕਿਉਂ ਜੋ ਕਿਸੇ ਹੋਰ ਦੇ ਖੇਤ ਵਿੱਚ ਜਾਣਾ ਤੇਰੇ ਲਈ ਨੁਕਸਾਨਦੇਹ ਹੋ ਸਕਦਾ ਹੈ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 23] ਇਸ ਲਈ ਜਦ ਤੱਕ ਜੌਂ ਦੀ ਅਤੇ ਕਣਕ ਦੀ ਵਾਢੀ ਹੁੰਦੀ ਰਹੀ, ਉਹ ਬੋਅਜ਼ ਦੀਆਂ ਦਾਸੀਆਂ ਦੇ ਨਾਲ-ਨਾਲ ਲੱਗੀ ਰਹੀ ਅਤੇ ਉਹ ਆਪਣੀ ਸੱਸ ਦੇ ਕੋਲ ਵੱਸੀ ਰਹੀ।
