[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 1] Hezekiah began to reign when he was twenty-five years old, and he reigned twenty-nine years in Jerusalem. His mother’s name was Abijah, the daughter of Zechariah.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 25] He set the Levites in the LORD’s house with cymbals, with stringed instruments, and with harps, according to the commandment of David, of Gad the king’s seer, and Nathan the prophet; for the commandment was from the LORD by his prophets.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 26] The Levites stood with David’s instruments, and the priests with the trumpets.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 27] Hezekiah commanded them to offer the burnt offering on the altar. When the burnt offering began, the LORD’s song also began, along with the trumpets and instruments of David king of Israel.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 28] All the assembly worshiped, the singers sang, and the trumpeters sounded. All this continued until the burnt offering was finished.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 29] When they had finished offering, the king and all who were present with him bowed themselves and worshiped.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 30] Moreover Hezekiah the king and the princes commanded the Levites to sing praises to the LORD with the words of David, and of Asaph the seer. They sang praises with gladness, and they bowed their heads and worshiped.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 31] Then Hezekiah answered, “Now you have consecrated yourselves to the LORD. Come near and bring sacrifices and thank offerings into the LORD’s house.” The assembly brought in sacrifices and thank offerings, and as many as were of a willing heart brought burnt offerings.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 32] The number of the burnt offerings which the assembly brought was seventy bulls, one hundred rams, and two hundred lambs. All these were for a burnt offering to the LORD.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 33] The consecrated things were six hundred head of cattle and three thousand sheep.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 34] But the priests were too few, so that they could not skin all the burnt offerings. Therefore their brothers the Levites helped them until the work was ended, and until the priests had sanctified themselves, for the Levites were more upright in heart to sanctify themselves than the priests.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 35] Also the burnt offerings were in abundance, with the fat of the peace offerings and with the drink offerings for every burnt offering. So the service of the LORD’s house was set in order.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 36] Hezekiah and all the people rejoiced because of that which God had prepared for the people; for the thing was done suddenly.
