[ASV | EN | NT | Matthew | Chapter 22 | Verse 1] And Jesus answered and spake unto them again in parables, saying,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 30] For in the resurrection they neither marry, nor are given in marriage, but are as angels of God in heaven.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 31] But as touching the resurrection of the dead, have ye not read that which was spoken unto you by God, saying,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 32] I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not God of the dead, but of the living.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 33] And when the multitudes heard it, they were astonished at his teaching.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 34] But the Pharisees, when they heard that he had put the Sadducees to silence, gathered themselves together.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 35] And one of them, a lawyer, asked him a question, trying him, and saying,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 36] Teacher, which is the great commandment in the law?
[ASV | EN | NT | Matthew | Chapter 22 | Verse 37] And Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 38] This is the first and great commandment.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 39] And a second is like unto it, Thou shalt love thy neighbor as thyself.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 40] On these two commandments hang the whole law and the prophets.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 41] Now while the Pharisees were gathered together, Jesus asked them a question,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 42] saying, What think ye of the Christ? whose son is he? They say unto him, The son of David.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 43] He saith unto them, How then doth David in the Spirit call him Lord, saying,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 44] The Lord said unto my Lord, Sit thou on my right hand, Till I make thine enemies the footstool of thy feet?
[ASV | EN | NT | Matthew | Chapter 22 | Verse 45] If David then calleth him Lord, how is he his son?
[ASV | EN | NT | Matthew | Chapter 22 | Verse 46] And no one was able to answer him a word, neither durst any man from that day forth ask him any more questions.
