[IRV | MR | OT | Proverbs | Chapter 15 | Verse 1] शांतीच्या उत्तराने राग निघून जातो, पण कठोर शब्दामुळे राग उत्तेजित होतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 12] निंदकाला शिक्षेची चीड येते; तो सुज्ञाकडे जात नाही.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 13] आनंदी हृदय मुख आनंदित करते, पण हृदयाच्या दुःखाने आत्मा चिरडला जातो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 14] बुद्धिमानाचे हृदय ज्ञान शोधते, पण मूर्खाचे मुख मूर्खताच खाते.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 15] जुलूम करणाऱ्याचे सर्व दिवस दुःखकारक असतात, पण आनंदी हृदयाला अंत नसलेली मेजवाणी आहे.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 16] पुष्कळ धन असून त्याबरोबर गोंधळ असण्यापेक्षा ते थोडके असून परमेश्वराचे भय बाळगणे चांगले आहे.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 17] पोसलेल्या वासराच्या तिरस्कारयुक्त मेजवाणीपेक्षा, जेथे प्रेम आहे तेथे भाजीभाकरी चांगली आहे.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 18] रागीट मनुष्य भांडण उपस्थित करतो, पण जो रागास मंद आहे तो मनुष्य भांडण शांत करतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 19] आळशाची वाट काटेरी कुंपणासारखी आहे, पण सरळांची वाट राजमार्ग बनते.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 20] शहाणा मुलगा आपल्या वडिलांना आनंदीत करतो. पण मूर्ख मनुष्य आपल्या आईला तुच्छ मानतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 21] बुद्धिहीन मनुष्य मूर्खपणात आनंद मानतो. पण जो समंजस आहे तो सरळ मार्गाने जातो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 22] जेथे सल्ला नसतो तेथे योजना बिघडतात, पण पुष्कळ सल्ला देणाऱ्यांबरोबर ते यशस्वी होतात.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 23] मनुष्यास आपल्या तोंडच्या समर्पक उत्तराने आनंद होतो; आणि योग्यसमयीचे शब्द किती चांगले आहे!
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 24] सुज्ञाने खाली अधोलोकास जाऊ नये म्हणून त्याचा जीवनमार्ग वर जातो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 25] परमेश्वर गर्विष्ठांची मालमत्ता फाडून काढेल, परंतु तो विधवेच्या मालमत्तेचे रक्षण करतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 26] परमेश्वर पाप्यांच्या विचारांचा द्वेष करतो, पण दयेची वचने त्याच्या दुष्टीने शुद्ध आहेत.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 27] चोरी करणारा आपल्या कुटुंबावर संकटे आणतो, पण जो लाचेचा तिटकारा करतो तो जगेल.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 28] नीतिमान उत्तर देण्याआधी विचार करतो, पण दुष्टाचे मुख सर्व वाईट ओतून बाहेर टाकते.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 29] परमेश्वर दुष्टांपासून खूप दूर आहे, पण तो नीतिमानांच्या प्रार्थना नेहमी ऐकतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 30] नेत्राचा प्रकाश अंतःकरणाला आनंद देतो, आणि चांगली बातमी शरीराला निरोगी आहे.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 31] जर कोणीतरी तुम्हास जीवन कसे जगावे म्हणून सुधारतो त्याकडे लक्ष द्या, तुम्ही ज्ञानामध्ये रहाल.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 32] जो कोणी शिक्षण नाकारतो तो आपल्या स्वत:लाच तुच्छ लेखतो, परंतु जो कोणी शासन ऐकून घेतो तो ज्ञान मिळवतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 33] परमेश्वराचे भय हे सुज्ञतेचे शिक्षण देते, आणि आदरापूर्वी नम्रता येते.
