[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 1] Now it came to pass, when the wall was built, and I had set up the doors, and the porters and the singers and the Levites were appointed,
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 34] The children of the other Elam, a thousand two hundred fifty and four.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 35] The children of Harim, three hundred and twenty.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 36] The children of Jericho, three hundred forty and five.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 37] The children of Lod, Hadid, and Ono, seven hundred twenty and one.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 38] The children of Senaah, three thousand nine hundred and thirty.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 39] The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 40] The children of Immer, a thousand fifty and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 41] The children of Pashhur, a thousand two hundred forty and seven.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 42] The children of Harim, a thousand and seventeen.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Levites: the children of Jeshua, of Kadmiel, of the children of Hodevah, seventy and four.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 44] The singers: the children of Asaph, an hundred forty and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 45] The porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, an hundred thirty and eight.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 46] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 47] the children of Keros, the children of Sia, the children of Padon;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 48] the children of Lebana, the children of Hagaba, the children of Salmai;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 49] the children of Hanan, the children of Giddel, the children of Gahar;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 50] the children of Reaiah, the children of Rezin, the children of Nekoda;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 51] the children of Gazzam, the children of Uzza, the children of Paseah;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 52] The children of Besai, the children of Meunim, the children of Nephushesim;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 53] the children of Bakbuk, the children of Hakupha, the children of Harhur;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 54] the children of Bazlith, the children of Mehida, the children of Harsha;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 55] the children of Barkos, the children of Sisera, the children of Temah;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 56] the children of Neziah, the children of Hatipha.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 57] The children of Solomon’s servants: the children of Sotai, the children of Sophereth, the children of Perida;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 58] the children of Jaala, the children of Darkon, the children of Giddel;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 59] the children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Amon.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 60] All the Nethinim, and the children of Solomon’s servants, were three hundred ninety and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 61] And these were they which went up from Tel-melah, Tel-harsha, Cherub, Addon, and Immer: but they could not shew their fathers’ houses, nor their seed, whether they were of Israel:
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 62] The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred forty and two.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 63] And of the priests: the children of Hobaiah, the children of Hakkoz, the children of Barzillai, which took a wife of the daughters of Barzillai the Gileadite, and was called after their name.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 64] These sought their register among those that were reckoned by genealogy, but it was not found: therefore were they deemed polluted and put from the priesthood.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 65] And the Tirshatha said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and Thummim.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 66] The whole congregation together was forty and two thousand three hundred and threescore,
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 67] beside their menservants and their maidservants, of whom there were seven thousand three hundred thirty and seven, and they had two hundred forty and five singing men and singing women.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 68] Their horses were seven hundred thirty and six; their mules, two hundred forty and five;
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 69] their camels, four hundred thirty and five; their asses, six thousand seven hundred and twenty.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 70] And some from among the heads of fathers’ houses gave unto the work. The Tirshatha gave to the treasury a thousand darics of gold, fifty basons, five hundred and thirty priests’ garments.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 71] And some of the heads of fathers’ houses gave into the treasury of the work twenty thousand darics of gold, and two thousand and two hundred pounds of silver.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 72] And that which the rest of the people gave was twenty thousand darics of gold, and two thousand pounds of silver, and threescore and seven priests’ garments.
[ERV | EN | OT | Nehemiah | Chapter 7 | Verse 73] So the priests, and the Levites, and the porters, and the singers, and some of the people, and the Nethinim, and all Israel, dwelt in their cities. And when the seventh month was come, the children of Israel were in their cities.
