[IRV | PA | NT | Ephesians | Chapter 3 | Verse 1] ਇਸ ਕਾਰਨ ਮੈਂ ਪੌਲੁਸ, ਜੋ ਤੁਸੀਂ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੇ ਲਈ ਯਿਸੂ ਮਸੀਹ ਦਾ ਕੈਦੀ ਹਾਂ।
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 12] ਜਿਸ ਦੇ ਵਿੱਚ ਉਸ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਕਰਨ ਦੇ ਦੁਆਰਾ ਸਾਨੂੰ ਦਲੇਰੀ ਅਤੇ ਭਰੋਸੇ ਰਾਹੀਂ ਪਹੁੰਚ ਪ੍ਰਾਪਤ ਹੁੰਦੀ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 13] ਇਸ ਲਈ ਮੈਂ ਇਹ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਜੋ ਤੁਸੀਂ ਮੇਰੀਆਂ ਬਿਪਤਾ ਦੇ ਕਾਰਨ ਜੋ ਤੁਹਾਡੀ ਖਾਤਰ ਹਨ ਹੌਂਸਲਾ ਨਾ ਹਾਰੋ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਤੋਂ ਤੁਹਾਡੀ ਮਹਿਮਾ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 14] ਇਸ ਕਾਰਨ ਮੈਂ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਪਿਤਾ ਅੱਗੇ ਆਪਣੇ ਗੋਡੇ ਨਿਵਾਉਂਦਾ ਹਾਂ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 15] ਜਿਸ ਤੋਂ ਸਵਰਗ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਹਰੇਕ ਘਰਾਣੇ ਦਾ ਨਾਮ ਰੱਖਿਆ ਜਾਂਦਾ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 16] ਕਿ ਉਹ ਆਪਣੀ ਮਹਿਮਾ ਦੇ ਧਨ ਅਨੁਸਾਰ ਤੁਹਾਨੂੰ ਇਹ ਦਾਨ ਕਰੇ ਜੋ ਤੁਸੀਂ ਉਹ ਦੇ ਆਤਮਾ ਦੇ ਰਾਹੀਂ ਅੰਦਰਲੀ ਇਨਸਾਨੀਅਤ ਵਿੱਚ ਸਮਰੱਥਾ ਨਾਲ ਬਲਵੰਤ ਬਣੋ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 17] ਕਿ ਮਸੀਹ ਤੁਹਾਡਿਆਂ ਮਨਾਂ ਵਿੱਚ ਵਿਸ਼ਵਾਸ ਦੇ ਦੁਆਰਾ ਵਾਸ ਕਰੇ ਤਾਂ ਜੋ ਪਿਆਰ ਵਿੱਚ ਮਜ਼ਬੂਤੀ ਨਾਲ ਜੜ੍ਹ ਫੜ੍ਹ ਕੇ,
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 18] ਤੁਸੀਂ ਸਾਰੇ ਸੰਤਾਂ ਨਾਲ ਮਿਲ ਕੇ ਇਸ ਗੱਲ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਸਮਝ ਸਕੋ ਕਿ ਕਿੰਨੀ ਕੁ ਚੌੜਾਈ, ਲੰਬਾਈ, ਉਚਾਈ ਅਤੇ ਡੁੰਘਾਈ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 19] ਅਤੇ ਮਸੀਹ ਦਾ ਪਿਆਰ ਜੋ ਗਿਆਨ ਤੋਂ ਪਰੇ ਹੈ, ਚੰਗੀ ਤਰ੍ਹਾਂ ਸਮਝ ਸਕੋ ਕਿ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸਾਰੀ ਭਰਪੂਰੀ ਵਿੱਚ ਭਰਪੂਰ ਹੋ ਜਾਓ l
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 20] ਹੁਣ ਉਹ ਦੀ ਜਿਹੜਾ ਅਜਿਹਾ ਸਮਰੱਥ ਹੈ ਕਿ ਜੋ ਕੁਝ ਅਸੀਂ ਮੰਗਦੇ ਜਾਂ ਸੋਚਦੇ ਹਾਂ ਉਸ ਨਾਲੋਂ ਕਿਤੇ ਵਧੇਰੇ ਕਰ ਸਕਦਾ ਹੈ, ਉਸ ਸਮਰੱਥਾ ਦੇ ਅਨੁਸਾਰ ਜੋ ਸਾਡੇ ਅੰਦਰ ਕੰਮ ਕਰਦੀ ਹੈ!
[IRV | PA | NT | Ephesians | Chapter 3 | Verse 21] ਕਲੀਸਿਯਾ ਵਿੱਚ ਅਤੇ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ, ਸਾਰੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੱਕ ਉਸ ਦੀ ਵਡਿਆਈ ਜੁੱਗੋ-ਜੁੱਗ ਹੋਵੇ।
