[IRV | PA | NT | Ephesians | Chapter 5 | Verse 1] ਸੋ ਤੁਸੀਂ ਪਿਆਰਿਆਂ ਬਾਲਕਾਂ ਵਾਂਗੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਰੀਸ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 12] ਕਿਉਂਕਿ ਜਿਹੜੇ ਕੰਮ ਗੁਪਤ ਵਿੱਚ ਉਹਨਾਂ ਦੁਆਰਾ ਕੀਤੇ ਜਾਂਦੇ ਹਨ! ਉਨ੍ਹਾਂ ਦੀ ਗੱਲ ਕਰਦਿਆਂ ਵੀ ਸ਼ਰਮ ਆਉਂਦੀ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 13] ਪਰ ਸਾਰੇ ਕੰਮ ਜਿਹਨਾਂ ਨੂੰ ਉਜਾਗਰ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ਉਹ ਸਭ ਚਾਨਣ ਦੁਆਰਾ ਪਰਗਟ ਕੀਤੇ ਜਾਂਦੇ ਹਨ, ਕਿਉਂਕਿ ਜੋ ਸਭ ਕੁਝ ਪਰਗਟ ਕਰਦਾ ਹੈ ਉਹ ਚਾਨਣ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 14] ਇਸ ਲਈ ਉਹ ਆਖਦਾ ਹੈ, ਹੇ ਸੌਣ ਵਾਲਿਆ, ਜਾਗ ਅਤੇ ਮੁਰਦਿਆਂ ਵਿੱਚੋਂ ਜੀ ਉੱਠ! ਤਾਂ ਮਸੀਹ ਦਾ ਚਾਨਣ ਤੇਰੇ ਉੱਤੇ ਚਮਕੇਗਾ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 15] ਸੋ ਚੌਕਸੀ ਨਾਲ ਵੇਖੋ ਤੁਸੀਂ ਕਿਹੋ ਜਿਹੀ ਚਾਲ ਚੱਲਦੇ ਹੋ, ਨਿਰਬੁੱਧਾਂ ਵਾਂਗੂੰ ਨਹੀਂ, ਸਗੋਂ ਬੁੱਧਵਾਨਾਂ ਵਾਂਗੂੰ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 16] ਸਮੇਂ ਦਾ ਸਹੀ ਉਪਯੋਗ ਕਰੋ ਕਿਉਂ ਜੋ ਦਿਨ ਬੁਰੇ ਹਨ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 17] ਇਸ ਕਾਰਨ ਤੁਸੀਂ ਨਿਰਬੁੱਧ ਨਾ ਹੋਵੋ, ਸਗੋਂ ਸਮਝੋ ਕਿ ਪ੍ਰਭੂ ਦੀ ਕੀ ਮਰਜ਼ੀ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 18] ਅਤੇ ਸ਼ਰਾਬ ਨਾਲ ਮਸਤ ਨਾ ਹੋਵੋ ਜਿਹ ਦੇ ਵਿੱਚ ਲੁੱਚਪੁਣਾ ਹੁੰਦਾ ਹੈ, ਸਗੋਂ ਆਤਮਾ ਨਾਲ ਭਰਪੂਰ ਹੋ ਜਾਓ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 19] ਅਤੇ ਜ਼ਬੂਰ, ਭਜਨ ਅਤੇ ਆਤਮਿਕ ਗੀਤ ਗਾ ਕੇ ਇੱਕ ਦੂਜੇ ਨਾਲ ਗੱਲਾਂ ਕਰੋ ਅਤੇ ਮਨ ਲਗਾ ਕੇ ਪ੍ਰਭੂ ਲਈ ਗਾਉਂਦੇ ਵਜਾਉਂਦੇ ਰਿਹਾ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 20] ਅਤੇ ਸਭਨਾਂ ਗੱਲਾਂ ਦੇ ਲਈ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਨਾਮ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਪਿਤਾ ਦਾ ਸਦਾ ਧੰਨਵਾਦ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 21] ਅਤੇ ਮਸੀਹ ਦੇ ਡਰ ਵਿੱਚ ਇੱਕ ਦੂਜੇ ਦੇ ਅਧੀਨ ਰਹੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 22] ਹੇ ਪਤਨੀਓ, ਤੁਸੀਂ ਆਪਣਿਆਂ ਪਤੀਆਂ ਦੇ ਅਧੀਨ ਹੋਵੋ ਜਿਵੇਂ ਪ੍ਰਭੂ ਦੇ ਅਧੀਨ ਹੋ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 23] ਕਿਉਂ ਜੋ ਪਤੀ ਪਤਨੀ ਦਾ ਸਿਰ ਹੈ, ਜਿਵੇਂ ਮਸੀਹ ਵੀ ਕਲੀਸਿਯਾ ਦਾ ਸਿਰ ਹੈ। ਉਹ ਤਾਂ ਆਪ ਦੇਹੀ ਦਾ ਬਚਾਉਣ ਵਾਲਾ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 24] ਇਸ ਲਈ, ਜਿਵੇਂ ਕਲੀਸਿਯਾ ਮਸੀਹ ਦੇ ਅਧੀਨ ਹੈ, ਇਸੇ ਤਰ੍ਹਾਂ ਪਤਨੀਆਂ ਵੀ ਹਰ ਗੱਲ ਵਿੱਚ ਆਪਣਿਆਂ ਪਤੀਆਂ ਦੇ ਅਧੀਨ ਰਹਿਣ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 25] ਹੇ ਪਤੀਓ, ਆਪਣੀਆਂ ਪਤਨੀਆਂ ਨਾਲ ਪਿਆਰ ਰੱਖੋ, ਜਿਵੇਂ ਮਸੀਹ ਨੇ ਵੀ ਕਲੀਸਿਯਾ ਨਾਲ ਪਿਆਰ ਕੀਤਾ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਉਸ ਦੇ ਲਈ ਦੇ ਦਿੱਤਾ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 26] ਪਰਮੇਸ਼ੁਰ ਦੇ ਬਚਨ ਦੇ ਰਾਹੀਂ ਜਲ ਦੇ ਇਸ਼ਨਾਨ ਨਾਲ ਸ਼ੁੱਧ ਕਰਕੇ ਪਵਿੱਤਰ ਕਰੇ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 27] ਅਤੇ ਉਹ ਉਸ ਨੂੰ ਆਪਣੇ ਲਈ ਇਹੋ ਜਿਹੀ ਪਰਤਾਪਵਾਨ ਕਲੀਸਿਯਾ ਤਿਆਰ ਕਰੇ ਜਿਹ ਦੇ ਵਿੱਚ ਕਲੰਕ ਜਾਂ ਬੱਜ ਜਾਂ ਕੋਈ ਹੋਰ ਅਜਿਹਾ ਔਗੁਣ ਨਾ ਹੋਵੇ ਸਗੋਂ ਉਹ ਪਵਿੱਤਰ ਅਤੇ ਨਿਰਮਲ ਹੋਵੇ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 28] ਇਸੇ ਤਰ੍ਹਾਂ ਪਤੀਆਂ ਨੂੰ ਵੀ ਚਾਹੀਦਾ ਹੈ ਜੋ ਆਪਣੀਆਂ ਪਤਨੀਆਂ ਨਾਲ ਅਜਿਹਾ ਪਿਆਰ ਰੱਖਣ ਜਿਵੇਂ ਆਪਣੇ ਸਰੀਰਾਂ ਨਾਲ ਰੱਖਦੇ ਹਨ। ਜਿਹੜਾ ਆਪਣੀ ਪਤਨੀ ਨਾਲ ਪਿਆਰ ਕਰਦਾ ਹੈ ਉਹ ਆਪਣੇ ਹੀ ਨਾਲ ਪਿਆਰ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 29] ਕਿਉਂ ਜੋ ਕਿਸੇ ਨੇ ਆਪਣੇ ਸਰੀਰ ਨਾਲ ਕਦੇ ਵੈਰ ਨਹੀਂ ਕੀਤਾ ਸਗੋਂ ਉਹ ਉਸ ਨੂੰ ਪਾਲਦਾ ਪਲੋਸਦਾ ਹੈ ਜਿਵੇਂ ਮਸੀਹ ਵੀ ਕਲੀਸਿਯਾ ਨੂੰ ਪਾਲਦਾ ਪਲੋਸਦਾ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 30] ਕਿਉਂ ਜੋ ਅਸੀਂ ਉਸ ਦੀ ਦੇਹੀ ਦੇ ਅੰਗ ਹਾਂ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 31] ਇਸ ਕਰਕੇ ਆਦਮੀ ਆਪਣੇ ਮਾਤਾ-ਪਿਤਾ ਨੂੰ ਛੱਡ ਕੇ ਆਪਣੀ ਪਤਨੀ ਨਾਲ ਮਿਲਿਆ ਰਹੇਗਾ ਅਤੇ ਉਹ ਦੋਵੇਂ ਇੱਕ ਸਰੀਰ ਹੋਣਗੇ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 32] ਇਹ ਭੇਤ ਤਾਂ ਵੱਡਾ ਹੈ ਪਰ ਮੈਂ ਮਸੀਹ ਅਤੇ ਕਲੀਸਿਯਾ ਵਿਖੇ ਬੋਲਦਾ ਹਾਂ।
[IRV | PA | NT | Ephesians | Chapter 5 | Verse 33] ਪਰ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਵੀ ਹਰੇਕ ਆਪੋ-ਆਪਣੀ ਪਤਨੀ ਨਾਲ ਆਪਣੇ ਹੀ ਜਿਹਾ ਪਿਆਰ ਕਰੇ, ਅਤੇ ਪਤਨੀ ਆਪਣੇ ਪਤੀ ਦਾ ਆਦਰ ਕਰੇ।
