[IRV | PA | NT | Ephesians | Chapter 6 | Verse 1] ਹੇ ਬਾਲਕੋ, ਤੁਸੀਂ ਪ੍ਰਭੂ ਵਿੱਚ ਆਪਣੇ ਮਾਪਿਆਂ ਦੀ ਆਗਿਆ ਮੰਨੋ ਕਿਉਂ ਜੋ ਇਹ ਉੱਤਮ ਗੱਲ ਹੈ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 12] ਕਿਉਂ ਜੋ ਸਾਡੀ ਲੜਾਈ ਲਹੂ ਅਤੇ ਮਾਸ ਨਾਲ ਨਹੀਂ, ਸਗੋਂ ਹਕੂਮਤਾਂ, ਇਖ਼ਤਿਆਰਾਂ ਅਤੇ ਇਸ ਸੰਸਾਰ ਦੇ ਅੰਧਘੋਰ ਦੇ ਮਹਾਰਾਜਿਆਂ ਅਤੇ ਦੁਸ਼ਟ ਆਤਮਿਆਂ ਨਾਲ ਹੁੰਦੀ ਹੈ ਜੋ ਸਵਰਗੀ ਥਾਵਾਂ ਵਿੱਚ ਹਨ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 13] ਇਸ ਕਾਰਨ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਾਰੇ ਸ਼ਸਤਰ ਬਸਤਰ ਲੈ ਲਵੋ, ਜੋ ਤੁਸੀਂ ਬੁਰੇ ਦਿਨ ਵਿੱਚ ਸਾਹਮਣਾ ਕਰ ਸਕੋ ਅਤੇ ਸੱਭੋ ਕੁਝ ਪੂਰਾ ਕਰਕੇ ਸਥਿਰ ਰਹਿ ਸਕੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 14] ਸੋ ਤੁਸੀਂ ਆਪਣੀ ਕਮਰ ਸਚਿਆਈ ਨਾਲ ਕੱਸ ਕੇ ਅਤੇ ਧਰਮ ਦੀ ਸੰਜੋ ਪਹਿਨ ਕੇ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 15] ਅਤੇ ਮਿਲਾਪ ਦੀ ਖੁਸ਼ਖਬਰੀ ਦੀ ਤਿਆਰੀ ਦੀ ਜੁੱਤੀ ਆਪਣੇ ਪੈਰੀਂ ਪਾ ਕੇ ਖੜੇ ਹੋ ਜਾਓ!
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 16] ਇਹਨਾਂ ਸਭਨਾਂ ਤੋਂ ਵਧ ਕੇ, ਵਿਸ਼ਵਾਸ ਦੀ ਢਾਲ਼ ਲਵੋ ਜਿਹ ਦੇ ਨਾਲ ਤੁਸੀਂ ਉਸ ਦੁਸ਼ਟ ਦੇ ਸਾਰੇ ਅਗਨੀ ਬਾਣਾਂ ਨੂੰ ਬੁਝਾ ਸਕੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 17] ਅਤੇ ਮੁਕਤੀ ਦਾ ਟੋਪ, ਆਤਮਾ ਦੀ ਤਲਵਾਰ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਹੈ, ਲੈ ਲਵੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 18] ਅਤੇ ਸਾਰੀ ਪ੍ਰਾਰਥਨਾ ਅਤੇ ਬੇਨਤੀ ਨਾਲ ਹਰ ਸਮੇਂ ਆਤਮਾ ਵਿੱਚ ਪ੍ਰਾਰਥਨਾ ਕਰਦੇ ਰਹੋ ਅਤੇ ਇਹ ਦੇ ਨਮਿੱਤ ਜਾਗਦੇ ਹੋਏ ਸਾਰਿਆਂ ਸੰਤਾਂ ਲਈ ਬਹੁਤ ਦਲੇਰੀ ਨਾਲ ਬੇਨਤੀ ਕਰਿਆ ਕਰੋ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 19] ਅਤੇ ਮੇਰੇ ਲਈ ਵੀ, ਜਦ ਆਪਣਾ ਮੂੰਹ ਖੋਲ੍ਹਾਂ ਤਾਂ ਅਜਿਹਾ ਬਚਨ ਮੈਨੂੰ ਦਿੱਤਾ ਜਾਵੇ ਕਿ ਮੈਂ ਦਲੇਰੀ ਨਾਲ ਖੁਸ਼ਖਬਰੀ ਦਾ ਭੇਤ ਪਰਗਟ ਕਰਾਂ ਜਿਹ ਦੇ ਲਈ ਮੈਂ ਸੰਗਲਾਂ ਨਾਲ ਜਕੜਿਆ ਹੋਇਆ ਰਾਜਦੂਤ ਹਾਂ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 20] ਅਤੇ ਜਿਵੇਂ ਮੈਨੂੰ ਬੋਲਣਾ ਚਾਹੀਦਾ ਹੈ ਮੈਂ ਉਸ ਵਿੱਚ ਦਲੇਰੀ ਨਾਲ ਬੋਲਾਂ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 21] ਪਰ ਇਸ ਲਈ ਜੋ ਤੁਸੀਂ ਵੀ ਮੇਰੇ ਬਾਰੇ ਜਾਣੋ ਕਿ ਮੇਰਾ ਕੀ ਹਾਲ ਹੈ, ਤੁਖਿਕੁਸ ਜਿਹੜਾ ਪਿਆਰਾ ਭਰਾ, ਪ੍ਰਭੂ ਵਿੱਚ ਵਿਸ਼ਵਾਸਯੋਗ ਸੇਵਕ ਹੈ ਤੁਹਾਨੂੰ ਸੱਭੇ ਗੱਲਾਂ ਦੱਸੇਗਾ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 22] ਜਿਹ ਨੂੰ ਮੈਂ ਤੁਹਾਡੇ ਕੋਲ ਇਸੇ ਕਰਕੇ ਭੇਜਿਆ ਜੋ ਤੁਸੀਂ ਸਾਡੀਆਂ ਬੀਤੀਆਂ ਨੂੰ ਜਾਣੋ ਅਤੇ ਉਹ ਤੁਹਾਡਿਆਂ ਮਨਾਂ ਨੂੰ ਦਿਲਾਸਾ ਦੇਵੇ।
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 23] ਪਰਮੇਸ਼ੁਰ ਪਿਤਾ ਅਤੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੀ ਵੱਲੋਂ ਭਰਾਵਾਂ ਨੂੰ ਸ਼ਾਂਤੀ ਅਤੇ ਵਿਸ਼ਵਾਸ ਪਿਆਰ ਸਣੇ ਮਿਲਦੀ ਰਹੇ!
[IRV | PA | NT | Ephesians | Chapter 6 | Verse 24] ਉਹਨਾਂ ਸਭਨਾਂ ਉੱਤੇ ਜਿਹੜੇ ਸਾਡੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਨਾਲ ਸੱਚਾ ਪਿਆਰ ਰੱਖਦੇ ਹਨ, ਕਿਰਪਾ ਹੁੰਦੀ ਰਹੇ। ਆਮੀਨ।
