[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 1] Καὶ ἐγενήθη ἐν ταῖς ἡμέραις ἐκείναις, καὶ συναθροίζονται ἀλλόφυλοι ἐν ταῖς παρεμβολαῖς αὐτῶν ἐξελθεῖν πολεμεῖν μετὰ Ἰσραήλ· καὶ εἶπεν Ἀγχοῦς πρὸς Δαυὶδ, γινώσκων γνώσῃ, ὅτι μετʼ ἐμοῦ ἐξελεύσῃ εἰς πόλεμον σὺ, καὶ οἱ ἄνδρες σου.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 16] Καὶ εἶπε Σαμουὴλ, ἱνατί ἐπερωτᾷς με, καὶ Κύριος ἀφέστηκεν ἀπὸ σοῦ, καὶ γέγονε μετὰ τοῦ πλησίον σου;
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 17] Καὶ πεποίηκε Κύριος σοι, καθὼς ἐλάλησε Κύριος ἐν χειρί μου, καὶ διαῤῥήξει Κύριος τὴν βασιλείαν σου ἐκ χειρός σου, καὶ δώσει αὐτὴν τῷ πλησίον σου τῷ Δαυὶδ,
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 18] διότι οὐκ ἤκουσας φωνῆς Κυρίου, καὶ οὐκ ἐποίησας θυμὸν ὀργῆς αὐτοῦ ἐν Ἀμαλὴκ, διὰ τοῦτο τὸ ῥῆμα ἐποίησε Κύριός σοι ἐν τῇ ἡμέρᾳ ταύτῃ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 19] Καὶ παραδώσει Κύριος τὸν Ἰσραὴλ μετὰ σοῦ εἰς χεῖρας ἀλλοφύλων, καὶ αὔριον σὺ καὶ οἱ υἱοί σου μετὰ σοῦ πεσοῦνται, καὶ τὴν παρεμβολὴν Ἰσραὴλ δώσει Κύριος εἰς χεῖρας ἀλλοφύλων.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 20] Καὶ ἔσπευσε Σαοὺλ καὶ ἔπεσεν ἑστηκὼς ἐπὶ τὴν γῆν, καὶ ἐφοβήθη σφόδρα ἀπὸ τῶν λόγων Σαμουὴλ, καὶ ἐν αὐτῷ οὐκ ἦν ἰσχὺς ἔτι, οὐ γὰρ ἔφαγεν ἄρτον ὅλην τὴν ἡμέραν καὶ ὅλην τὴν νύκτα ἐκείνην.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 21] Καὶ εἰσῆλθεν ἡ γυνὴ πρὸς Σαοὺλ, καὶ εἶδεν ὅτι ἔσπευσε σφόδρα, καὶ εἶπε πρὸς αὐτὸν, ἰδοὺ δὴ ἤκουσεν ἡ δούλη σου τῆς φωνῆς σου, καὶ ἐθέμην τὴν ψυχήν μου ἐν τῇ χειρί μου, καὶ ἤκουσα τοὺς λόγους οὓς ἐλάλησάς μοι.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 22] Καὶ νῦν ἄκουσον δὴ φωνῆς τῆς δούλης σου, καὶ παραθήσω ἐνώπιόν σου ψωμὸν ἄρτου, καὶ φάγε, καὶ ἔσται σοὶ ἰσχὺς, ὅτι πορεύῃ ἐν ὁδῷ.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 23] Καὶ οὐκ ἐβουλήθη φαγεῖν· καὶ παρεβιάζοντο αὐτὸν οἱ παῖδες αὐτοῦ καὶ ἡ γυνὴ, καὶ ἤκουσε τῆς φωνῆς αὐτῶν, καὶ ἀνέστη ἀπὸ τῆς γῆς, καὶ ἐκάθισεν ἐπὶ τὸν δίφρον.
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 24] Καὶ τῇ γυναικὶ ἦν δάμαλις νομὰς ἐν τῇ οἰκίᾳ· καὶ ἔσπευσε καὶ ἔθυσεν αὐτήν· καὶ ἔλαβεν ἄλευρα καὶ ἐφύρασε, καὶ ἔπεψεν ἄζυμα,
[LXX | EL | OT | 1 Samuel | Chapter 28 | Verse 25] καὶ προσήγαγεν ἐνώπιον Σαοὺλ, καὶ ἐνώπιον τῶν παίδων αὐτοῦ· καὶ ἔφαγον, καὶ ἀνέστησαν καὶ ἀπῆλθον τὴν νύκτα ἐκείνην.
