[DRA | EN | NT | John | Chapter 11 | Verse 1] Now there was a certain man sick, named Lazarus, of Bethania, of the town of Mary and Martha her sister.
[DRA | EN | NT | John | Chapter 11 | Verse 23] Jesus saith to her: Thy brother shall rise again.
[DRA | EN | NT | John | Chapter 11 | Verse 24] Martha saith to him: I know that he shall rise again, in the resurrection at the last day.
[DRA | EN | NT | John | Chapter 11 | Verse 25] Jesus said to her: I am the resurrection and the life: he that believeth in me, although he be dead, shall live:
[DRA | EN | NT | John | Chapter 11 | Verse 26] And every one that liveth, and believeth in me, shall not die for ever. Believest thou this?
[DRA | EN | NT | John | Chapter 11 | Verse 27] She saith to him: Yea, Lord, I have believed that thou art Christ the Son of the living God, who art come into this world.
[DRA | EN | NT | John | Chapter 11 | Verse 28] And when she had said these things, she went, and called her sister Mary secretly, saying: The master is come, and calleth for thee.
[DRA | EN | NT | John | Chapter 11 | Verse 29] She, as soon as she heard this, riseth quickly, and cometh to him.
[DRA | EN | NT | John | Chapter 11 | Verse 30] For Jesus was not yet come into the town: but he was still in that place where Martha had met him.
[DRA | EN | NT | John | Chapter 11 | Verse 31] The Jews therefore, who were with her in the house, and comforted her, when they saw Mary that she rose up speedily and went out, followed her, saying: She goeth to the grave to weep there.
[DRA | EN | NT | John | Chapter 11 | Verse 32] When Mary therefore was come where Jesus was, seeing him, she fell down at his feet, and saith to him: Lord, if thou hadst been here, my brother had not died.
[DRA | EN | NT | John | Chapter 11 | Verse 33] Jesus, therefore, when he saw her weeping, and the Jews that were come with her, weeping, groaned in the spirit, and troubled himself,
[DRA | EN | NT | John | Chapter 11 | Verse 34] And said: Where have you laid him? They say to him: Lord, come and see.
[DRA | EN | NT | John | Chapter 11 | Verse 35] And Jesus wept.
[DRA | EN | NT | John | Chapter 11 | Verse 36] The Jews therefore said: Behold how he loved him.
[DRA | EN | NT | John | Chapter 11 | Verse 37] But some of them said: Could not he that opened the eyes of the man born blind, have caused that this man should not die?
[DRA | EN | NT | John | Chapter 11 | Verse 38] Jesus therefore again groaning in himself, cometh to the sepulchre. Now it was a cave; and a stone was laid over it.
[DRA | EN | NT | John | Chapter 11 | Verse 39] Jesus saith: Take away the stone. Martha, the sister of him that was dead, saith to him: Lord, by this time he stinketh, for he is now of four days.
[DRA | EN | NT | John | Chapter 11 | Verse 40] Jesus saith to her: Did not I say to thee, that if thou believe, thou shalt see the glory of God?
[DRA | EN | NT | John | Chapter 11 | Verse 41] They took therefore the stone away. And Jesus lifting up his eyes said: Father, I give thee thanks that thou hast heard me.
[DRA | EN | NT | John | Chapter 11 | Verse 42] And I knew that thou hearest me always; but because of the people who stand about have I said it, that they may believe that thou hast sent me.
[DRA | EN | NT | John | Chapter 11 | Verse 43] When he had said these things, he cried with a loud voice: Lazarus, come forth.
[DRA | EN | NT | John | Chapter 11 | Verse 44] And presently he that had been dead came forth, bound feet and hands with winding bands; and his face was bound about with a napkin. Jesus said to them: Loose him, and let him go.
[DRA | EN | NT | John | Chapter 11 | Verse 45] Many therefore of the Jews, who were come to Mary and Martha, and had seen the things that Jesus did, believed in him.
[DRA | EN | NT | John | Chapter 11 | Verse 46] But some of them went to the Pharisees, and told them the things that Jesus had done.
[DRA | EN | NT | John | Chapter 11 | Verse 47] The chief priests therefore, and the Pharisees, gathered a council, and said: What do we, for this man doth many miracles?
[DRA | EN | NT | John | Chapter 11 | Verse 48] If we let him alone so, all will believe in him; and the Romans will come, and take away our place and nation.
[DRA | EN | NT | John | Chapter 11 | Verse 49] But one of them, named Caiphas, being the high priest that year, said to them: You know nothing.
[DRA | EN | NT | John | Chapter 11 | Verse 50] Neither do you consider that it is expedient for you that one man should die for the people, and that the whole nation perish not.
[DRA | EN | NT | John | Chapter 11 | Verse 51] And this he spoke not of himself: but being the high priest of that year, he prophesied that Jesus should die for the nation.
[DRA | EN | NT | John | Chapter 11 | Verse 52] And not only for the nation, but to gather together in one the children of God, that were dispersed.
[DRA | EN | NT | John | Chapter 11 | Verse 53] From that day therefore they devised to put him to death.
[DRA | EN | NT | John | Chapter 11 | Verse 54] Wherefore Jesus walked no more openly among the Jews; but he went into a country near the desert, unto a city that is called Ephrem, and there he abode with his disciples.
[DRA | EN | NT | John | Chapter 11 | Verse 55] And the pasch of the Jews was at hand; and many from the country went up to Jerusalem, before the pasch to purify themselves.
[DRA | EN | NT | John | Chapter 11 | Verse 56] They sought therefore for Jesus; and they discoursed one with another, standing in the temple: What think you that he is not come to the festival day?
[DRA | EN | NT | John | Chapter 11 | Verse 57] And the chief priests and Pharisees had given a commandment, that if any man knew where he was, he should tell, that they might apprehend him.
