[BBE | EN | OT | Leviticus | Chapter 25 | Verse 1] And the Lord said to Moses on Mount Sinai,
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 29] And if a man gives his house in a walled town for money, he has the right to get it back for the space of a full year after he has given it up.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 30] And if he does not get it back by the end of the year, then the house in the town will become the property of him who gave the money for it, and of his children for ever; it will not go from him in the year of Jubilee.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 31] But houses in small unwalled towns will be the same as property in the country; they may be got back, and they will go back to their owners in the year of Jubilee.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 32] But the houses in the towns of the Levites may be got back by the Levites at any time.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 33] And if a Levite does not give money to get back his property, his house in the town which was exchanged for money will come back to him in the year of Jubilee. For the houses of the towns of the Levites are their property among the children of Israel.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 34] But the land on the outskirts of their towns may not be exchanged for money, for it is their property for ever.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 35] And if your brother becomes poor and is not able to make a living, then you are to keep him with you, helping him as you would a man from another country who is living among you.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 36] Take no interest from him, in money or in goods, but have the fear of your God before you, and let your brother make a living among you.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 37] Do not take interest on the money which you let him have or on the food which you give him.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 38] I am the Lord your God, who took you out of the land of Egypt to give you the land of Canaan, that I might be your God.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 39] And if your brother becomes poor and gives himself to you for money, do not make use of him like a servant who is your property;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 40] But let him be with you as a servant working for payment, till the year of Jubilee;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 41] Then he will go out from you, he and his children with him, and go back to his family and to the property of his fathers.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 42] For they are my servants whom I took out from the land of Egypt; they may not become the property of another.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 43] Do not be a hard master to him, but have the fear of God before you.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 44] But you may get servants as property from among the nations round about; from them you may take men-servants and women-servants.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 45] And in addition, you may get, for money, servants from among the children of other nations who are living with you, and from their families which have come to birth in your land; and these will be your property.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 46] And they will be your children's heritage after you, to keep as their property; they will be your servants for ever; but you may not be hard masters to your countrymen, the children of Israel.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 47] And if one from another nation living among you gets wealth, and your countryman, at his side, becomes poor and gives himself for money to the man from another nation or to one of his family;
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 48] After he has given himself he has the right to be made free, for a price, by one of his brothers,
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 49] Or his father's brother, or the son of his father's brother, or any near relation; or if he gets money, he may make himself free.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 50] And let the years be numbered from the time when he gave himself to his owner till the year of Jubilee, and the price given for him will be in relation to the number of years, on the scale of the payment of a servant.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 51] If there is still a long time, he will give back, on account of it, a part of the price which was given for him.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 52] And if there is only a short time, he will take account of it with his master, and in relation to the number of years he will give back the price of making him free.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 53] And he will be with him as a servant working for payment year by year; his master is not to be cruel to him before your eyes.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 54] And if he is not made free in this way, he will go out in the year of Jubilee, he and his children with him.
[BBE | EN | OT | Leviticus | Chapter 25 | Verse 55] For the children of Israel are servants to me; they are my servants whom I took out of the land of Egypt: I am the Lord your God.
