[OEB | EN | NT | Acts | Chapter 9 | Verse 1] Meanwhile Saul, still breathing murderous threats against the disciples of the Lord, went to the high priest,
[OEB | EN | NT | Acts | Chapter 9 | Verse 34] ‘Aeneas,’ Peter said to him, ‘Jesus Christ cures you. Get up, and make your bed.’ Aeneas got up at once;
[OEB | EN | NT | Acts | Chapter 9 | Verse 35] and all the inhabitants of Lydda and of the Plain of Sharon saw him, and came over to the Lord’s side.
[OEB | EN | NT | Acts | Chapter 9 | Verse 36] At Joppa there lived a disciple whose name was Tabitha, which is in Greek “Dorcas” – a Gazelle. Her life was spent in doing kind and charitable actions.
[OEB | EN | NT | Acts | Chapter 9 | Verse 37] Just at that time she was taken ill, and died; and they had washed her body and laid it out in an upstairs room.
[OEB | EN | NT | Acts | Chapter 9 | Verse 38] Joppa was near Lydda, and the disciples, having heard that Peter was at Lydda, sent two men with the request that he come to them without delay.
[OEB | EN | NT | Acts | Chapter 9 | Verse 39] Peter returned with them at once. On his arrival, he was taken upstairs, and all the widows came round him in tears, showing the coats and other clothing which Dorcas had made while she was among them.
[OEB | EN | NT | Acts | Chapter 9 | Verse 40] But Peter sent everybody out of the room, and knelt down and prayed. Then, turning to the body, he said, ‘Tabitha! Stand up.’ She opened her eyes, and, seeing Peter, sat up.
[OEB | EN | NT | Acts | Chapter 9 | Verse 41] Giving her his hand, Peter raised her up, and, calling in the widows and others of Christ’s people, presented her to them alive.
[OEB | EN | NT | Acts | Chapter 9 | Verse 42] This became known all through Joppa, and numbers of people came to believe in the Lord.
[OEB | EN | NT | Acts | Chapter 9 | Verse 43] And Peter stayed some days at Joppa with a tanner named Simon.
