[OEB | EN | NT | Acts | Chapter 10 | Verse 1] At Caesarea there was a man named Cornelius, a centurion in the regiment known as the “Italian Regiment,”
[OEB | EN | NT | Acts | Chapter 10 | Verse 39] We are ourselves, too, witnesses to all that he did in Judea and in Jerusalem; yet they put him to death by hanging him on a cross!
[OEB | EN | NT | Acts | Chapter 10 | Verse 40] This Jesus God raised on the third day, and enabled him to appear,
[OEB | EN | NT | Acts | Chapter 10 | Verse 41] not indeed to everyone, but to witnesses chosen beforehand by God – to us, who ate and drank with him after his resurrection from the dead.
[OEB | EN | NT | Acts | Chapter 10 | Verse 42] Further, God charged us to proclaim to the people, and solemnly affirm, that it is Jesus who has been appointed by God judge of the living and the dead.
[OEB | EN | NT | Acts | Chapter 10 | Verse 43] To him it is that all the prophets bear witness, when they say that everyone who believes in him receives through his name forgiveness of sins.’
[OEB | EN | NT | Acts | Chapter 10 | Verse 44] Before Peter had finished saying these words, the Holy Spirit fell on all who were listening to the message.
[OEB | EN | NT | Acts | Chapter 10 | Verse 45] Those converts from Judaism, who had come with Peter, were amazed that the gift of the Holy Spirit had been bestowed even on the Gentiles;
[OEB | EN | NT | Acts | Chapter 10 | Verse 46] for they heard them speaking in different languages and extolling God. At this Peter asked,
[OEB | EN | NT | Acts | Chapter 10 | Verse 47] ‘Can anyone refuse the water for the baptism of these people, now that they have received the Holy Spirit as we did ourselves?’
[OEB | EN | NT | Acts | Chapter 10 | Verse 48] And he directed that they should be baptized in the name of Jesus Christ; after which they asked him to stay there a few days longer.
