[IRV | GU | NT | Mark | Chapter 4 | Verse 1] ઈસુ સમુદ્રને કિનારે ફરી બોધ કરવા લાગ્યા. અતિ ઘણાં લોકો ભેગા થયા, માટે તે સમુદ્રમાં હોડી પર ચઢીને બેઠા; અને બધા લોકો સમુદ્રની પાસે કાંઠા પર હતા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 26] તેમણે કહ્યું કે, ‘ઈશ્વરનું રાજ્ય એવું છે કે જાણે કોઈ માણસ જમીનમાં બી વાવે,
[IRV | GU | NT | Mark | Chapter 4 | Verse 27] તે રાતદિવસ ઊંઘે તથા જાગે અને તે બી ઊગે તથા વધે પણ શી રીતે તે વધે છે એ તે જાણતો નથી.
[IRV | GU | NT | Mark | Chapter 4 | Verse 28] જમીન તો પોતાની જાતે ફળ આપે છે, પહેલાં અંકુર, પછી કણસલું, પછી કણસલાંમાં ભરપૂર દાણા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 29] પણ દાણા પાક્યા પછી તરત તે દાતરડું ચલાવે છે; કેમ કે કાપણીનો વખત થયો હોય છે.
[IRV | GU | NT | Mark | Chapter 4 | Verse 30] તેમણે કહ્યું કે, ‘ઈશ્વરના રાજ્યને શાની સાથે સરખાવીએ? અથવા તેને સમજાવવા કયું દ્રષ્ટાંત આપીએ?
[IRV | GU | NT | Mark | Chapter 4 | Verse 31] તે રાઈના દાણાના જેવું છે; તે જમીનમાં વવાય છે ત્યારે જમીનનાં સર્વ બીજ કરતાં તે નાનું હોય છે;
[IRV | GU | NT | Mark | Chapter 4 | Verse 32] પણ વાવ્યા પછી તે ઊગી નીકળે છે, અને સર્વ છોડ કરતાં મોટું થાય છે અને તેને એવી મોટી ડાળીઓ થાય છે કે આકાશના પક્ષીઓ તેની છાયા નીચે વાસો કરી શકે છે.’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 33] એવાં ઘણાં દ્રષ્ટાંતોમાં જેમ તેઓ સમજી શકતા હતા તેમ તે તેઓને વચન કહેતાં હતા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 34] દ્રષ્ટાંત વિના તે તેઓને કંઈ કહેતાં ન હતા; પણ પોતાના શિષ્યોને એકાંતે તેઓ સઘળી વાતોનો ખુલાસો કરતા.
[IRV | GU | NT | Mark | Chapter 4 | Verse 35] તે દિવસે સાંજ પડી ત્યારે તે તેઓને કહે છે કે, ‘આપણે પેલે પાર જઈએ.’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 36] લોકોને મૂકીને શિષ્યો ઈસુને પોતાની સાથે હોડીમાં લઈ જાય છે. બીજી હોડીઓ પણ તેની સાથે હતી.
[IRV | GU | NT | Mark | Chapter 4 | Verse 37] પછી પવનનું મોટું તોફાન થયું; અને હોડીમાં મોજાંઓ એવાં ઊછળી આવ્યાં કે તે ભરાઈ જવા લાગી.
[IRV | GU | NT | Mark | Chapter 4 | Verse 38] તે હોડીના પાછલા ભાગમાં ઓશીકા પર માથું ટેકીને ઊંઘતા હતા; અને તેઓ તેમને જગાડીને કહે છે કે, ‘ઉપદેશક, અમે નાશ પામીએ છીએ, તેની તમને શું કંઈ ચિંતા નથી?’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 39] તેમણે ઊઠીને પવનને ધમકાવ્યો તથા સમુદ્રને કહ્યું કે, ‘શાંત થા.’” ત્યારે પવન બંધ થયો અને મહાશાંતિ થઈ.
[IRV | GU | NT | Mark | Chapter 4 | Verse 40] તેમણે તેઓને કહ્યું કે, તમે કેમ ભયભીત થયા છો? શું તમને હજુ પણ વિશ્વાસ નથી?’”
[IRV | GU | NT | Mark | Chapter 4 | Verse 41] તેઓ ઘણાં ગભરાયા તથા માંહોમાંહે બોલ્યા કે, ‘આ તે કોણ છે કેમ કે પવન તથા સમુદ્ર પણ તેમનું માને છે?’”
