[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 1] After some time, David’s son Amnon fell in love with Tamar, the beautiful sister of David’s son Absalom.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 23] Two years later, when Absalom’s sheepshearers were at Baal-hazor near Ephraim, he invited all the sons of the king.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 24] And he went to the king and said, “Your servant has just hired shearers. Will the king and his servants please come with me?”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 25] “No, my son,” the king replied, “we should not all go, or we would be a burden to you.” Although Absalom urged him, he was not willing to go, but gave him his blessing.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 26] “If not,” said Absalom, “please let my brother Amnon go with us.” “Why should he go with you?” the king asked.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 27] But Absalom urged him, so the king sent Amnon and the rest of his sons.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 28] Now Absalom had ordered his young men, “Watch Amnon until his heart is merry with wine, and when I order you to strike Amnon down, you are to kill him. Do not be afraid. Have I not commanded you? Be courageous and valiant!”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 29] So Absalom’s young men did to Amnon just as Absalom had ordered. Then all the other sons of the king got up, and each one fled on his mule.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 30] While they were on the way, a report reached David: “Absalom has struck down all the sons of the king; not one of them is left!”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 31] Then the king stood up, tore his clothes, and lay down on the ground; and all his servants stood by with their clothes torn.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 32] But Jonadab, the son of David’s brother Shimeah, spoke up: “My lord must not think they have killed all the sons of the king, for only Amnon is dead. In fact, Absalom has planned this since the day Amnon violated his sister Tamar.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 33] So now, my lord the king, do not take to heart the report that all the sons of the king are dead. Only Amnon is dead.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 34] Meanwhile, Absalom had fled. When the young man standing watch looked up, he saw many people coming down the road west of him, along the side of the hill. And the watchman went and reported to the king, “I see men coming from the direction of Horonaim, along the side of the hill.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 35] So Jonadab said to the king, “Look, the sons of the king have arrived! It is just as your servant said.”
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 36] And as he finished speaking, the sons of the king came in, wailing loudly. Then the king and all his servants also wept very bitterly.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 37] Now Absalom fled and went to Talmai son of Ammihud, the king of Geshur. But David mourned for his son every day.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 38] After Absalom had fled and gone to Geshur, he stayed there three years.
[BSB | EN | OT | 2 Samuel | Chapter 13 | Verse 39] And King David longed to go to Absalom, for he had been consoled over Amnon’s death.
