[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David sang this song to the LORD on the day the LORD had delivered him from the hand of all his enemies and from the hand of Saul.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 16] The channels of the sea appeared, and the foundations of the world were exposed at the rebuke of the LORD, at the blast of the breath of His nostrils.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 17] He reached down from on high and took hold of me; He drew me out of deep waters.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 18] He rescued me from my powerful enemy, from foes too mighty for me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 19] They confronted me in my day of calamity, but the LORD was my support.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 20] He brought me out into the open; He rescued me because He delighted in me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 21] The LORD has rewarded me according to my righteousness; He has repaid me according to the cleanness of my hands.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 22] For I have kept the ways of the LORD and have not wickedly departed from my God.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 23] For all His ordinances are before me; I have not disregarded His statutes.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 24] And I have been blameless before Him and kept myself from iniquity.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 25] So the LORD has repaid me according to my righteousness, according to my cleanness in His sight.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 26] To the faithful You show Yourself faithful, to the blameless You show Yourself blameless;
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 27] to the pure You show Yourself pure, but to the crooked You show Yourself shrewd.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 28] You save an afflicted people, but Your eyes are on the haughty to bring them down.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 29] For You, O LORD, are my lamp; the LORD lights up my darkness.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 30] For in You I can charge an army; with my God I can scale a wall.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 31] As for God, His way is perfect; the word of the LORD is flawless. He is a shield to all who take refuge in Him.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 32] For who is God besides the LORD? And who is the Rock except our God?
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 33] God is my strong fortress and He makes my way clear.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 34] He makes my feet like those of a deer and stations me upon the heights.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 35] He trains my hands for battle; my arms can bend a bow of bronze.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 36] You have given me Your shield of salvation, and Your gentleness exalts me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 37] You broaden the path beneath me so that my ankles do not give way.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 38] I pursued my enemies and destroyed them; I did not turn back until they were consumed.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 39] I devoured and crushed them so they could not rise; they have fallen under my feet.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 40] You have armed me with strength for battle; You have subdued my foes beneath me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 41] You have made my enemies retreat before me; I put an end to those who hated me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 42] They looked, but there was no one to save them— to the LORD, but He did not answer.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 43] I ground them as the dust of the earth; I crushed and trampled them like mud in the streets.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 44] You have delivered me from the strife of my people; You have preserved me as the head of nations; a people I had not known shall serve me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 45] Foreigners cower before me; when they hear me, they obey me.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 46] Foreigners lose heart and come trembling from their strongholds.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 47] The LORD lives, and blessed be my Rock! And may God, the Rock of my salvation, be exalted—
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 48] the God who avenges me and brings down nations beneath me,
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 49] who frees me from my enemies. You exalt me above my foes; You rescue me from violent men.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 50] Therefore I will praise You, O LORD, among the nations; I will sing praises to Your name.
[BSB | EN | OT | 2 Samuel | Chapter 22 | Verse 51] Great salvation He brings to His king. He shows loving devotion to His anointed, to David and his descendants forever.”
