[IRV | BN | OT | Psalms | Chapter 109 | Verse 1] ঈশ্বর আমি যার প্রশংসা করি, নীরব থেকো না।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 16] যেহেতু এইলোক কাউকে দয়া দেখানোর বিষয় মাথা ঘামাননি, কিন্তু তার বদলে নিপীড়িতদের তাড়না করত এবং অত্যন্ত গরিব লোককে এবং নিরুত্সাহ লোককে হত্যা করত।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 17] সে অভিশাপ দিতে ভালবাসত, সেটাই তারই ওপর আসল। সে আশীর্বাদ করতে ঘৃণা করত; তার ওপর যেন আশীর্বাদ না আসুক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 18] সে অভিশাপকে কাপড়ের মতো পরত এবং তার অভিশাপ তার অন্তর থেকে জলের মতো, তার হাড়ের মধ্যে থেকে তেলের মত আসল।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 19] তার অভিশাপগুলো পরার পোশাকের মতো ও নিত্য কোমরবন্ধনের মতো হোক।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 20] সদাপ্রভুু থেকে এইফল পায় আমার বিপক্ষেরা, আমার প্রাণের বিরুদ্ধে যারা খারাপ কথা বলে তারা।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 21] সদাপ্রভুু আমার প্রভু, নিজ নামের অনুরোধে আমার সঙ্গে ব্যবহার কর; কারণ তোমার বিশ্বস্ত বিধি মঙ্গলময়, আমাকে বাঁচাও।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 22] কারণ আমি দুঃখী এবং গরিব এবং আমার হৃদয় আহত হয়েছে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 23] আমি হেলে পড়ছি সন্ধ্যার ছায়ার মতো; আমাকে ঝাকানো হচ্ছে পঙ্গপালের মতো।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 24] আমার হাঁটু দুর্বল হয়েছ উপবাসের থেকে, আমি চামড়া এবং হাড়ে পরিণত হয়েছি।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 25] আমি অভিযোগকারীদের কাছে অবজ্ঞার পাত্র হয়েছি; যখন আমাকে দেখে তারা তাদের মাথা নাড়ে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 26] আমাকে সাহায্য করো সদাপ্রভুু আমার ঈশ্বর; আমাকে বাঁচাও তোমার বিশ্বস্ততার বিধির দ্বারা।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 27] যেন তারা জানতে পারে যে, এটা তোমার কাজ যে তুমি সদাপ্রভুু, এই সব করেছ।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 28] যদিও তারা আমাকে শাপ দেয়, দয়া করে তুমি আশীর্বাদ কর; যখন তারা আক্রমণ করে যেন তারা লজ্জিত হয়। কিন্তু তোমার এ দাস আনন্দ করবে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 29] আমার বিপক্ষরা লজ্জিত পোশাকে পরিহিত হবে এবং ডাকাতি করা পোশাকের মতো লজ্জায় ঢেকে যাবে।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 30] আমি আনন্দের সঙ্গে উষ্ণ ধন্যবাদ দেবো সদাপ্রভুুকে; আমি লোকেদের মধ্যে তাঁর প্রশংসা করব।
[IRV | BN | OT | Psalms | Chapter 109 | Verse 31] কারণ তিনি গরিবদের ডানদিকে দাঁড়িয়ে থাকেন, তাদের হাত থেকে তাকে বাচান যারা তাকে হুমকি দেয়।
