[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 1] Καὶ ἀναστὰς Ἔσρας ἀπὸ τῆς αὐλῆς τοῦ ἱεροῦ, ἐπορεύθη εἰς τὸ παστοφόριον Ἰωνὰν τοῦ Ἐλιασίβου.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 12] Στήτωσαν δὲ οἱ προηγούμενοι τοῦ πλήθους, καὶ πάντες οἱ ἐκ τῶν κατοικιῶν ἡμῶν ὅσοι ἔχουσι γυναῖκας ἀλλογενεῖς, παραγενηθήτωσαν λαβόντες χρόνον,
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 13] ἑκάστου δὲ τόπου τοὺς πρεσβυτέρους καὶ τοὺς κριτὰς, ἕως τοῦ λῦσαι τὴν ὀργὴν Κυρίου ἀφʼ ἡμῶν τοῦ πράγματος τούτου.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 14] Ἰωνάθας Ἀζαήλου, καὶ Ἐζεκίας Θεωκανοῦ ἐπεδέξαντο κατὰ ταῦτα· καὶ Μοσόλλαμος, καὶ Λευὶς, καὶ Σαββαταῖος συνεβράβευσαν αὐτοῖς.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 15] Καὶ ἐποίησαν κατὰ πάντα ταῦτα οἱ ἐκ τῆς αἰχμαλωσίας·
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 16] καὶ ἐπελέξατο αὐτῷ Ἔσδρας ὁ ἱερεὺς ἄνδρας ἡγουμένους τῶν πατριῶν αὐτῶν πάντας κατʼ ὄνομα, καὶ συνεκλείσθησαν τῇ νουμηνίᾳ τοῦ μηνὸς τοῦ δεκάτου, ἐτάσαι τὸ πρᾶγμα.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 17] Καὶ ἤχθη ἐπὶ πέρας τὰ κατὰ τοὺς ἄνδρας τοὺς ἐπισυνέχοντας γυναῖκας ἀλλογενεῖς, ἕως τῆς νουμηνίας τοῦ πρώτου μηνός.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 18] Καὶ εὑρέθησαν τῶν ἱερέων οἱ ἐπισυναχθέντες ἀλλογενεῖς γυναῖκας ἔχοντες,
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 19] ἐκ τῶν υἱῶν Ἰησοῦ τοῦ Ἰωσεδὲκ, καὶ τῶν ἀδελφῶν αὐτοῦ, Μαθήλας, καὶ Ἐλεάζαρος, καὶ Ἰώριβος, καὶ Ἰωαδάνος.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 20] Καὶ ἐπέβαλον τὰς χεῖρας ἐκβαλεῖν τὰς γυναῖκας αὐτῶν· καὶ εἰς ἐξιλασμὸν κριοὺς ὑπὲρ τῆς ἀγνοίας αὐτῶν.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 21] Καὶ ἐκ τῶν υἱῶν Ἐμμὴρ, Ἀνανίας, καὶ Ζαβδαίος, καὶ Μάνης, καὶ Σαμαῖος, καὶ Ἱερεὴλ, καὶ Ἀζαρίας·
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 22] καὶ ἐκ τῶν υἱῶν Φαισοὺρ, Ἐλιωναῒς, Μασσίας, Ἰσμαῆλος, καὶ Ναθαναῆλος, καὶ Ὠκόδηλος, καὶ Σαλόας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 23] Καὶ ἐκ τῶν Λευιτῶν, Ἰωζαβάδος, καὶ Σεμεῒς, καὶ Κώϊος (οὗτός ἐστι Καλιτὰς), καὶ Παθαῖος, καὶ Ἰούδας, καὶ Ἰωνάς.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 24] Ἐκ τῶν ἱεροψαλτῶν, Ἐλιάσαβος, Βακχοῦρος.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 25] Ἐκ τῶν θυρωρῶν, Σαλοῦμος, καὶ Τολβάνης.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 26] Ἐκ τοῦ Ἰσραὴλ ἐκ τῶν υἱῶν Φόρος, Ἱερμὰς, καὶ Ἰεζίας, καὶ Μελχίας, καὶ Μαῆλος, καὶ Ἐλεάζαρος, καὶ Ἀσεβίας, καὶ Βαναίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 27] Ἐκ τῶν υἱῶν Ἠλὰ, Ματθανίας, Ζαχαρίας, καὶ Ἰεζριῆλος, καὶ Ἰωαβδίος, καὶ Ἱερεμὼθ, καὶ Ἀϊδίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 28] Καὶ ἐκ τῶν υἱῶν Ζαμὼθ, Ἐλιαδὰς, Ἐλιάσιμος, Ὀθονίας, Ἰαριμὼθ, καὶ Σάβαθος, καὶ Ζεραλίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 29] Καὶ ἐκ τῶν υἱῶν Βηβαῒ, Ἰωάννης, καὶ Ἀνανίας, καὶ Ἰωζάβδος, καὶ Ἀμαθίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 30] Ἐκ τῶν υἱῶν Μανὶ, Ὠλαμὸς, Μαμοῦχος, Ἰεδαῖος, Ἰασούβος, καὶ Ἰασαῆλος, καὶ Ἱερεμώθ.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 31] Καὶ ἐξ υἱῶν Ἀδδὶ, Νάαθος, καὶ Μοοσίας, Λακκοῦνος, καὶ Ναΐδος, Ματθανίας, καὶ Σεσθὴλ, καὶ Βαλνούος, καὶ Μανασσίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 32] Καὶ ἐκ τῶν υἱῶν Ἀνὰν, Ἐλιωνὰς, καὶ Ἀσαΐας, καὶ Μελχίας, καὶ Σαββαῖος, καὶ Σίμων Χοσαμαίος.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 33] Καὶ ἐκ τῶν υἱῶν Ἀσὸμ, Ἀλταναῖος, καὶ Ματταθίας, καὶ Σαβανναῖος, καὶ Ἐλιφαλὰτ, καὶ Μανασσῆς, καὶ Σεμεΐ.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 34] Καὶ ἐκ τῶν υἱῶν Βαανὶ, Ἱερεμίας, Μομδίος, Ἰσμαῆρος, Ἰουὴλ, Μαβδαῒ, καὶ Πεδίας, καὶ Ἄνως, Ῥαβασίων, καὶ Ἐνάσιβος, καὶ Μαμνιτάναιμος, Ἐλίασις, Βαννοὺς, Ἐλιαλὶ, Σομεῒς, Σελεμίας, Ναθανίας· καὶ ἐκ τῶν υἱῶν Ἐζωρὰ, Σεσὶς, Ἐσρὶλ, Ἀζαῆλος, Σαματὸς, Ζαμβρὶ, Ἰώσηφος.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 35] Καὶ ἐκ τῶν υἱῶν Ἐθμὰ, Μαζιτίας, Ζαβαδαίας, Ἠδαῒς, Ἰουὴλ, Βαναίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 36] Πάντες οὗτοι συνῴκισαν γυναῖκας ἀλλογενεῖς, καὶ ἀπέλυσαν αὐτὰς σὺν τέκνοις.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 37] Καὶ κατῴκησαν οἱ ἱερεῖς, καὶ οἱ Λευῖται, καὶ οἱ ἐκ τοῦ Ἰσραὴλ ἐν Ἱερουσαλὴμ καὶ ἐν τῇ χώρᾳ τῇ νουμηνίᾳ τοῦ μηνὸς τοῦ ἑβδόμου, καὶ οἱ υἱοὶ Ἰσραὴλ ἐν ταῖς κατοικίαις αὐτων.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 38] Καὶ συνήχθη πᾶν τὸ πλῆθος ὁμοθυμαδὸν ἐπὶ τὸ εὐρύχωρον τοῦ πρὸς ἀνατολὰς τοῦ ἱεροῦ πυλῶνος,
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 39] καὶ εἶπεν Ἔσδρᾳ τῷ ἱερεῖ καὶ ἀναγνώστῃ, κόμισαι τὸν νόμον Μωυσῆ, τὸν παραδοθέντα ὑπὸ Κυρίου Θεοῦ Ἰσραήλ.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 40] Καὶ ἐκόμισεν Ἔσδρας ὁ ἀρχιερεὺς τὸν νόμον παντὶ τῷ πλήθει ἀπὸ ἀνθρώπου ἕως γυναικὸς, καὶ πᾶσι τοῖς ἱερεῦσιν, ἀκοῦσαι τοῦ νόμου νουμηνίᾳ τοῦ ἑβδόμου μηνός.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 41] Καὶ ἀνεγίνωσκεν ἐν τῷ πρὸ τοῦ ἱεροῦ πυλῶνος εὐρυχώρῳ, ἐξ ὄρθρου ἕως μέσης ἡμέρας, ἐνώπιον ἀνδρῶν τε καὶ γυναικῶν· καὶ ἐπέδωκαν πᾶν τὸ πλῆθος τὸν νοῦν εἰς τὸν νόμον.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 42] Καὶ ἔστη Ἔσδρας ὁ ἱερεὺς καὶ ἀναγνώστης τοῦ νόμου ἐπὶ τοῦ ξυλίνου βήματος τοῦ κατασκευασθέντος.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 43] Καὶ ἔστησαν παρʼ αὐτῷ Ματταθίας, Σαμμοὺς, Ἀνανίας, Ἀζαρίας, Οὐρίας, Ἐζεκίας, Βαάλσαμος, ἐκ δεξιῶν·
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 44] καὶ ἐξ εὐωνύμων Φαλδαῖος, καὶ Μισαὴλ, Μελχίας, Λωθάσουβος, Ναβαρίας, Ζαχαρίας.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 45] Καὶ ἀναλαβὼν Ἔσδρας τὸ βιβλίον ἐνώπιον τοῦ πλήθους, προεκάθητο ἐπιδόξως ἐνώπιον πάντων.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 46] Καὶ ἐν τῷ λῦσαι τὸν νόμον, πάντες ὀρθοὶ ἔστησαν· καὶ εὐλόγησεν Ἔσδρας τῷ Κυρίῳ Θεῷ ὑψίστῳ Θεῷ σαβαὼθ παντοκράτορι.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 47] Καὶ ἐπεφώνησε πᾶν τὸ πλῆθος, ἀμήν· καὶ ἄραντες ἄνω τὰς χεῖρας, προσπεσόντες ἐπὶ τὴν γῆν, προσεκύνησαν τῷ Κυρίῳ.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 48] Ἰησοῦς, καὶ Ἀννιοὺθ, καὶ Σαραβίας, καὶ Ἰαδινὸς, καὶ Ἰάκουβος, Σαβαταῖος, Αὐταίας, Μαιάννας, καὶ Καλίτας, Ἀζαρίας, καὶ Ἰώζαβδος, καὶ Ἀνανίας, Φαλίας, οἱ Λευῖται, ἐδίδασκον τὸν νόμον τοῦ Κυρίου, καὶ πρὸς τὸ πλῆθος ἀνεγίνωσκον τὸν νόμον τοῦ Κυρίου, ἐμφυσιοῦντες ἅμα τὴν ἀνάγνωσιν.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 49] Καὶ εἶπεν Ἀτθαράτης Ἔσδρᾳ τῷ ἀρχιερεῖ καὶ ἀναγνώστῃ, καὶ τοῖς Λευίταις τοῖς διδάσκουσι τὸ πλῆθος ἐπὶ πάντας,
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 50] ἡ ἡμέρα αὕτη ἐστὶν ἁγία τῷ Κυρίῳ· καὶ πάντες ἔκλαιον ἐν τῷ ἀκοῦσαι τοῦ νόμου·
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 51] βαδίσαντες οὖν φάγετε λιπάσματα, καὶ πίετε γλυκάσματα, καὶ ἀποστείλατε ἀποστολὰς τοῖς μὴ ἔχουσιν·
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 52] ἁγία γὰρ ἡ ἡμέρα τῷ Κυρίῳ· καὶ μὴ λυπεῖσθε, ὁ γὰρ Κύριος δοξάσει ὑμᾶς.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 53] Καὶ οἱ Λευῖται ἐκέλευον παντὶ τῷ δήμῳ, λέγοντες ἡ ἡμέρα αὕτη ἁγία, μὴ λυπεῖσθε.
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 54] Καὶ ᾤχοντο πάντες φαγεῖν καὶ πιεῖν καὶ εὐφραίνεσθαι, καὶ δοῦναι ἀποστολὰς τοῖς μὴ ἔχουσι, καὶ εὐφρανθῆναι μεγάλως,
[LXX | EL | OT | 1 Esdras | Chapter 9 | Verse 55] ὅτι γὰρ ἐνεφυσιώθησαν ἐν τοῖς ῥήμασιν οἷς ἐδιδάχθησαν, καὶ ἐπισυνήχθησαν.
