[BBE | EN | NT | Luke | Chapter 23 | Verse 1] And they all went and took him before Pilate.
[BBE | EN | NT | Luke | Chapter 23 | Verse 27] And a great band of people went after him, and of women making signs of grief and weeping for him.
[BBE | EN | NT | Luke | Chapter 23 | Verse 28] But Jesus, turning to them, said, Daughters of Jerusalem, let not your weeping be for me, but for yourselves and for your children.
[BBE | EN | NT | Luke | Chapter 23 | Verse 29] For the days are coming in which they will say, Happy are those who have had no children, whose bodies have never given birth, whose breasts have never given milk.
[BBE | EN | NT | Luke | Chapter 23 | Verse 30] And they will say to the mountains, Come down on us, and to the hills, Be a cover over us.
[BBE | EN | NT | Luke | Chapter 23 | Verse 31] For if they do these things when the tree is green, what will they do when it is dry?
[BBE | EN | NT | Luke | Chapter 23 | Verse 32] And two others, evil-doers, were taken with him to be put to death.
[BBE | EN | NT | Luke | Chapter 23 | Verse 33] And when they came to the place which is named Golgotha, they put him on the cross, and the evil-doers, one on the right side, and the other on the left.
[BBE | EN | NT | Luke | Chapter 23 | Verse 34] And Jesus said, Father, let them have forgiveness, for they have no knowledge of what they are doing. And they made division of his clothing among them by the decision of chance.
[BBE | EN | NT | Luke | Chapter 23 | Verse 35] And the people were looking on. And the rulers made sport of him, saying, He was a saviour of others; let him do something for himself, if he is the Christ, the man of God's selection.
[BBE | EN | NT | Luke | Chapter 23 | Verse 36] And the men of the army made sport of him, coming to him and giving him bitter wine,
[BBE | EN | NT | Luke | Chapter 23 | Verse 37] And saying, If you are the King of the Jews, get yourself free.
[BBE | EN | NT | Luke | Chapter 23 | Verse 38] And these words were put in writing over him, THIS IS THE KING OF THE JEWS.
[BBE | EN | NT | Luke | Chapter 23 | Verse 39] And one of the evil-doers on the cross, with bitter feeling, said to him, Are you not the Christ? Get yourself and us out of this.
[BBE | EN | NT | Luke | Chapter 23 | Verse 40] But the other, protesting, said, Have you no fear of God? for you have a part in the same punishment,
[BBE | EN | NT | Luke | Chapter 23 | Verse 41] And with reason; for we have the right reward of our acts, but this man has done nothing wrong.
[BBE | EN | NT | Luke | Chapter 23 | Verse 42] And he said, Jesus, keep me in mind when you come in your kingdom.
[BBE | EN | NT | Luke | Chapter 23 | Verse 43] And he said to him, Truly I say to you, Today you will be with me in Paradise.
[BBE | EN | NT | Luke | Chapter 23 | Verse 44] And it was now about the sixth hour; and all the land was dark till the ninth hour;
[BBE | EN | NT | Luke | Chapter 23 | Verse 45] The light of the sun went out, and the curtain in the Temple was parted in two.
[BBE | EN | NT | Luke | Chapter 23 | Verse 46] And Jesus gave a loud cry and said, Father, into your hands I give my spirit: and when he had said this, he gave up his spirit.
[BBE | EN | NT | Luke | Chapter 23 | Verse 47] And when the captain saw what was done, he gave praise to God, saying, Without doubt this was an upright man.
[BBE | EN | NT | Luke | Chapter 23 | Verse 48] And all the people who had come together to see it, when they saw the things which were done, went back again making signs of grief.
[BBE | EN | NT | Luke | Chapter 23 | Verse 49] And all his friends and the women who came with him from Galilee, were waiting at a distance, watching these things.
[BBE | EN | NT | Luke | Chapter 23 | Verse 50] Now there was a man named Joseph, a man of authority and a good and upright man
[BBE | EN | NT | Luke | Chapter 23 | Verse 51] (He had not given his approval to their decision or their acts), of Arimathaea, a town of the Jews, who was waiting for the kingdom of God:
[BBE | EN | NT | Luke | Chapter 23 | Verse 52] This man went to Pilate and made a request for the body of Jesus.
[BBE | EN | NT | Luke | Chapter 23 | Verse 53] And he took it down, and folding it in a linen cloth, he put it in a place cut in the rock for a dead body; and no one had ever been put in it.
[BBE | EN | NT | Luke | Chapter 23 | Verse 54] Now it was the day of making ready and the Sabbath was coming on.
[BBE | EN | NT | Luke | Chapter 23 | Verse 55] And the women who had come with him from Galilee went after him and saw the place and how his body had been put to rest;
[BBE | EN | NT | Luke | Chapter 23 | Verse 56] And they went back and got ready spices and perfumes; and on the Sabbath they took their rest, in agreement with the law.
