[BBE | EN | NT | Luke | Chapter 7 | Verse 1] After he had come to the end of all his words in the hearing of the people, he went into Capernaum.
[BBE | EN | NT | Luke | Chapter 7 | Verse 27] This is he of whom it has been said, See, I send my servant before your face, who will make ready your way before you.
[BBE | EN | NT | Luke | Chapter 7 | Verse 28] I say to you, Among all the sons of women, not one is greater than John: but he who is least in the kingdom of God is greater than he.
[BBE | EN | NT | Luke | Chapter 7 | Verse 29] (And all the people, and the tax-farmers, to whom John had given baptism, when they had knowledge of these things, gave glory to God.
[BBE | EN | NT | Luke | Chapter 7 | Verse 30] But the Pharisees and the teachers of the law were against the purpose of God for themselves, not having had his baptism.)
[BBE | EN | NT | Luke | Chapter 7 | Verse 31] What comparison am I to make of the men of this generation? what are they like?
[BBE | EN | NT | Luke | Chapter 7 | Verse 32] They are like children who are seated in the market-place, crying out to one another, and saying, We made music for you, but you did not take part in the dance; we gave cries of sorrow, but you were not sad.
[BBE | EN | NT | Luke | Chapter 7 | Verse 33] For John the Baptist came, taking no food or drink, and you say, He has an evil spirit.
[BBE | EN | NT | Luke | Chapter 7 | Verse 34] The Son of man came feasting, and you say, Here is a lover of food and wine, a friend of tax-farmers and sinners.
[BBE | EN | NT | Luke | Chapter 7 | Verse 35] But wisdom is judged to be right by all her children.
[BBE | EN | NT | Luke | Chapter 7 | Verse 36] And one of the Pharisees made a request that he would take a meal with him. And he went into the Pharisee's house and took his seat at the table.
[BBE | EN | NT | Luke | Chapter 7 | Verse 37] And there was a woman in the town who was a sinner; and when she had news that he was a guest in the Pharisee's house, she took a bottle of perfume,
[BBE | EN | NT | Luke | Chapter 7 | Verse 38] And went in and took her place at the back of him, near his feet, weeping, so that his feet were washed with the drops from her eyes, and with her hair she made them dry, and kissing his feet she put the perfume on them.
[BBE | EN | NT | Luke | Chapter 7 | Verse 39] Now when the Pharisee in whose house he was saw it, he said to himself, This man, if he was a prophet, would be conscious what sort of woman this is who has put her hands on him, that she is a sinner.
[BBE | EN | NT | Luke | Chapter 7 | Verse 40] And Jesus, answering, said, Simon, I have something to say to you. And he said, Master, say on.
[BBE | EN | NT | Luke | Chapter 7 | Verse 41] And he said, Two men were in debt to a certain man of business: one had a debt of five hundred pence, and the other of fifty.
[BBE | EN | NT | Luke | Chapter 7 | Verse 42] When they were unable to make payment, he made the two of them free of their debts. Which of them, now, will have the greater love for him?
[BBE | EN | NT | Luke | Chapter 7 | Verse 43] Simon, in answer, said, It seems he whose debt was greater. And he said, Your decision is right.
[BBE | EN | NT | Luke | Chapter 7 | Verse 44] And turning to the woman he said to Simon, You see this woman? I came into your house; you did not give me water for my feet: but she has been washing my feet with the drops from her eyes, and drying them with her hair.
[BBE | EN | NT | Luke | Chapter 7 | Verse 45] You did not give me a kiss: but she, from the time when I came in, has gone on kissing my feet.
[BBE | EN | NT | Luke | Chapter 7 | Verse 46] You put no oil on my head: but she has put perfume on my feet.
[BBE | EN | NT | Luke | Chapter 7 | Verse 47] And so I say to you, She will have forgiveness for her sins which are great in number, because of her great love: but he who has small need of forgiveness gives little love.
[BBE | EN | NT | Luke | Chapter 7 | Verse 48] And he said to her, You have forgiveness for your sins.
[BBE | EN | NT | Luke | Chapter 7 | Verse 49] And those who were seated at table with him said to themselves, Who is this who even gives forgiveness of sins?
[BBE | EN | NT | Luke | Chapter 7 | Verse 50] And he said to the woman, By your faith you have salvation; go in peace.
