[BBE | EN | NT | Luke | Chapter 12 | Verse 1] At that time, when thousands of the people had come together, in such numbers that they were crushing one another, he said first to his disciples, Have nothing to do with the leaven of the Pharisees, which is deceit.
[BBE | EN | NT | Luke | Chapter 12 | Verse 39] But be certain of this, that if the master of the house had had knowledge of the time when the thief was coming, he would have been watching, and would not have let his house be broken into.
[BBE | EN | NT | Luke | Chapter 12 | Verse 40] So be ready: for the Son of man is coming at a time when you are not looking for him.
[BBE | EN | NT | Luke | Chapter 12 | Verse 41] And Peter said to him, Lord, are these words said to us only, or to all men?
[BBE | EN | NT | Luke | Chapter 12 | Verse 42] And the Lord said, Who then is the wise and responsible servant whom his lord will put in control of his family, to give them their food at the right time?
[BBE | EN | NT | Luke | Chapter 12 | Verse 43] Happy is that servant who, when his lord comes, is doing so.
[BBE | EN | NT | Luke | Chapter 12 | Verse 44] Truly I say to you, he will put him in control of all his goods.
[BBE | EN | NT | Luke | Chapter 12 | Verse 45] But if that servant says to himself, My lord is a long time coming; and goes about giving blows to the men-servants and the women-servants, feasting and taking overmuch wine;
[BBE | EN | NT | Luke | Chapter 12 | Verse 46] The lord of that servant will come at a time when he is not looking for him, and at an hour when he is not ready for him, and he will have him cut in two and will give him his part in the fate of those who have no faith;
[BBE | EN | NT | Luke | Chapter 12 | Verse 47] And the servant who had knowledge of his lord's desires and was not ready for him and did not do as he was ordered, will be given a great number of blows;
[BBE | EN | NT | Luke | Chapter 12 | Verse 48] But he who, without knowledge, did things for which punishment is given, will get only a small number of blows. The man to whom much is given, will have to give much; if much is given into his care, of him more will be requested.
[BBE | EN | NT | Luke | Chapter 12 | Verse 49] I came to send a fire on the earth, and it may even now have been lighted.
[BBE | EN | NT | Luke | Chapter 12 | Verse 50] But there is a baptism which I have to undergo; and how am I kept back till it is complete!
[BBE | EN | NT | Luke | Chapter 12 | Verse 51] Is it your opinion that I have come to give peace on earth? I say to you, No, but division:
[BBE | EN | NT | Luke | Chapter 12 | Verse 52] For from this time, a family of five in one house will be on opposite sides, three against two and two against three.
[BBE | EN | NT | Luke | Chapter 12 | Verse 53] They will be at war, the father against his son, and the son against his father; mother against daughter, and daughter against mother; mother-in-law against daughter-in-law, and daughter-in-law against mother-in-law.
[BBE | EN | NT | Luke | Chapter 12 | Verse 54] Then he said to the people, When you see a cloud coming up in the west, straight away you say, There will be rain; and so it is.
[BBE | EN | NT | Luke | Chapter 12 | Verse 55] And when you see a south wind blowing, you say, There will be heat; and so it is.
[BBE | EN | NT | Luke | Chapter 12 | Verse 56] O false ones! the face of the earth and the heaven is clear to you; how is it that the signs of these times are not as clear to you?
[BBE | EN | NT | Luke | Chapter 12 | Verse 57] And why are you, in your hearts, unable to be judges of what is right?
[BBE | EN | NT | Luke | Chapter 12 | Verse 58] For if anyone has a cause at law against you, and you are going with him before the ruler, make an attempt, on the way, to come to an agreement with him, for if you do not, he may take you before the judge and the judge will give you up to the police, and they will put you in prison.
[BBE | EN | NT | Luke | Chapter 12 | Verse 59] I say to you, You will not come out of it till you have made payment to the very last farthing.
