[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 1] ⸀Διαμαρτύρομαι ἐνώπιον τοῦ θεοῦ καὶ ⸂Χριστοῦ Ἰησοῦ⸃, τοῦ μέλλοντος κρίνειν ζῶντας καὶ νεκρούς, ⸀καὶ τὴν ἐπιφάνειαν αὐτοῦ καὶ τὴν βασιλείαν αὐτοῦ·
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 12] Τυχικὸν δὲ ἀπέστειλα εἰς Ἔφεσον.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 13] τὸν φαιλόνην, ὃν ⸀ἀπέλιπον ἐν Τρῳάδι παρὰ Κάρπῳ, ἐρχόμενος φέρε, καὶ τὰ βιβλία, μάλιστα τὰς μεμβράνας.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 14] Ἀλέξανδρος ὁ χαλκεὺς πολλά μοι κακὰ ἐνεδείξατο— ⸀ἀποδώσει αὐτῷ ὁ κύριος κατὰ τὰ ἔργα αὐτοῦ—
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 15] ὃν καὶ σὺ φυλάσσου, λίαν γὰρ ⸀ἀντέστη τοῖς ἡμετέροις λόγοις.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 16] Ἐν τῇ πρώτῃ μου ἀπολογίᾳ οὐδείς μοι ⸀παρεγένετο, ἀλλὰ πάντες με ⸀ἐγκατέλιπον— μὴ αὐτοῖς λογισθείη—
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 17] ὁ δὲ κύριός μοι παρέστη καὶ ἐνεδυνάμωσέν με, ἵνα διʼ ἐμοῦ τὸ κήρυγμα πληροφορηθῇ καὶ ⸀ἀκούσωσιν πάντα τὰ ἔθνη, καὶ ἐρρύσθην ἐκ στόματος λέοντος.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 18] ⸀ῥύσεταί με ὁ κύριος ἀπὸ παντὸς ἔργου πονηροῦ καὶ σώσει εἰς τὴν βασιλείαν αὐτοῦ τὴν ἐπουράνιον· ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων, ἀμήν.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 19] Ἄσπασαι Πρίσκαν καὶ Ἀκύλαν καὶ τὸν Ὀνησιφόρου οἶκον.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 20] Ἔραστος ἔμεινεν ἐν Κορίνθῳ, Τρόφιμον δὲ ⸀ἀπέλιπον ἐν Μιλήτῳ ἀσθενοῦντα.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 21] Σπούδασον πρὸ χειμῶνος ἐλθεῖν. Ἀσπάζεταί σε Εὔβουλος καὶ Πούδης καὶ Λίνος καὶ Κλαυδία καὶ οἱ ἀδελφοὶ πάντες.
[SBLGNT | EL | NT | 2 Timothy | Chapter 4 | Verse 22] Ὁ ⸀κύριος μετὰ τοῦ πνεύματός σου. ἡ χάρις μεθʼ ⸀ὑμῶν.
