[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 1] وَعَمِلَ مَذْبَحَ نُحَاسٍ طُولُهُ عِشْرُونَ ذِرَاعًا، وَعَرْضُهُ عِشْرُونَ ذِرَاعًا، وَٱرْتِفَاعُهُ عَشَرُ أَذْرُعٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 13] وَٱلرُّمَّانَاتِ ٱلْأَرْبَعِ مِئَةٍ لِلشَّبَكَتَيْنِ، صَفَّيْ رُمَّانٍ لِلشَّبَكَةِ ٱلْوَاحِدَةِ لِتَغْطِيَةِ كُرَتَيِ ٱلتَّاجَيْنِ ٱللَّذَيْنِ عَلَى ٱلْعَمُودَيْنِ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 14] وَعَمِلَ ٱلْقَوَاعِدَ وَعَمِلَ ٱلْمَرَاحِضَ عَلَى ٱلْقَوَاعِدِ،
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 15] وَٱلْبَحْرَ ٱلْوَاحِدَ وَٱلِٱثْنَيْ عَشَرَ ثَوْرًا تَحْتَهُ،
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 16] وَٱلْقُدُورَ وَٱلرُّفُوشَ وَٱلْمَنَاشِلَ وَكُلَّ آنِيَتِهَا، عَمِلَهَا لِلْمَلِكِ سُلَيْمَانَ «حُورَامُ أَبِي» لِبَيْتِ ٱلرَّبِّ مِنْ نُحَاسٍ مَجْلِيٍّ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 17] فِي غَوْرِ ٱلْأُرْدُنِّ سَبَكَهَا ٱلْمَلِكُ فِي أَرْضِ ٱلْخَزَفِ بَيْنَ سُكُّوتَ وَصَرَدَةَ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 18] وَعَمِلَ سُلَيْمَانُ كُلَّ هَذِهِ ٱلْآنِيَةِ كَثِيرَةً جِدًّا لِأَنَّهُ لَمْ يُتَحَقَّقْ وَزْنُ ٱلنُّحَاسِ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 19] وَعَمِلَ سُلَيْمَانُ كُلَّ ٱلْآنِيَةِ ٱلَّتِي لِبَيْتِ ٱللهِ، وَمَذْبَحَ ٱلذَّهَبِ وَٱلْمَوَائِدَ وَعَلَيْهَا خُبْزُ ٱلْوُجُوهِ،
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 20] وَٱلْمَنَائِرَ وَسُرُجَهَا لِتَتَّقِدَ حَسَبَ ٱلْمَرْسُومِ أَمَامَ ٱلْمِحْرَابِ مِنْ ذَهَبٍ خَالِصٍ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 21] وَٱلْأَزْهَارَ وَٱلسُّرُجَ وَٱلْمَلَاقِطَ مِنْ ذَهَبٍ. وَهُوَ ذَهَبٌ كَامِلٌ.
[VANDYKE | AR | OT | 2 Chronicles | Chapter 4 | Verse 22] وَٱلْمَقَاصَّ وَٱلْمَنَاضِحَ وَٱلصُّحُونَ وَٱلْمَجَامِرَ مِنْ ذَهَبٍ خَالِصٍ، وَبَابَ ٱلْبَيْتِ وَمَصَارِيعَهُ ٱلدَّاخِلِيَّةَ لِقُدْسِ ٱلْأَقْدَاسِ وَمَصَارِيعَ بَيْتِ ٱلْهَيْكَلِ مِنْ ذَهَبٍ.
