[IRV | UR | OT | Numbers | Chapter 16 | Verse 1] और क़ोरह बिन इज़हार बिन क़िहात बिन लावी ने बनी रूबिन में से इलियाब के बेटों दातन और अबीराम, और पलत के बेटे ओन के साथ मिल कर और आदमियों को साथ लिया;
[IRV | UR | OT | Numbers | Chapter 16 | Verse 12] फिर मूसा ने दातन और अबीराम को जो इलियाब के बेटे थे बुलवा भेजा; उन्होंने कहा, “हम नहीं आते;
[IRV | UR | OT | Numbers | Chapter 16 | Verse 13] क्या यह छोटी बात है कि तू हम को एक ऐसे मुल्क से, जिसमें दूध और शहद बहता है निकाल लाया है, कि हमको वीरान में हलाक करे, और उस पर भी यह तुर्रा है कि अब तू सरदार बन कर हम पर हुकूमत जताता है?
[IRV | UR | OT | Numbers | Chapter 16 | Verse 14] इसके अलावा तूने हम को उस मुल्क में भी नहीं पहुँचाया जहाँ दूध और शहद बहता है, और न हम को खेतों और ताकिस्तानों का वारिस बनाया; क्या तू इन लोगों की आँखें निकाल डालेगा? हम तो नहीं आने के।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 15] तब मूसा बहुत तैश में आ कर ख़ुदावन्द से कहने लगा, “तू उनके हदिये की तरफ़ तवज्जुह मत कर। मैंने उनसे एक गधा भी नहीं लिया, न उनमें से किसी को कोई नुक़सान पहुँचाया है।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 16] फिर मूसा ने क़ोरह से कहा, “कल तू अपने सारे फ़रीक़ के लोगों को लेकर ख़ुदावन्द के आगे हाज़िर हो; तू भी हो और वह भी हों, और हारून भी हो।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 17] और तुम में से हर शख़्स अपना ख़ुशबूदान लेकर उसमें ख़ुशबू डाले, और तुम अपने — अपने ख़ुशबूदान को जो शुमार में ढाई सौ होंगे, ख़ुदावन्द के सामने लाओ और तू भी अपना ख़ुशबूदान लाना और हारून भी लाए।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 18] तब उन्होंने अपना अपना ख़ुशबूदान लेकर और उनमें आग रख कर उस पर ख़ुशबू डाला, और ख़ेमा — ए — इजितमा'अ के दरवाज़े पर मूसा और हारून के साथ आ कर खड़े हुए।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 19] और क़ोरह ने सारी जमा'अत को उनके खिलाफ़ ख़ेमा — ए — इजितमा'अ के दरवाज़े पर जमा' कर लिया था। तब ख़ुदावन्द का जलाल सारी जमा'अत के सामने नुमायाँ हुआ।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 20] और ख़ुदावन्द ने मूसा और हारून से कहा;
[IRV | UR | OT | Numbers | Chapter 16 | Verse 21] कि “तुम अपने आप को इस जमा'अत से बिल्कुल अलग कर लो, ताकि मैं उनको एक पल में भसम कर दूँ।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 22] तब वह मुँह के बल गिर कर कहने लगे, “ऐ ख़ुदा, सब बशर की रूहों के ख़ुदा! क्या एक आदमी के गुनाह की वजह से तेरा क़हर सारी जमा'अत पर होगा?”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 23] तब ख़ुदावन्द ने मूसा से कहा,
[IRV | UR | OT | Numbers | Chapter 16 | Verse 24] “तू जमा'अत से कह कि तुम क़ोरह और दातन और अबीराम के खेमों के आस पास से दूर हट जाओ।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 25] और मूसा उठ कर दातन और अबीराम की तरफ़ गया, और बनी — इस्राईल के बुज़ुर्ग उसके पीछे पीछे गए।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 26] और उसने जमा'अत से कहा, “इन शरीर आदमियों के खेमों से निकल जाओ और उनकी किसी चीज़ को हाथ न लगाओ, ऐसा न हो कि तुम भी उनके सब गुनाहों की वजह से हलाक हो जाओ।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 27] तब वह लोग क़ोरह और दातन और अबीराम के खेमों के आस पास से दूर हट गए; और दातन और अबीराम अपनी बीवियों और बेटों और बाल — बच्चों समेत निकल कर अपने ख़ेमों के दरवाज़ों पर खड़े हुए।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 28] तब मूसा ने कहा, “इस से तुम जान लोगे के ख़ुदावन्द ने मुझे भेजा है कि यह सब काम करूँ, क्यूँकि मैंने अपनी मर्ज़ी से कुछ नहीं किया।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 29] अगर यह आदमी वैसी ही मौत से मरें जो सब लोगों को आती है, या इन पर वैसे ही हादसे गुज़रें जो सब पर गुज़रते हैं, तो मैं ख़ुदावन्द का भेजा हुआ नहीं हूँ।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 30] लेकिन अगर ख़ुदावन्द कोई नया करिश्मा दिखाए, और ज़मीन अपना मुँह खोल दे और इनको इनके घर — बार के साथ निगल जाए और यह जीते जी पाताल में समा जाएँ, तो तुम जानना कि इन लोगों ने ख़ुदावन्द की तहक़ीर की है।”
[IRV | UR | OT | Numbers | Chapter 16 | Verse 31] उसने यह बातें ख़त्म ही की थीं कि ज़मीन उनके पाओं तले फट गई।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 32] और ज़मीन ने अपना मुँह खोल दिया और उनको और उनके घर — बार को, और क़ोरह के यहाँ के सब आदमियों को और उनके सारे माल — ओ — अस्बाब को निगल गई।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 33] तब वह और उनका सारा घर — बार जीते जो पाताल में समा गए और ज़मीन उनके ऊपर बराबर हो गई, और वह जमा'अत में से ख़त्म हो गए।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 34] और सब इस्राईली जो उनके आस पास थे उनका चिल्लाना सुन कर यह कहते हुए भागे, कि कहीं ज़मीन हम को भी निगल न ले।
[IRV | UR | OT | Numbers | Chapter 16 | Verse 35] और ख़ुदावन्द के सामने से आग निकली और उन ढाई सौ आदमियों को जिन्होंने ख़ुशबू पेश करा था भसम कर डाला।
