[IRV | UR | OT | Numbers | Chapter 22 | Verse 1] फिर बनी — इस्राईल रवाना हुए और दरिया — ए — यरदन के पार मोआब के मैदानों में यरीहू के सामने ख़ेमे खड़े किए।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 26] तब ख़ुदावन्द का फ़रिश्ता आगे बढ़ कर एक ऐसे तंग मक़ाम में खड़ा हो गया, जहाँ दहनी या बाई तरफ़ मुड़ने की जगह न थी।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 27] फिर जो गधी ने ख़ुदावन्द के फ़रिश्ते को देखा तो बल'आम को लिए हुए बैठ गई; फिर तो बल'आम झल्ला उठा और उसने गधी को अपनी लाठी से मारा।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 28] तब ख़ुदावन्द ने गधी की ज़बान खोल दी और उसने बल'आम से कहा, “मैंने तेरे साथ क्या किया है कि तूने मुझे तीन बार मारा?”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 29] बल'आम ने गधी से कहा, “इसलिए कि तूने मुझे चिढ़ाया; काश मेरे हाथ में तलवार होती, तो मैं तुझे अभी मार डालता।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 30] गधी ने बल'आम से कहा, “क्या मैं तेरी वही गधी नहीं हूँ जिस पर तू अपनी सारी उम्र आज तक सवार होता आया है? क्या मैं तेरे साथ पहले कभी ऐसा करती थी?” उसने कहा, “नहीं।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 31] तब ख़ुदावन्द ने बल'आम की आँखें खोलीं, और उसने ख़ुदावन्द के फ़रिश्ते को देखा कि वह अपने हाथ में नंगी तलवार लिए हुए रास्ता रोके खड़ा है, तब उसने अपना सिर झुका लिया और औंधा हो गया।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 32] ख़ुदावन्द के फ़रिश्ते ने उसे कहा, “तू ने अपनी गधी को तीन बार क्यूँ मारा? देख, मैं तुझ से मुज़ाहमत करने को आया हूँ, इसलिए कि तेरी चाल मेरी नज़र में टेढ़ी है।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 33] और गधी ने मुझ को देखा, और वह तीन बार मेरे सामने से मुड़ गई। अगर वह मेरे सामने से न हटती तो मैं ज़रूर तुझ को मार ही डालता, और उसको ज़िन्दा छोड़ देता।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 34] बल'आम ने ख़ुदावन्द के फ़रिश्ते से कहा, “मुझ से ख़ता हुई, क्यूँकि मुझे मा'लूम न था कि तू मेरा रास्ता रोके खड़ा है। इसलिए अगर अब तुझे बुरा लगता है तो मैं लौट जाता हूँ।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 35] ख़ुदावन्द के फ़रिश्ते ने बल'आम से कहा, “तू इन आदमियों के साथ चला ही जा, लेकिन सिर्फ़ वही बात कहना जो मैं तुझ से कहूँ।” तब बल'आम बलक़ के हाकिमों के साथ गया।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 36] जब बलक़ ने सुना कि बल'आम आ रहा है, तो वह उसके इस्तक़बाल के लिए मोआब के उस शहर तक गया जो अरनोन की सरहद पर उसकी हदों के इन्तिहाई हिस्से में वाक़े' था।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 37] तब बलक़ ने बल'आम से कहा, “क्या मैंने बड़ी उम्मीद के साथ तुझे नहीं बुलवा भेजा था? फिर तू मेरे पास क्यूँ न चला आया? क्या मैं इस क़ाबिल नहीं कि तुझे 'आला मन्सब पर मुम्ताज़ करूँ?”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 38] बल'आम ने बलक़ को जवाब दिया, “देख, मैं तेरे पास आ तो गया हूँ लेकिन क्या मेरी इतनी मजाल है कि मैं कुछ बोलूँ? जो बात ख़ुदा मेरे मुँह में डालेगा, वही मैं कहूँगा।”
[IRV | UR | OT | Numbers | Chapter 22 | Verse 39] और बल'आम बलक़ के साथ — साथ चला और वह करयत हुसात में पहुँचे।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 40] बलक़ ने बैल और भेड़ों की क़ुर्बानी पेश कीं, और बल'आम और उन हाकिमों के पास जो उसके साथ थे क़ुर्बानी का गोश्त भेजा।
[IRV | UR | OT | Numbers | Chapter 22 | Verse 41] दूसरे दिन सुबह को बलक़ बल'आम को साथ लेकर उसे बा'ल के बुलन्द मक़ामों पर ले गया। वहाँ से उसने दूर दूर के इस्राईलियों को देखा।
