[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 1] એ માટે તમામ દુષ્ટતા, કપટ, ઢોંગ, દ્વેષ તથા સર્વ પ્રકારની નિંદા દૂર કરીને,
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 12] વિદેશીઓમાં તમે પોતાનો વ્યવહાર સારો રાખો, કે જેથી તેઓ તમને ખરાબ સમજીને તમારી વિરુદ્ધ બોલે ત્યારે તમારાં સારાં કામ જોઈને તેઓ તેમના પુનરાગમનના દિવસે ઈશ્વરનો મહિમા કરે.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 13] માણસોએ સ્થાપેલી પ્રત્યેક સત્તાને પ્રભુને લીધે તમે આધીન થાઓ; રાજાને સર્વોપરી સમજીને તેને આધીન રહો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 14] વળી ખોટું કરનારાઓને દંડ આપવા અને સારું કરનારાઓની પ્રશંસા કરવાને તેણે નીમેલા અધિકારીઓને પણ તમે આધીન થાઓ
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 15] કેમ કે ઈશ્વરની ઇચ્છા એવી છે કે સારાં કાર્યો કરીને મૂર્ખ માણસોની અજ્ઞાનપણાની વાતોને તમે બંધ કરો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 16] તમે સ્વતંત્ર છો પણ એ સ્વતંત્રતા તમારી દુષ્ટતાને છુપાવવા માટે ન વાપરો; પણ તમે ઈશ્વરના સેવકો જેવા થાઓ.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 17] તમે સર્વને માન આપો, ભાઈઓ પર પ્રેમ રાખો, ઈશ્વરનો ભય રાખો, રાજાનું સન્માન કરો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 18] દાસો, તમે પૂરા ભયથી તમારા માલિકોને આધીન થાઓ, જેઓ સારા તથા નમ્ર છે કેવળ તેઓને જ નહિ, વળી કઠોર માલિકને પણ આધીન થાઓ.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 19] કેમ કે જો કોઈ માણસ ઈશ્વર તરફના ભક્તિભાવને લીધે અન્યાય વેઠતાં દુઃખ સહે છે તો તે ઈશ્વરની નજરમાં પ્રશંસાપાત્ર છે.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 20] કેમ કે જયારે પાપ કરવાને લીધે તમે માર ખાઓ છો ત્યારે જો તમે સહન કરો છો, તો તેમાં શું પ્રશંસાપાત્ર છે? પણ જો સારું કરવાને લીધે દુઃખ ભોગવો છો, તે જો તમે સહન કરો છો એ ઈશ્વરની નજરમાં પ્રશંસાપાત્ર છે.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 21] કારણ કે એને માટે તમે તેડાયેલા છો, કેમ કે ખ્રિસ્તે પણ તમારે માટે સહન કર્યું છે અને તમને નમૂનો આપ્યો છે, કે તમે તેમને પગલે ચાલો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 22] તેમણે કંઈ પાપ કર્યું નહિ, ને તેમના મુખમાં કપટ માલૂમ પડ્યું નહિ.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 23] તેમણે નિંદા પામીને સામે નિંદા કરી નહિ, દુઃખો સહેતાં કોઈને ધમકાવ્યાં નહિ, પણ સાચો ન્યાય કરનારને પોતાને સોંપ્યો.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 24] લાકડા પર તેમણે પોતે પોતાના શરીરમાં આપણાં પાપ લીધાં, જેથી આપણે પાપ સંબંધી મૃત્યુ પામીએ અને ન્યાયીપણા માટે જીવીએ; તેમના જખમોથી તમે સાજાં થયા.
[IRV | GU | NT | 1 Peter | Chapter 2 | Verse 25] કેમ કે તમે ભૂલાં પડેલાં ઘેટાંના જેવા હતા, પણ હમણાં તમારા આત્માનાં પાળક તથા રક્ષક ખ્રિસ્તની પાસે પાછા આવ્યા છો.
