[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 1] Follow after love and earnestly desire spiritual gifts, but especially that you may prophesy.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 28] But if there is no interpreter, let him keep silent in the assembly, and let him speak to himself and to God.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 29] Let two or three of the prophets speak, and let the others discern.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 30] But if a revelation is made to another sitting by, let the first keep silent.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 31] For you all can prophesy one by one, that all may learn and all may be exhorted.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 32] The spirits of the prophets are subject to the prophets,
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 33] for God is not a God of confusion but of peace, as in all the assemblies of the saints.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 34] Let the wives be quiet in the assemblies, for it has not been permitted for them to be talking except in submission, as the law also says,
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 35] if they desire to learn anything. “Let them ask their own husbands at home, for it is shameful for a wife to be talking in the assembly.”
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 36] What!? Was it from you that the word of God went out? Or did it come to you alone?
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 37] If any man thinks himself to be a prophet or spiritual, let him recognize the things which I write to you, that they are the commandment of the Lord.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 38] But if anyone is ignorant, let him be ignorant.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 39] Therefore, brothers, desire earnestly to prophesy, and don’t forbid speaking with other languages.
[WEB | EN | NT | 1 Corinthians | Chapter 14 | Verse 40] Let all things be done decently and in order.
