[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 1] তোমরা ভালবাসার অন্বেষণ কর এবং আত্মিক উপহারের জন্য প্রবল উত্সাহী হও, বিশেষভাবে যেন ভাববাণী বলতে পার।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 15] তবে আমি কি করব? আমি আত্মাতে প্রার্থনা করিব, কিন্তু আমি সেই সাথে মন দিয়ে প্রার্থনা করব; আমি আত্মাতে গান করব এবং আমি সেই সাথে বুদ্ধিতেও গান করব।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 16] তাছাড়া যদি তুমি আত্মাতে ঈশ্বরের প্রশংসা কর, তবে কিভাবে বাইরের লোক “আমেন” বলবে যখন তুমি ধন্যবাদ দাও, যদিও সে জানে না তুমি কি বলছ?
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 17] কারণ তুমি সুন্দরভাবে ধন্যবাদ দিচ্ছ ঠিকই, কিন্তু সেই ব্যক্তিকে গেঁথে তোলা হয় না।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 18] আমি ঈশ্বরের ধন্যবাদ করছি, তোমাদের সকলের থেকে আমি বেশি ভাষায় কথা বলি;
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 19] কিন্তু মণ্ডলীর মধ্যে, বিশেষ ভাষায় দশ সহস্র কথার থেকে, বরং বুদ্ধির মাধ্যমে পাঁচটি কথা বলতে চাই, যেন অন্য লোকদেরকেও শিক্ষা দিতে পারি।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 20] ভাইয়েরা এবং বোনেরা, তোমরা চিন্তা-ভাবনায় শিশুর মত হয়ো না, বরঞ্চ হিংসাতে শিশুদের মত হও, কিন্তু বুদ্ধিতে পরিপক্ক হও।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 21] পবিত্র শাস্ত্রে লেখা আছে, “আমি পরভাষীদের মাধ্যমে এবং পরদেশীদের ঠোঁটের মাধ্যমে এই লোকদের কাছে কথা বলব এবং তারা তখন আমার কথা শুনবে না, একথা প্রভু বলেন।”
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 22] অতএব সেই বিশেষ বিশেষ ভাষা বিশ্বাসীদের জন্য নয়, কিন্তু অবিশ্বাসীদেরই জন্য চিহ্নস্বরূপ; কিন্তু ভাববাণী অবিশ্বাসীদের জন্য নয়, কিন্তু বিশ্বাসীদেরই জন্য।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 23] যদি, সব মণ্ডলী এক জায়গায় একত্র হলে এবং সবাই বিশেষ বিশেষ ভাষায় কথা বলে এবং সাধারণ লোক এবং অবিশ্বাসী লোক প্রবেশ করে, তবে তারা কি বলবে না যে, তোমরা পাগল?
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 24] কিন্তু সবাই যদি ভাববাণী বলে এবং কোন অবিশ্বাসী অথবা সাধারণ লোক প্রবেশ করে, তবে সে সবার মাধ্যমে দোষী হয়, সে সবার মাধ্যমে বিচারিত হয়,
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 25] তার হৃদয়ে গোপনভাব সব প্রকাশ পায়; এবং এই ভাবে সে অধোমুখে পড়ে ঈশ্বরের উপাসনা করবে, বলবে, বাস্তবিকই ঈশ্বর তোমাদের মধ্যে আছেন।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 26] ভাইয়েরা এবং বোনেরা, তারপর কি? তোমরা যখন একত্র হও, তখন কারো গীত থাকে, কারো শিক্ষার বিষয়ে থাকে, কারো সত্য প্রকাশের বিষয়ে থাকে, কারো বিশেষ ভাষা থাকে, কারো অর্থ বিশ্লেষণ থাকে, সবই গেঁথে তোলবার জন্য হোক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 27] যদি কেউ বিশেষ ভাষায় কথা বলে, তবে দুই জন, কিংবা বেশি হলে তিনজন বলুক, এক এক করে বলুক এবং কেউ একজন অর্থ বুঝিয়ে দিক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 28] কিন্তু যদি সেখানে কোনো অনুবাদক না থাকে, তবে সেই ব্যক্তি মণ্ডলীতে নীরব হয়ে থাকুক, কেবল নিজের ও ঈশ্বরের উদ্দেশ্যে কথা বলুক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 29] আর ভাববাদীরা দুই কিংবা তিনজন কথা বলুক, অন্য সবাই সে কি বলল তা উপলব্ধি করুক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 30] কিন্তু এমন আর কারও কাছে যদি কিছু প্রকাশিত হয়, যে বসে রয়েছে, তবে সেই ব্যক্তি নীরব থাকুক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 31] কারণ তোমরা সবাই এক এক করে ভাববাণী বলতে পার, যেন সবাই শিক্ষা পায়, ও সবাই উত্সাহিত হয়।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 32] আর ভাববাদীদের আত্মা ভাববাদীদের নিয়ন্ত্রণে থাকে;
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 33] কারণ ঈশ্বর বিশৃঙ্খলার ঈশ্বর না, কিন্তু শান্তির, যেমন পবিত্র লোকদের সকল মণ্ডলীতে হয়ে থাকে।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 34] স্ত্রীলোকেরা মণ্ডলীতে নীরব থাকুক, কারণ কথা বলবার অনুমতি তাদেরকে দেওয়া যায় না, বরং যেমন নিয়মও বলে, তারা বশীভূতা হয়ে থাকুক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 35] আর যদি তারা কিছু শিখতে চায়, তবে নিজের নিজের স্বামীকে ঘরে জিজ্ঞাসা করুক, কারণ মণ্ডলীতে স্ত্রীলোকের কথা বলা অপমানের বিষয়।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 36] বল দেখি, ঈশ্বরের বাক্য কি তোমাদের থেকে বের হয়েছিল? কিংবা কেবল তোমাদেরই কাছে এসেছিল?
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 37] কেউ যদি নিজেকে ভাববাদী কিংবা আত্মিক বলে মনে করে, তবে সে বুঝুক, আমি তোমাদের কাছে যা যা লিখলাম, সে সব প্রভুর আজ্ঞা।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 38] কিন্তু যদি না জানে, সে না জানুক।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 39] অতএব, হে আমার ভাইয়েরা এবং বোনেরা, তোমরা ভাববাণী বলবার জন্য আগ্রহী হও; এবং বিশেষ বিশেষ ভাষা বলতে বারণ কোরো না।
[IRV | BN | NT | 1 Corinthians | Chapter 14 | Verse 40] কিন্তু সবই সুন্দর ও সুনিয়মিতভাবে করা হোক।
