[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 1] And Josiah held the Passover in Jerusalem unto his Lord, and offered the Passover the fourteenth day of the first month;
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 23] And the works of Josiah were upright before his Lord with a heart full of godliness.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 24] Moreover the things that came to pass in his days have been written in times past, concerning those that sinned, and did wickedly against the Lord above every people and kingdom, and how they grieved him exceedingly, so that the words of the Lord were confirmed against Israel.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 25] Now after all these acts of Josiah it came to pass, that Pharaoh the king of Egypt came to raise war at Carchemish upon Euphrates: and Josiah went out against him.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 26] But the king of Egypt sent to him, saying, What have I to do with thee, O king of Judea?
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 27] I am not sent out from the Lord God against thee; for my war is upon Euphrates: and now the Lord is with me, yea, the Lord is with me hastening me forward: depart from me, and be not against the Lord.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 28] Howbeit Josiah did not turn back unto his chariot, but undertook to fight with him, not regarding the words of the prophet Jeremiah spoken by the mouth of the Lord:
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 29] but joined battle with him in the plain of Megiddo, and the princes came down against king Josiah.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 30] Then said the king unto his servants, Carry me away out of the battle; for I am very weak. And immediately his servants carried him away out of the host.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 31] Then gat he up upon his second chariot; and being brought back to Jerusalem he died, and was buried in the sepulcher of his fathers.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 32] And in all Judea they mourned for Josiah; and Jeremiah the prophet lamented for Josiah, and the chief men with the women made lamentation for him, unto this day: and this was given out for an ordinance to be done continually in all the nation of Israel.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 33] These things are written in the book of the histories of the kings of Judea, and every one of the acts that Josiah did, and his glory, and his understanding in the law of the Lord, and the things that he had done before, and the things now recited, are reported in the book of the kings of Israel and Judah.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 34] And the people took Joahaz the son of Josiah, and made him king instead of Josiah his father, when he was twenty and three years old.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 35] And he reigned in Judah and in Jerusalem three months: and then the king of Egypt deposed him from reigning in Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 36] And he set a tax upon the people of a hundred talents of silver and one talent of gold.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 37] The king of Egypt also made king Jehoiakim his brother king of Judea and Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 38] And Jehoiakim bound the nobles: but Zarius his brother he apprehended, and brought him up out of Egypt.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 39] Five and twenty years old was Jehoiakim when he began to reign in Judea and Jerusalem; and he did that which was evil in the sight of the Lord.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 40] And against him Nebuchadnezzar the king of Babylon came up, and bound him with a chain of brass, and carried him unto Babylon.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 41] Nebuchadnezzar also took of the holy vessels of the Lord, and carried them away, and set them up in his own temple at Babylon.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 42] But those things that are reported of him, and of his uncleanness and impiety, are written in the chronicles of the kings.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 43] And Jehoiachin his son reigned in his stead: for when he was made king he was eighteen years old;
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 44] and he reigned three months and ten days in Jerusalem; and did that which was evil before the Lord.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 45] So after a year Nebuchadnezzar sent and caused him to be brought unto Babylon with the holy vessels of the Lord;
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 46] and made Zedekiah king of Judea and Jerusalem, when he was one and twenty years old; and he reigned eleven years:
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 47] and he also did that which was evil in the sight of the Lord, and cared not for the words that were spoken by Jeremiah the prophet from the mouth of the Lord.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 48] And after that king Nebuchadnezzar had made him to swear by the name of the Lord, he forsware himself, and rebelled; and hardening his neck, and his heart, he transgressed the laws of the Lord, the God of Israel.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 49] Moreover the governors of the people and of the priests did many things wickedly, and passed all the pollutions of all nations, and defiled the temple of the Lord, which was sanctified in Jerusalem.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 50] And the God of their fathers sent by his messenger to call them back, because he had compassion on them and on his dwelling place.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 51] But they mocked his messengers; and in the day when the Lord spake unto them, they scoffed at his prophets:
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 52] so far forth, that he, being wroth with his people for their great ungodliness, commanded to bring up the kings of the Chaldeans against them;
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 53] who slew their young men with the sword, round about their holy temple, and spared neither young man nor maid, old man nor child; but he delivered all into their hands.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 54] And they took all the holy vessels of the Lord, both great and small, with the vessels of the ark of the Lord, and the king’s treasures, and carried them away unto Babylon.
[ASV | EN | OT | 1 Esdras | Chapter 1 | Verse 55] And they burnt the house of the Lord, and broke down the walls of Jerusalem, and burnt the towers thereof with fire:
