[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 1] Then Ezra rising from the court of the temple went to the chamber of Jehohanan the son of Eliashib,
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 14] Then Jonathan the son of Asahel and Jahzeiah the son of Tikvah accordingly took the matter upon them: and Meshullam and Levi and Shabbethai were assessors to them.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 15] And they that were of the captivity did according to all these things.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 16] And Ezra the priest chose unto him principal men of their families, all by name: and on the new moon of the tenth month they were shut in together to examine the matter.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 17] So their cause that held strange wives was brought to an end by the new moon of the first month.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 18] And of the priests that were come together, and had strange wives, there were found;
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 19] of the sons of Jeshua the son of Jozadak, and his brethren: Maaseiah, and Eleazar, and Jarib, and Jodan.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 20] And they gave their hands to put away their wives, and to offer rams to make reconcilement for their error.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 21] And of the sons of Immer: Hanani, and Zebadiah, and Maaseiah, and Shemaiah, and Jehiel, and Azariah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 22] And of the sons of Pashhur: Elioenai, Maaseiah, Ishmael, and Nethanael, and Gedaliah, and Salthas.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 23] And of the Levites: Jozabad, and Shimei, and Kelaiah, who was called Kelita, and Pethahiah, and Judah, and Jonah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 24] Of the holy singers: Eliashib, Zaccur.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 25] Of the porters: Shallum, and Telem.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 26] Of Israel: of the sons of Parosh: Ramiah, and Izziah, and Malchijah, and Mijamin, and Eleazar, and Asibias, and Benaiah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 27] Of the sons of Ela: Mattaniah, Zechariah, and Jezrielus, and Abdi, and Jeremoth, and Elijah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 28] And of the sons of Zamoth; Eliadas, Eliashib, Othoniah, Jeremoth, and Zadab, and Zerdaiah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 29] Of the sons of Bebai: Jehohanan, and Hananiah, and Zabbai, and Emathis.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 30] Of the sons of Mani: Olamus, Mamuchus, Adaiah, Jashub, and Sheal, and Jeremoth.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 31] And of the sons of Addi: Naathus, and Moossias, Laccunus, and Naidus, and Bescaspasmys, and Sesthel, Belnuus, and Manasseas.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 32] And of the sons of Annan: Elionas, and Asaias, and Melchias, and Sabbaias, and Simon Chosamaeus.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 33] And of the sons of Hashum: Mattenai, and Mattattah, and Eliphelet, and Manasseh, and Shimei.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 34] And of the sons of Bani: Jeremai, Momdius, Maerus, Joel, Mamdai, and Bedeiah, and Vaniah, Carabasion, and Eliashib, and Mamitanemus, Eliasis, Binnui, Elialis, Shimei, Shelemiah, Nethaniah: and of the sons of Ezora: Shashai, Azarel, Azael, Samatus, Zambris, Joseph.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 35] And of the sons of Nooma: Mazitias, Zabad, Iddo, Joel, Benaiah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 36] All these had taken strange wives, and they put them away with their children.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 37] And the priests and Levites, and they that were of Israel, dwelt in Jerusalem, and in the country, on the new moon of the seventh month, and the children of Israel in their habitations.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 38] And the whole multitude were gathered together with one accord into the broad place before the porch of the temple toward the east:
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 39] and they said unto Ezra the priest and reader, Bring the law of Moses, that was given of the Lord, the God of Israel.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 40] So Ezra the chief priest brought the law unto the whole multitude both of men and women, and to all the priests, to hear the law on the new moon of the seventh month.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 41] And he read in the broad place before the porch of the temple from morning unto midday, before both men and women; and all the multitude gave heed unto the law.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 42] And Ezra the priest and reader of the law stood up upon the pulpit of wood, which was made for that purpose.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 43] And there stood up by him Mattathiah, Shema, Ananias, Azariah, Uriah, Hezekiah, Baalsamus, upon the right hand:
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 44] and upon his left hand, Pedaiah, Mishael, Malchijah, Lothasubus, Nabariah, Zechariah.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 45] Then took Ezra the book of the law before the multitude, and sat honorably in the first place before all.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 46] And when he opened the law, they stood all straight up. So Ezra blessed the Lord God Most High, the God of Sabaoth, Almighty.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 47] And all the people answered, Amen; and lifting up their hands they fell to the ground, and worshiped the Lord.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 48] Also Jeshua, Anniuth, Sherebiah, Jadinus, Akkub, Shabbethai, Hodiah, Maiannas, and Kelita, Azariah, and Jozabad, and Hanan, Pelaiah, the Levites, taught the law of the Lord, and read to the multitude the law of the Lord, making them withal to understand it.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 49] Then said Attharates unto Ezra the chief priest and reader, and to the Levites that taught the multitude, even to all,
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 50] This day is holy unto the Lord; (now they all wept when they heard the law:)
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 51] go then, and eat the fat, and drink the sweet, and send portions to them that have nothing;
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 52] for the day is holy unto the Lord: and be not sorrowful; for the Lord will bring you to honor.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 53] So the Levites published all things to the people, saying, This day is holy; be not sorrowful.
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 54] Then went they their way, every one to eat and drink, and make merry, and to give portions to them that had nothing, and to make great cheer;
[ASV | EN | OT | 1 Esdras | Chapter 9 | Verse 55] because they understood the words wherein they were instructed, and for which they had been assembled.
