[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The descendants of Judah: Perez, Hezron, Carmi, Hur, and Shobal.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 22] Jokim, the men of Cozeba, and Joash and Saraph, who ruled in Moab and Jashubi-lehem. (These names are from ancient records.)
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 23] These were the potters who lived at Netaim and Gederah. They lived there in the service of the king.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 24] The descendants of Simeon: Nemuel, Jamin, Jarib, Zerah, and Shaul.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 25] The sons of Shaul: Shallum, Mibsam, and Mishma.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 26] The sons of Mishma: Hammuel, Zaccur, and Shimei.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 27] Shimei had sixteen sons and six daughters, but his brothers did not have many children, so their whole clan did not become as numerous as the sons of Judah.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 28] They lived in Beersheba, Moladah, Hazar-shual,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 29] Bilhah, Ezem, Tolad,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 30] Bethuel, Hormah, Ziklag,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 31] Beth-marcaboth, Hazar-susim, Beth-biri, and Shaaraim. These were their cities until the reign of David.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 32] And their villages were Etam, Ain, Rimmon, Tochen, and Ashan—five towns—
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 33] and all their surrounding villages as far as Baal. These were their settlements, and they kept a genealogical record:
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 34] Meshobab, Jamlech, Joshah son of Amaziah,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 35] Joel, Jehu son of Joshibiah (son of Seraiah, son of Asiel),
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 36] Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, Benaiah,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 37] and Ziza son of Shiphi (son of Allon, son of Jedaiah, son of Shimri, son of Shemaiah).
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 38] These men listed by name were the leaders of their clans. Their families increased greatly,
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 39] and they journeyed to the entrance of Gedor, to the east side of the valley, in search of pasture for their flocks.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 40] There they found rich, good pasture, and the land was spacious, peaceful, and quiet; for some Hamites had lived there formerly.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 41] These who were noted by name came in the days of Hezekiah king of Judah. They attacked the Hamites and Meunites there in their dwellings, devoting them to destruction even to this day. Then they settled in their place, because there was pasture for their flocks.
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 42] And five hundred of these Simeonites led by Pelatiah, Neariah, Rephaiah, and Uzziel, the sons of Ishi, went to Mount Seir
[BSB | EN | OT | 1 Chronicles | Chapter 4 | Verse 43] and struck down the remnant of the Amalekites who had escaped. And they have lived there to this day.
