[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These were the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 16] Their sisters were Zeruiah and Abigail. And the three sons of Zeruiah were Abishai, Joab, and Asahel.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 17] Abigail was the mother of Amasa, whose father was Jether the Ishmaelite.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 18] Caleb son of Hezron had children by his wife Azubah and by Jerioth. These were the sons of Azubah: Jesher, Shobab, and Ardon.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 19] When Azubah died, Caleb married Ephrath, who bore to him Hur.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 20] Hur was the father of Uri, and Uri was the father of Bezalel.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 21] Later, Hezron slept with the daughter of Machir the father of Gilead. He had married her when he was sixty years old, and she bore to him Segub.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 22] Segub was the father of Jair, who had twenty-three cities in the land of Gilead.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 23] But Geshur and Aram captured Havvoth-jair, along with Kenath and its sixty surrounding villages. All these were descendants of Machir the father of Gilead.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 24] After Hezron died in Caleb-ephrathah, his wife Abijah bore to him Ashhur the father of Tekoa.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 25] The sons of Jerahmeel the firstborn of Hezron: Ram his firstborn, Bunah, Oren, Ozem, and Ahijah.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 26] Jerahmeel had another wife named Atarah, who was the mother of Onam.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 27] The sons of Ram the firstborn of Jerahmeel: Maaz, Jamin, and Eker.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 28] The sons of Onam: Shammai and Jada. The sons of Shammai: Nadab and Abishur.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 29] Abishur’s wife was named Abihail, and she bore to him Ahban and Molid.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 30] The sons of Nadab: Seled and Appaim. Seled died without children.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 31] The son of Appaim: Ishi. The son of Ishi: Sheshan. The son of Sheshan: Ahlai.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 32] The sons of Jada the brother of Shammai: Jether and Jonathan. Jether died without children.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 33] The sons of Jonathan: Peleth and Zaza. These were the descendants of Jerahmeel.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 34] Sheshan had no sons, but only daughters; but he did have an Egyptian servant named Jarha.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 35] Sheshan gave his daughter in marriage to his servant Jarha, and she bore to him Attai.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 36] Attai was the father of Nathan, Nathan was the father of Zabad,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 37] Zabad was the father of Ephlal, Ephlal was the father of Obed,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 38] Obed was the father of Jehu, Jehu was the father of Azariah,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 39] Azariah was the father of Helez, Helez was the father of Elasah,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 40] Elasah was the father of Sismai, Sismai was the father of Shallum,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 41] Shallum was the father of Jekamiah, and Jekamiah was the father of Elishama.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 42] The sons of Caleb the brother of Jerahmeel: Mesha his firstborn, who was the father of Ziph, and Mareshah his second son, who was the father of Hebron.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 43] The sons of Hebron: Korah, Tappuah, Rekem, and Shema.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 44] Shema was the father of Raham the father of Jorkeam, and Rekem was the father of Shammai.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 45] The son of Shammai was Maon, and Maon was the father of Beth-zur.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 46] Caleb’s concubine Ephah was the mother of Haran, Moza, and Gazez. Haran was the father of Gazez.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 47] The sons of Jahdai: Regem, Jotham, Geshan, Pelet, Ephah, and Shaaph.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 48] Caleb’s concubine Maacah was the mother of Sheber and Tirhanah.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 49] She was also the mother of Shaaph father of Madmannah, and of Sheva father of Machbenah and Gibea. Caleb’s daughter was Acsah.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 50] These were the descendants of Caleb. The sons of Hur the firstborn of Ephrathah: Shobal the father of Kiriath-jearim,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 51] Salma the father of Bethlehem, and Hareph the father of Beth-gader.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 52] These were the descendants of Shobal the father of Kiriath-jearim: Haroeh, half the Manahathites,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 53] and the clans of Kiriath-jearim—the Ithrites, Puthites, Shumathites, and Mishraites. From these descended the Zorathites and Eshtaolites.
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 54] The descendants of Salma: Bethlehem, the Netophathites, Atroth-beth-joab, half the Manahathites, the Zorites,
[BSB | EN | OT | 1 Chronicles | Chapter 2 | Verse 55] and the clans of the scribes who lived at Jabez—the Tirathites, Shimeathites, and Sucathites. These are the Kenites who came from Hammath, the father of the house of Rechab.
