[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi: Gershon, Kohath, and Merari.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 38] the son of Izhar, the son of Kohath, the son of Levi, the son of Israel.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 39] Heman’s kinsman was Asaph, who served at his right hand: Asaph the son of Berechiah, the son of Shimea,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 40] the son of Michael, the son of Baaseiah, the son of Malchijah,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 41] the son of Ethni, the son of Zerah, the son of Adaiah,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 42] the son of Ethan, the son of Zimmah, the son of Shimei,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 43] the son of Jahath, the son of Gershom, the son of Levi.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 44] On the left were their kinsmen, the sons of Merari: Ethan the son of Kishi, the son of Abdi, the son of Malluch,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 45] the son of Hashabiah, the son of Amaziah, the son of Hilkiah,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 46] the son of Amzi, the son of Bani, the son of Shemer,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 47] the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 48] Their fellow Levites were assigned to every kind of service of the tabernacle, the house of God.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 49] But Aaron and his sons did all the work of the Most Holy Place. They presented the offerings on the altar of burnt offering and on the altar of incense to make atonement for Israel, according to all that Moses the servant of God had commanded.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 50] These were the descendants of Aaron: Eleazar his son, Phinehas his son, Abishua his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 51] Bukki his son, Uzzi his son, Zerahiah his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 52] Meraioth his son, Amariah his son, Ahitub his son,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 53] Zadok his son, and Ahimaaz his son.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 54] Now these were the territories assigned to the descendants of Aaron from the Kohathite clan for their settlements, because the first lot fell to them:
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 55] They were given Hebron in the land of Judah and its surrounding pasturelands.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 56] But the fields and villages around the city were given to Caleb son of Jephunneh.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 57] So the descendants of Aaron were given Hebron (a city of refuge), Libnah, Jattir, Eshtemoa,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 58] Hilen, Debir,
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 59] Ashan, Juttah, and Beth-shemesh, together with their pasturelands.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 60] And from the tribe of Benjamin they were given Gibeon, Geba, Alemeth, and Anathoth, together with their pasturelands. So they had thirteen cities in all among their families.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 61] To the rest of the Kohathites, ten cities were allotted from the half-tribe of Manasseh.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 62] The Gershomites , according to their clans, were allotted thirteen cities from the tribes of Issachar, Asher, Naphtali, and Manasseh in Bashan.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 63] The Merarites, according to their families, were allotted twelve cities from the tribes of Reuben, Gad, and Zebulun.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 64] So the Israelites gave to the Levites these cities and their pasturelands.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 65] They assigned by lot the cities named above from the tribes of Judah, Simeon, and Benjamin.
[BSB | EN | OT | 1 Chronicles | Chapter 6 | Verse 66] And some of the clans of the Kohathites were given cities from the tribe of Ephraim for their territory:
