[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 1] લોકોના તમામ આગેવાનો યરુશાલેમમાં વસ્યા અને બાકીના લોકોએ એ માટે ચિઠ્ઠીઓ નાખી કે દર દસમાંથી એક માણસ પવિત્ર નગર યરુશાલેમમાં રહેવા માટે જાય. બાકીના નવ અન્ય નગરોમાં જઈને વસે.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 12] અને તેઓના ભાઈઓ જેઓ સભાસ્થાનનું કામ કરતા હતા, તેઓ આઠસો બાવીસ હતા. માલ્કિયાના પુત્ર, પાશહૂરના પુત્ર, ઝખાર્યાનાં પુત્ર, આમ્સીના પુત્ર, પલાલ્યાના પુત્ર, યરોહામનો પુત્ર, અદાયા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 13] તેના ભાઈઓ જેઓ પોતાના કુટુંબોના આગેવાનો હતા તેઓ બસો બેતાળીસ હતા. ઈમ્મેરના પુત્ર, મશિલ્લેમોથના પુત્ર, આહઝાયના પુત્ર, અઝારેલનો પુત્ર, અમાશસાય,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 14] અને તેઓના ભાઈઓ, એ પરાક્રમી પુરુષો એકસો અઠ્ઠાવીસ હતા. હાગ્ગદોલીમનો પુત્ર ઝાબ્દીએલ તેઓનો અધિકારી હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 15] લેવીઓમાંના: બુન્નીના પુત્ર, હશાબ્યાના પુત્ર, આઝ્રીકામના પુત્ર, હાશ્શૂબનો પુત્ર શમાયા,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 16] લેવીઓના આગેવાનોમાંના શાબ્બથાય તથા યોઝાબાદ ઈશ્વરના ભક્તિસ્થાનના બહારના કામકાજ પર દેખરેખ રાખતા હતા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 17] અને પ્રાર્થના તથા આભારસ્તુતિનો આરંભ કરવામાં આસાફના પુત્ર ઝાબ્દીના પુત્ર મિખાનો પુત્ર માત્તાન્યા મુખ્ય હતો. અને બાકબુક્યા પોતાના ભાઈઓમાં બીજો હતો, તથા યદૂથૂનના પુત્ર ગાલાલના પુત્ર શામ્મૂઆનો પુત્ર આબ્દા હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 18] પવિત્ર નગરમાં બધા મળીને બસો ચોર્યાસી લેવીઓ હતા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 19] દ્વારપાળો: આક્કુબ, ટાલ્મોન તથા તેમના સગાંઓ, જે દ્વારપાળો હતા, તેઓ એકસો બોતેર હતા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 20] બાકીના ઇઝરાયલીઓ, યાજકો, લેવીઓ, યહૂદિયાનાં સર્વ નગરોમાં પોતપોતાના વતનોમાં રહ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 21] ભક્તિસ્થાનના સેવકો ઓફેલમાં રહ્યા અને સીહા તથા ગિશ્પા તેમના અધિકારી હતા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 22] યરુશાલેમના લેવીઓનો અધિકારી પણ, ઈશ્વરના ભક્તિસ્થાનના કામ પર, આસાફના વંશજોમાંના એટલે ગાનારોમાંના મિખાનો દીકરો માત્તાન્યાનો દીકરો હશાબ્યાનો દીકરો બાનીનો દીકરો ઉઝિઝ હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 23] તેઓ વિષે રાજાની એવી આજ્ઞા હતી કે ગાનારાઓને દરરોજ જરૂરિયાત પ્રમાણે નિયુક્ત ભથ્થું આપવું.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 24] યહૂદાના દીકરો ઝેરાહના વંશજોમાંના મશેઝાબએલનો દીકરો પથાહ્યા લોકોને લગતી સર્વ બાબતોમાં રાજાનો પ્રતિનિધિ હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 25] ખેતરોવાળાં ગામો વિષે યહૂદાના વંશજોમાંના કેટલાક કિર્યાથ-આર્બામાં તથા તેનાં ગામોમાં, દિબોનમાં તથા તેનાં ગામોમાં, યકાબ્સેલમાં તથા તેનાં ગામોમાં રહ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 26] અને યેશૂઆમાં, મોલાદામાં, બેથ-પેલેટમાં.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 27] હસાર-શૂઆલમાં, બેરશેબામાં તથા તેનાં ગામોમાં પણ રહ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 28] તેઓમાંના સિકલાગમાં, મખોનામાં તથા તેના ગામોમાં,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 29] એન-રિમ્મોનમાં, સોરાહમાં તથા યાર્મૂથમાં,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 30] ઝાનોઆ, અદુલ્લામ તથા તેઓનાં ગામોમાં, લાખીશ તથા તેનાં ખેતરોમાં અને અઝેકા તથા તેનાં ગામોમાં રહ્યા. આમ તેઓ બેરશેબાથી તે હિન્નોમની ખીણ સુધી વસ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 31] બિન્યામીનના વંશજો પણ ગેબાથી તે મિખ્માશ, અઝઝાહ, બેથેલ તથા તેનાં ગામોમાં રહ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 32] તેઓ અનાથોથ, નોબ, અનાન્યા,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 33] હાસોર, રામા, ગિત્તાઈમ,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 34] હાદીદ, સબોઈમ, નબાલ્લાટ,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 35] લોદ, ઓનો તથા કારીગરોની ખીણમાં વસ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 36] અને યહૂદિયામાંના લેવીઓના કેટલાક સમૂહો બિન્યામીનના વંશજોની સાથે વસ્યા.
