[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 1] And it came to pass in the four hundred and eightieth year after the children of Israel were come out of the land of Egypt, in the fourth year of Solomon's reign over Israel, in the month Zif, which is the second month, that he began to build the house of Jehovah.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 17] And the house, that is, the temple before it, was forty cubits [long].
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 18] And the cedar of the house within was carved with colocynths and half-open flowers: all was cedar; there was no stone seen.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 19] And he prepared the oracle in the midst of the house within, to set there the ark of the covenant of Jehovah.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 20] And the oracle within was twenty cubits in length, and twenty cubits in breadth, and twenty cubits in the height thereof; and he overlaid it with pure gold; and he overlaid the cedar-wood altar —
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 21] and Solomon overlaid the house within with pure gold, and shut off the oracle in front with chains of gold, and overlaid it with gold.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 22] And the whole house he overlaid with gold, the whole house entirely; also the whole altar that was by the oracle he overlaid with gold.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 23] And he made in the oracle two cherubim of olive-wood, ten cubits high;
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 24] and one wing of the cherub was five cubits, and five cubits the other wing of the cherub, ten cubits from the end of one wing to the end of the other wing;
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 25] and the other cherub was ten cubits: both the cherubim were of one measure and one form.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 26] The height of the one cherub was ten cubits, and so of the other cherub.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 27] And he set the cherubim in the midst of the inner house; and the wings of the cherubim were stretched forth, so that the wing of the one touched the wall, and the wing of the other cherub touched the other wall; and their wings touched, wing to wing, in the midst of the house.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 28] And he overlaid the cherubim with gold.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 29] And he carved all the walls of the house round about with carved sculptures of cherubim, and palm-trees, and half-open flowers, within and without.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 30] And the floor of the house he overlaid with gold, within and without.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 31] And for the entrance of the oracle he made doors of olive-wood: the lintel [and] side posts were the fifth part [of the breadth of the house].
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 32] The two doors were of olive-wood; and he carved on them carvings of cherubim, and palm-trees and half-open flowers, and overlaid them with gold, and spread gold on the cherubim and on the palm-trees.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 33] And he also made for the doorway of the temple posts of olive-wood, of the fourth part [of the breadth of the house].
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 34] And the two folding-doors were of cypress-wood: the two leaves of the one door were folding, and the two leaves of the other door were folding.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 35] And he carved on them cherubim, and palm-trees, and half-open flowers; and overlaid them with gold fitted on the carved work.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 36] And he built the inner court of three rows of hewn stone, and a row of cedar-beams.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 37] In the fourth year was the foundation of the house of Jehovah laid, in the month Zif;
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 38] and in the eleventh year, in the month Bul, which is the eighth month, was the house finished in all its parts, and according to all the fashion of it. So he was seven years in building it.
