[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 1] Now Josaphat was rich and very glorious, and was joined by affinity to Achab.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 12] And the messenger that went to call Micheas, said to him: Behold the words of all the prophets with one mouth declare good to the king: I beseech thee therefore let not thy word disagree with them, and speak thou also good success.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 13] And Micheas answered him: As the Lord liveth, whatsoever my God shall say to me, that will I speak.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 14] So he came to the king: and the king said to him: Micheas, shall we go to Ramoth Galaad to fight, or forbear? And he answered him: Go up, for all shall succeed prosperously, and the enemies shall be delivered into your hands.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 15] And the king said: I adjure thee again and again to say nothing but the truth to me, in the name of the Lord.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 16] Then he said: I saw all Israel scattered in the mountains, like sheep without a shepherd: and the Lord said: These have no masters: let every man return to his own house in peace.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 17] And the king of Israel said to Josaphat: Did I not tell thee that this man would not prophesy me any good, but evil?
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 18] Then he said: Hear ye therefore the word of the Lord: I saw the Lord sitting on his throne, and all the army of heaven standing by him on the right hand and on the left.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 19] And the Lord said: Who shall deceive Achab king of Israel, that he may go up and fall in Ramoth Galaad? And when one spoke in this manner, and another otherwise:
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 20] There came forth a spirit, and stood before the Lord, and said: I will deceive him. And the Lord said to him: By what means wilt thou deceive him?
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 21] And he answered: I will go out, and be a lying spirit in the mouth of all his prophets. And the Lord said: Thou shalt deceive, and shalt prevail: go out, and do so.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 22] Now therefore behold the Lord hath put a spirit of lying in the mouth of all thy prophets, and the Lord hath spoken evil against thee.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 23] And Sedecias the son of Chanaana came, and struck Micheas on the cheek and said: Which way went the spirit of the Lord from me, to speak to thee?
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 24] And Micheas said: Thou thyself shalt see in that day, when thou shalt go in from chamber to chamber, to hide thyself.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 25] And the king of Israel commanded, saying: Take Micheas, and carry him to Amen the governor of the city, and to Joas the son of Amelech,
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 26] And say: Thus saith the king: Put this fellow in prison, and give him bread and water in a small quantity till I return in peace.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 27] And Micheas said: If thou return in peace, the Lord hath not spoken by me. And he said: Hear, all ye people.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 28] So the king of Israel and Josaphat king of Juda went up to Ramoth Galaad.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 29] And the king of Israel said to Josaphat: I will change my dress, and so I will go to the battle, but put thou on thy own garments. And the king of Israel having changed his dress, went to the battle.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 30] Now the king of Syria had commanded the captains of his cavalry, saying: Fight ye not with small, or great, but with the king of Israel only.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 31] So when the captains of the cavalry saw Josaphat, they said: This is the king of Israel. And they surrounded him to attack him: but he cried to the Lord, and he helped him, and turned them away from him.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 32] For when the captains of the cavalry saw, that he was not the king of Israel, they left him.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 33] And it happened that one of the people shot an arrow at a venture, and struck the king of Israel between the neck and the shoulders, and he said to his chariot man: Turn thy hand, and carry me out of the battle, for I am wounded.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 34] And the fight was ended that day: but the king of Israel stood in his chariot against the Syrians until the evening, and died at the sunset.
